"","MTurk771","MTurk287_235","WS353Rel","Rel122","Avg"
"glove.emb",0.705,0.749,0.665,0.599,0.679
"paragram.ws.emb",0.701,0.704,0.668,0.573,0.661
"fastext.emb",0.641,0.728,0.659,0.54,0.642
"cbow.emb",0.65,0.698,0.567,0.576,0.623
"paragram.sl.emb",0.674,0.66,0.578,0.523,0.609
"wordnet.randomwalks.emb",0.642,0.653,0.623,0.513,0.608
"cf.emb",0.666,0.63,0.59,0.526,0.603
"attract.reppel.emb",0.59,0.618,0.541,0.464,0.553
"en_wordsenses_BN.txt.nasari.unified",0.505,0.474,0.4,0.553,0.483
"sp.500d.emb",0.506,0.409,0.328,0.436,0.42
"wordnet.ukb.ppv",0.349,0.32,0.414,0.328,0.353
"Taieb2014",0.54,0.496,0.091,0.189,0.329
"CosineNormWeightedJiangConrath.Sanchez2011",0.529,0.487,0.079,0.22,0.328
"CaiStrategy2.Cai",0.536,0.478,0.081,0.219,0.328
"FaITH.Seco",0.515,0.49,0.088,0.208,0.325
"Meng2012.Seco",0.52,0.487,0.084,0.204,0.324
"PirroSeco.Seco",0.515,0.482,0.085,0.21,0.323
"Zhou.Seco",0.541,0.467,0.069,0.211,0.322
"CosineNormJiangConrath.Sanchez2011",0.525,0.48,0.079,0.188,0.318
"Lin.Seco",0.524,0.469,0.069,0.193,0.314
"Gao2015Strategy3.CondProbRefHyponyms",0.533,0.454,0.072,0.184,0.311
"JiangConrath.Sanchez2011",0.518,0.442,0.066,0.194,0.305
"Li2003Strategy3",0.518,0.434,0.07,0.19,0.303
"Garla.Sanchez2011",0.41,0.437,0.117,0.234,0.3
"PedersenPath",0.425,0.423,0.103,0.221,0.293
"LeacockChodorow",0.506,0.41,0.056,0.195,0.292
"Resnik.CondProbRefLeavesSubsumersRatio",0.402,0.453,0.077,0.195,0.282
"Mubaid",0.446,0.415,0.059,0.204,0.281
"Sanchez2012",0.506,0.394,0.057,0.16,0.279
"Meng2014.Seco",0.471,0.425,0.032,0.161,0.272
"Rada",0.51,0.338,0.02,0.175,0.261
"WuPalmerFast",0.466,0.302,0.024,0.159,0.238
