"","Measure","p-value(r)","Measure","p-value(rho)","Measure","p-value(h)"
"1","glove.emb","0.23","wordnet.randomwalks.emb","0.017","glove.emb","0.072"
"2","fastext.emb","0.043","cf.emb","0.0063","wordnet.randomwalks.emb","0.032"
"3","wordnet.randomwalks.emb","0.041","glove.emb","0.0051","fastext.emb","0.013"
"4","cbow.emb","0.0044","fastext.emb","0.0016","cf.emb","0.007"
"5","cf.emb","0.0037","paragram.sl.emb","0.0016","paragram.sl.emb","0.0027"
"6","paragram.sl.emb","0.0029","wordnet.ukb.ppv","0.00029","cbow.emb","0.00079"
"7","attract.reppel.emb","0.00087","attract.reppel.emb","0.00022","attract.reppel.emb","0.00073"
"8","en_wordsenses_BN.txt.nasari.unified","0.00064","en_wordsenses_BN.txt.nasari.unified","6.7e-05","en_wordsenses_BN.txt.nasari.unified","0.00035"
"9","wordnet.ukb.ppv","3.9e-05","cbow.emb","5.2e-05","wordnet.ukb.ppv","3.1e-05"
"10","sp.500d.emb","1.3e-05","sp.500d.emb","2.5e-07","sp.500d.emb","7.1e-06"
