"","MTurk771","MTurk287_235","WS353Rel","Rel122","Avg"
"paragram.ws.emb",0.722,0.702,0.693,0.581,0.675
"glove.emb",0.71,0.736,0.658,0.591,0.674
"fastext.emb",0.651,0.718,0.67,0.539,0.645
"paragram.sl.emb",0.692,0.662,0.609,0.541,0.626
"cbow.emb",0.66,0.686,0.584,0.568,0.625
"cf.emb",0.683,0.634,0.617,0.544,0.619
"wordnet.randomwalks.emb",0.657,0.646,0.625,0.517,0.611
"attract.reppel.emb",0.594,0.612,0.563,0.465,0.559
"en_wordsenses_BN.txt.nasari.unified",0.503,0.453,0.42,0.555,0.483
"wordnet.ukb.ppv",0.442,0.418,0.448,0.404,0.428
"sp.500d.emb",0.51,0.411,0.315,0.42,0.414
"CaiStrategy2.Cai",0.513,0.416,0.057,0.205,0.298
"CosineNormWeightedJiangConrath.Sanchez2011",0.504,0.418,0.032,0.235,0.297
"PirroSeco.Seco",0.489,0.428,0.062,0.194,0.293
"Zhou.Seco",0.524,0.412,0.043,0.192,0.293
"CosineNormJiangConrath.Sanchez2011",0.501,0.415,0.051,0.188,0.289
"Taieb2014",0.52,0.401,0.047,0.181,0.287
"FaITH.Seco",0.496,0.4,0.048,0.193,0.284
"JiangConrath.Sanchez2011",0.498,0.4,0.048,0.191,0.284
"Meng2012.Seco",0.499,0.399,0.047,0.191,0.284
"Lin.Seco",0.501,0.393,0.044,0.186,0.281
"Garla.Sanchez2011",0.442,0.398,0.057,0.209,0.276
"Gao2015Strategy3.CondProbRefHyponyms",0.508,0.363,0.007,0.183,0.265
"Sanchez2012",0.494,0.342,0.036,0.165,0.259
"Meng2014.Seco",0.486,0.372,0.011,0.164,0.258
"Li2003Strategy3",0.504,0.363,-0.005,0.172,0.258
"LeacockChodorow",0.498,0.354,-0.005,0.173,0.255
"Mubaid",0.468,0.356,0.006,0.184,0.253
"Resnik.CondProbRefLeavesSubsumersRatio",0.383,0.384,0.053,0.189,0.252
"PedersenPath",0.455,0.359,-0.005,0.183,0.248
"Rada",0.5,0.324,-0.005,0.165,0.246
"WuPalmerFast",0.456,0.29,0.027,0.159,0.233
