"","MTurk771-Pearson","MTurk771-Spearman","MTurk771-Harmonic","MTurk287_235-Pearson","MTurk287_235-Spearman","MTurk287_235-Harmonic","WS353Rel-Pearson","WS353Rel-Spearman","WS353Rel-Harmonic","Rel122-Pearson","Rel122-Spearman","Rel122-Harmonic"
"CosineNormWeightedJiangConrath.Sanchez2011",0.529,0.481,0.504,0.487,0.367,0.418,0.079,0.02,0.032,0.22,0.252,0.235
"Zhou.Seco",0.541,0.508,0.524,0.467,0.369,0.412,0.069,0.031,0.043,0.211,0.175,0.192
"CosineNormJiangConrath.Sanchez2011",0.525,0.479,0.501,0.48,0.365,0.415,0.079,0.037,0.051,0.188,0.189,0.188
"PirroSeco.Seco",0.515,0.465,0.489,0.482,0.385,0.428,0.085,0.049,0.062,0.21,0.181,0.194
"Taieb2014",0.54,0.501,0.52,0.496,0.337,0.401,0.091,0.032,0.047,0.189,0.174,0.181
"CaiStrategy2.Cai",0.536,0.491,0.513,0.478,0.369,0.416,0.081,0.044,0.057,0.219,0.193,0.205
"JiangConrath.Sanchez2011",0.518,0.479,0.498,0.442,0.365,0.4,0.066,0.037,0.048,0.194,0.189,0.191
"Resnik.CondProbRefLeavesSubsumersRatio",0.402,0.366,0.383,0.453,0.333,0.384,0.077,0.041,0.053,0.195,0.184,0.189
"Lin.Seco",0.524,0.479,0.501,0.469,0.339,0.393,0.069,0.033,0.044,0.193,0.18,0.186
"Rada",0.51,0.49,0.5,0.338,0.311,0.324,0.02,-0.002,-0.005,0.175,0.156,0.165
"attract.reppel.emb",0.59,0.599,0.594,0.618,0.606,0.612,0.541,0.586,0.563,0.464,0.466,0.465
"fastext.emb",0.641,0.661,0.651,0.728,0.709,0.718,0.659,0.681,0.67,0.54,0.539,0.539
"glove.emb",0.705,0.715,0.71,0.749,0.724,0.736,0.665,0.651,0.658,0.599,0.584,0.591
"cbow.emb",0.65,0.672,0.66,0.698,0.674,0.686,0.567,0.603,0.584,0.576,0.56,0.568
"sp.500d.emb",0.506,0.513,0.51,0.409,0.414,0.411,0.328,0.303,0.315,0.436,0.405,0.42
"paragram.ws.emb",0.701,0.745,0.722,0.704,0.699,0.702,0.668,0.721,0.693,0.573,0.589,0.581
"paragram.sl.emb",0.674,0.712,0.692,0.66,0.663,0.662,0.578,0.644,0.609,0.523,0.56,0.541
"cf.emb",0.666,0.701,0.683,0.63,0.639,0.634,0.59,0.645,0.617,0.526,0.562,0.544
"wordnet.randomwalks.emb",0.642,0.672,0.657,0.653,0.64,0.646,0.623,0.626,0.625,0.513,0.521,0.517
"wordnet.ukb.ppv",0.349,0.602,0.442,0.32,0.599,0.418,0.414,0.488,0.448,0.328,0.525,0.404
"en_wordsenses_BN.txt.nasari.unified",0.508,0.502,0.505,0.38,0.35,0.364,0.376,0.428,0.4,0.543,0.551,0.547
