"","paragram.ws.emb","paragram.sl.emb","attract.reppel.emb","cf.emb","wordnet.randomwalks.emb","glove.emb","cbow.emb","fastext.emb","wordnet.ukb.ppv","sp.500d.emb","en_wordsenses_BN.txt.nasari.unified"
"MC28",0.824,0.761,0.884,0.857,0.909,0.862,0.781,0.845,0.894,0.652,0.796
"RG65",0.813,0.775,0.825,0.808,0.823,0.769,0.76,0.801,0.858,0.663,0.745
"PSfull",0.821,0.794,0.843,0.831,0.814,0.755,0.767,0.801,0.841,0.674,0.752
"Agirre201",0.808,0.778,0.738,0.695,0.784,0.795,0.772,0.777,0.718,0.483,0.671
"SimLex665",0.645,0.679,0.69,0.698,0.529,0.429,0.454,0.41,0.524,0.46,0.481
"MTurk771",0.745,0.712,0.599,0.701,0.672,0.715,0.672,0.661,0.602,0.513,0.502
"MTurk287_235",0.699,0.663,0.606,0.639,0.64,0.724,0.674,0.709,0.599,0.414,0.35
"WS353Rel",0.721,0.644,0.586,0.645,0.626,0.651,0.603,0.681,0.488,0.303,0.428
"Rel122",0.589,0.56,0.466,0.562,0.521,0.584,0.56,0.539,0.525,0.405,0.551
"WS353Full",0.764,0.716,0.666,0.68,0.718,0.716,0.684,0.738,0.606,0.391,0.559
"SimLex111",0.825,0.795,0.872,0.847,0.643,0.622,0.592,0.508,0.555,0.676,0.452
"SimLex222",0.562,0.59,0.783,0.727,0.446,0.196,0.322,0.231,0.367,0.544,0.371
"SimLex999",0.667,0.685,0.751,0.736,0.525,0.408,0.442,0.38,0.497,0.513,0.354
"SimVerb3500",0.514,0.54,0.672,0.628,0.545,0.283,0.364,0.258,0.499,0.328,0.212
"MEN",0.799,0.771,0.709,0.741,0.754,0.801,0.732,0.762,0.669,0.434,0.563
"YP130",0.669,0.655,0.655,0.621,0.777,0.535,0.53,0.509,0.686,0.361,0.377
"RW2034",0.536,0.533,0.273,0.207,0.264,0.451,0.453,0.464,0.241,0.159,-0.037
"RW1401",0.55,0.547,0.281,0.217,0.443,0.475,0.473,0.485,0.398,0.203,-0.041
"SCWS1994",0.691,0.68,0.587,0.611,0.625,0.624,0.643,0.652,0.558,0.469,0.361
"Avg",0.697,0.678,0.657,0.655,0.635,0.6,0.593,0.59,0.585,0.455,0.445
