"","MC28-Pearson","MC28-Spearman","MC28-Harmonic","RG65-Pearson","RG65-Spearman","RG65-Harmonic","PSfull-Pearson","PSfull-Spearman","PSfull-Harmonic","Agirre201-Pearson","Agirre201-Spearman","Agirre201-Harmonic","SimLex665-Pearson","SimLex665-Spearman","SimLex665-Harmonic"
"CosineNormWeightedJiangConrath.Sanchez2011",0.871006506066104,0.87703947162533,0.874012578171769,0.87704083676606,0.835009906830592,0.855509441100054,0.884958459448774,0.82240382487573,0.852535198403715,0.694509209499959,0.665548403043786,0.679720463337405,0.591833554694954,0.587241176055522,0.58952842194654
"Zhou.Seco",0.854141042609589,0.846333494500592,0.850219344791417,0.872769308199724,0.824221325860718,0.847800879906679,0.894911904926083,0.814154184294133,0.852625040735125,0.672100826032592,0.654839915845585,0.663358105556362,0.623672628570962,0.610019684669361,0.616770609875167
"CosineNormJiangConrath.Sanchez2011",0.847557021592452,0.848917428618605,0.848236679648661,0.875150183179981,0.803134400432491,0.837597180501701,0.89963763828478,0.800070725321337,0.846937925588364,0.682404648769911,0.650370800623816,0.666002750833669,0.594060011965523,0.590565910033976,0.592307808002469
"PirroSeco.Seco",0.846343272995749,0.867562901856998,0.856821728821213,0.86218047405375,0.800943856448756,0.830434792129796,0.896966398700611,0.791610841367679,0.84100189047344,0.678902064029564,0.655544623361561,0.667018925624869,0.597498462127019,0.586152755571897,0.591771232587553
"Taieb2014",0.824786601284484,0.807376411036008,0.815988649404456,0.867033490394153,0.796811424516287,0.830440607045976,0.90677268968668,0.796975852229783,0.848336382232593,0.708190918799987,0.660051343940352,0.683274271595854,0.609337237051411,0.595967395691583,0.602578163890402
"CaiStrategy2.Cai",0.858433147256212,0.8638797671433,0.861147845039925,0.872174959159742,0.803825874615439,0.836606742951426,0.901034372360551,0.793562906343781,0.843890715784442,0.687383818206608,0.662316276265085,0.674617261574215,0.60758785000132,0.595208848032612,0.601334647607579
"JiangConrath.Sanchez2011",0.859464399612693,0.848917428618605,0.854158357401655,0.861886026114062,0.803134400432491,0.831473663371187,0.876224930986311,0.800070725321337,0.836417983236956,0.652100333916538,0.650370800623816,0.651234418958582,0.583750835044485,0.590565910033976,0.587138597105001
"Resnik.CondProbRefLeavesSubsumersRatio",0.793429819088097,0.838899245368851,0.8155312442563,0.823226361416841,0.76330252051536,0.792132767049136,0.874023995437506,0.757002155085867,0.81131507049184,0.668525126583356,0.638488518502653,0.653161685432774,0.512399086117004,0.511091546998265,0.511744481347965
"Lin.Seco",0.823982536864007,0.831071522715827,0.827511847892952,0.860885664784488,0.796885837363034,0.827650364319715,0.894490904507464,0.790723772599191,0.839412606804683,0.679676029507673,0.646778304740446,0.662819214785665,0.600970178952281,0.588795128160607,0.594820358975784
"Rada",0.729360349600083,0.812562896997258,0.76871680861394,0.770786247612691,0.809591441847387,0.789712425988609,0.750597508369524,0.797537883784904,0.773356066185119,0.557646215865353,0.624971605424517,0.589392523119864,0.565117177763607,0.588159670078846,0.576408229214253
"attract.reppel.emb",0.837385055257029,0.883504523511749,0.859826793500649,0.840361674066542,0.824988528118845,0.832604144961059,0.89254406775968,0.842535429851758,0.866819071779436,0.719733726928927,0.738164088927676,0.728832412025876,0.690640687114979,0.690255075183177,0.690447827308461
"fastext.emb",0.842097955359192,0.845448394361413,0.843769848894912,0.793282475815225,0.80053325346349,0.796891371585757,0.817747863246699,0.800576929428576,0.809071301839944,0.774690556851339,0.777167030493086,0.775926817678491,0.411185184112814,0.409930288457861,0.410556777368378
"glove.emb",0.844952627594658,0.862149285571272,0.85346434047549,0.770450028761736,0.768975240414042,0.769711928155198,0.759147867867755,0.754815939904542,0.756975706380045,0.796775048178553,0.79527912272106,0.796026382649294,0.467338068024117,0.429117497603844,0.447413011809559
"cbow.emb",0.79607590519735,0.780561325234582,0.788242281171972,0.772061977774523,0.760058571906996,0.766013254470055,0.786277996091506,0.767250516332038,0.776647732767528,0.762776651454256,0.771843204428197,0.767283145288013,0.461135298494206,0.453659062747484,0.457366630530405
"sp.500d.emb",0.605955530599075,0.652429897591725,0.628334524410832,0.690479215442682,0.662958674414823,0.676439146282601,0.70909856288137,0.674264360446287,0.691242884903231,0.454232720684338,0.483328038161908,0.468328922015625,0.435278152239169,0.459564871480688,0.447091931857693
"paragram.ws.emb",0.795840818403602,0.824366941522738,0.809852757940324,0.810058738043914,0.812662545182634,0.811358552587979,0.84944968671721,0.821075405156151,0.835021573844127,0.765116041073727,0.808165663536003,0.786051870055623,0.661999839849229,0.644558777515372,0.65316289957088
