Word pair;Human jugdement;CosineNormWeightedJiangConrath+Sanchez2011;Zhou+Seco;CosineNormJiangConrath+Sanchez2011;PirroSeco+Seco;Taieb2014;Gao2015Strategy3+CondProbRefHyponyms;JiangConrath+Sanchez2011;Meng2012+Seco;FaITH+Seco;Lin+Seco;Li2003Strategy3;Sanchez2012;Meng2014+Seco;Mubaid;Resnik+CondProbRefLeavesSubsumersRatio;PedersenPath;LeacockChodorow;Garla+Sanchez2011;Rada;WuPalmerFast;CaiStrategy2+Cai;attract-reppel.emb;fastext.emb;glove.emb;cbow.emb;sp.500d.emb;paragram-ws.emb;paragram-sl.emb;cf.emb;wordnet-randomwalks.emb;wordnet-ukb.ppv;en_wordsenses_BN.txt+nasari-unified
tiger,cat;7.35;0.9613179853348959;0.8684635626019946;0.9613179853348959;0.5930345831821213;0.8882793048835226;0.8385685319357288;0.6062041663819127;1.488823960659241;0.8379148312830553;0.9118102939493706;0.7788007830714049;0.9068905956085185;0.9923401486060771;0.10412026538597252;12.894510826942213;0.5;2.890371757896165;0.5594118714740468;0.5;1.0;0.927964969234251;0.2165632045039928;0.4308645509141478;0.5413389703676749;0.5172963002019578;0.18087750971911049;0.11633785622844403;0.0676920026363678;0.08306893769298318;0.4689301032278233;0.03955334334276755;0.872742067280586
tiger,tiger;10.0;0.9999999999999999;1.0;0.9999999999999999;1.0;1.0;1.0;1.0;1.718281828459045;1.0;1.0;1.0;1.0;1.0;1.0;15.641254960720813;1.0;3.58351893845611;1.0;1.0;1.0;1.0;1.0;1.0000000000000002;1.0;1.0000000000000002;1.0;0.9999999999999999;1.0;0.9999999999999999;1.0000000000000002;1.0;1.0
plane,car;5.77;0.6237081220183985;0.6034354307678642;0.6237081220183985;-0.022223668535209073;0.44737154304783455;0.3101475356509193;-2.9264987938066582;0.9266337102304893;0.4878453691371259;0.6557742884531761;0.22313016014842982;0.44745897697122106;0.7573635033322536;-1.1023463096954829;7.887521596091128;0.14285714285714285;1.6376087894007967;0.11295609087244657;-2.0;0.7368421052631579;0.7558343398950116;0.10548650033764646;0.33906895323645325;0.39917356598282555;0.37797019195695775;-0.04754345152481501;0.132174468331803;0.07143288979112312;0.13284061716322496;0.33276441179939276;0.021107961519692423;0.4383572197685343
train,car;6.31;0.5648959395550708;0.5980039428704197;0.5648959395550708;-0.13686571198606745;0.4491225359174416;0.37594281279674235;-3.5815732344056244;0.8291229731559164;0.43249708690601285;0.6038366023349397;0.2865047968601901;0.4525122046975065;0.7698589028684291;-1.0554369320866557;7.579811770644076;0.16666666666666666;1.791759469228055;0.09839472480976326;-1.5;0.75;0.7142652685984279;0.10292539681642833;0.49376821691845435;0.44299942796043923;0.3402557914046379;8.561846994881864E-4;0.22560775914852302;0.23211362591209858;0.16957092469069357;0.3222950472598291;0.019710075132646915;0.8273229577668401
television,radio;6.77;0.9405478874568779;0.7774806888996836;0.9405478874568779;0.5145703742508585;0.7673637724873926;0.7070536487166098;0.3945516087506906;1.3359764336725264;0.7367593453653899;0.848429976589976;0.6065306597126334;0.777607578663552;0.9718832577555283;-0.47221948958322013;15.740839788930108;0.3333333333333333;2.4849066497880004;0.452305149618908;0.0;0.9;0.8595446783096737;0.43153061630981765;0.5846176231282098;0.6301351479211861;0.6114972539826546;0.1064407875359521;0.5156789980483047;0.518743505003479;0.4690259123074097;0.4738885753038346;0.07217846980319328;0.6763919189138042
medium,radio;7.42;0.8611029870347384;0.7161596817483826;0.8611029870347382;0.26494721403954236;0.6202731139971682;0.5828386916953764;-0.41825063385856076;1.1702998515966319;0.6324736070197712;0.7748653384656052;0.4723665527410147;0.6214883767462702;0.9331526853605087;-0.8054589563221122;10.9766271513827;0.25;2.1972245773362196;0.2606541560183145;-0.5;0.8;0.8114409063469343;0.15249256334415792;0.23749952353047096;0.2296652082710408;0.13706154199629128;0.047296998013589414;0.07393386903995644;0.105961121982297;0.11820750463058098;0.3005959061763606;0.019513156401730954;0.5118527424159486
bread,butter;6.19;0.5817918632520714;0.6755546182370155;0.5817918632520714;-0.08978437069314815;0.4425478647359512;0.5569278689804437;-3.391430869344946;0.8667959975564168;0.4537245929135774;0.6242235910781636;0.4723665527410147;0.5305147166987798;0.8800071425874336;-0.8444397270569681;7.1051504878280545;0.25;2.1972245773362196;0.10221957814707076;-0.5;0.9090909090909091;0.7359252402502824;0.32818093978494634;0.7490252403258549;0.7272146730765953;0.6417259211681957;0.44289657451621983;0.5686787231312781;0.37812536381446554;0.4161211409064522;0.4715794615387392;0.023474037229764058;0.5818598981762652
cucumber,potato;5.92;0.6193100669483929;0.6378840895075432;0.6193100669483929;-0.13755176135699299;0.492358576152196;0.5746739550152382;-2.9748591227785877;0.849219674285095;0.4437970443676813;0.6147637524248356;0.4723665527410147;0.6129768768907526;0.8763695778080358;-0.8054589563221122;8.90670701574628;0.25;2.1972245773362196;0.11173536110999031;-0.5;0.8571428571428571;0.6941188956075527;0.25225805028307374;0.6388816161590144;0.6386378221224892;0.5678559433108084;0.2966164113338266;0.5788032187716076;0.41981305552789666;0.4635102730961686;0.40728423185044266;0.02086734682343432;0.5524564666524707
doctor,nurse;7.0;0.8480778288086431;0.7521410519655392;0.8480778288086431;0.33243164528871727;0.7447730182448228;0.5686512393290465;-0.5522431674606523;1.2992711910020187;0.7131973922930931;0.8325921992427123;0.4723665527410147;0.7198920808072649;0.9515187248972083;-0.8054589563221122;9.677305397035461;0.25;2.1972245773362196;0.24363584585284606;-0.5;0.8333333333333334;0.8807779414703446;0.24359641087745063;0.4861950775613465;0.6880643531992057;0.6319524227288814;0.12749863129849093;0.5900829315165314;0.45292986458600426;0.5056477145753694;0.46489676544953373;0.052857689574547;0.44529661784175806
professor,doctor;6.62;0.7209985573870277;0.6238330466726004;0.7209985573870275;0.07085870148874929;0.48847012133714796;0.3129094338237622;-1.8778130781838396;1.013508767349589;0.5383181856466617;0.6998788555832736;0.22313016014842982;0.5405683813627027;0.8026432525530479;-1.1847239262335107;8.392449825187779;0.14285714285714285;1.6376087894007967;0.14802476881545995;-2.0;0.7142857142857143;0.7826241915419326;0.35765721539739315;0.4532444306414961;0.42699637199956886;0.2133600709189424;0.29108947756058473;0.4622681527881596;0.39518688416514003;0.35758808638847467;0.2404855278338542;0.004672856940062894;0.6710245803322893
