"","MC28-Pearson","MC28-Spearman","MC28-Harmonic","RG65-Pearson","RG65-Spearman","RG65-Harmonic","PSfull-Pearson","PSfull-Spearman","PSfull-Harmonic","Agirre201-Pearson","Agirre201-Spearman","Agirre201-Harmonic","SimLex665-Pearson","SimLex665-Spearman","SimLex665-Harmonic"
"CosineNormWeightedJiangConrath.Sanchez2011",0.871,0.877,0.874,0.877,0.835,0.856,0.885,0.822,0.853,0.695,0.666,0.68,0.592,0.587,0.59
"Zhou.Seco",0.854,0.846,0.85,0.873,0.824,0.848,0.895,0.814,0.853,0.672,0.655,0.663,0.624,0.61,0.617
"CosineNormJiangConrath.Sanchez2011",0.848,0.849,0.848,0.875,0.803,0.838,0.9,0.8,0.847,0.682,0.65,0.666,0.594,0.591,0.592
"PirroSeco.Seco",0.846,0.868,0.857,0.862,0.801,0.83,0.897,0.792,0.841,0.679,0.656,0.667,0.597,0.586,0.592
"Taieb2014",0.825,0.807,0.816,0.867,0.797,0.83,0.907,0.797,0.848,0.708,0.66,0.683,0.609,0.596,0.603
"CaiStrategy2.Cai",0.858,0.864,0.861,0.872,0.804,0.837,0.901,0.794,0.844,0.687,0.662,0.675,0.608,0.595,0.601
"JiangConrath.Sanchez2011",0.859,0.849,0.854,0.862,0.803,0.831,0.876,0.8,0.836,0.652,0.65,0.651,0.584,0.591,0.587
"Resnik.CondProbRefLeavesSubsumersRatio",0.793,0.839,0.816,0.823,0.763,0.792,0.874,0.757,0.811,0.669,0.638,0.653,0.512,0.511,0.512
"Lin.Seco",0.824,0.831,0.828,0.861,0.797,0.828,0.894,0.791,0.839,0.68,0.647,0.663,0.601,0.589,0.595
"Rada",0.729,0.813,0.769,0.771,0.81,0.79,0.751,0.798,0.773,0.558,0.625,0.589,0.565,0.588,0.576
"attract.reppel.emb",0.837,0.884,0.86,0.84,0.825,0.833,0.893,0.843,0.867,0.72,0.738,0.729,0.691,0.69,0.69
"fastext.emb",0.842,0.845,0.844,0.793,0.801,0.797,0.818,0.801,0.809,0.775,0.777,0.776,0.411,0.41,0.411
"glove.emb",0.845,0.862,0.853,0.77,0.769,0.77,0.759,0.755,0.757,0.797,0.795,0.796,0.467,0.429,0.447
"cbow.emb",0.796,0.781,0.788,0.772,0.76,0.766,0.786,0.767,0.777,0.763,0.772,0.767,0.461,0.454,0.457
"sp.500d.emb",0.606,0.652,0.628,0.69,0.663,0.676,0.709,0.674,0.691,0.454,0.483,0.468,0.435,0.46,0.447
"paragram.ws.emb",0.796,0.824,0.81,0.81,0.813,0.811,0.849,0.821,0.835,0.765,0.808,0.786,0.662,0.645,0.653
"paragram.sl.emb",0.781,0.761,0.771,0.798,0.775,0.786,0.854,0.794,0.823,0.748,0.778,0.762,0.682,0.679,0.681
"cf.emb",0.806,0.857,0.831,0.806,0.808,0.807,0.866,0.831,0.848,0.701,0.695,0.698,0.697,0.698,0.697
"wordnet.randomwalks.emb",0.835,0.909,0.87,0.797,0.823,0.81,0.843,0.814,0.828,0.773,0.784,0.779,0.543,0.529,0.536
"wordnet.ukb.ppv",0.542,0.894,0.675,0.548,0.858,0.669,0.629,0.841,0.72,0.375,0.718,0.493,0.361,0.524,0.427
"en_wordsenses_BN.txt.nasari.unified",0.831,0.796,0.813,0.791,0.745,0.767,0.812,0.752,0.781,0.688,0.671,0.679,0.473,0.481,0.477
