"","Human","Human","Human","[SW]  Sent2vec_tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none","[SW]  Sent2vec_tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none","[CF]  Sent2vec_tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none","[CF]  Sent2vec_tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none","[TOK]  Sent2vec_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none","[SW]  Sent2vec_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none","[CF]  Sent2vec_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none","[TOK]  Sent2vec_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none","[LC]  Sent2vec_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none","[TOK]  Sent2vec_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none","[LC]  Sent2vec_tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none","[CF]  Sent2vec_tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none"
"Human",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Human",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Human",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"[SW]  Sent2vec_tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none",0,0,0,NA,0.009,0.011,0.004,0.002,0.002,0.002,0.002,0.002,0.001,0,0
"[SW]  Sent2vec_tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none",0,0,0,0.009,NA,0.015,0.005,0.003,0.003,0.003,0.003,0.003,0.001,0,0
"[CF]  Sent2vec_tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none",0,0,0,0.011,0.015,NA,0.2,0.144,0.137,0.137,0.137,0.137,0.012,0.001,0
"[CF]  Sent2vec_tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none",0,0,0,0.004,0.005,0.2,NA,0.2,0.194,0.194,0.194,0.194,0.014,0.001,0
"[TOK]  Sent2vec_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none",0,0,0,0.002,0.003,0.144,0.2,NA,0.051,0.051,0.051,0.051,0.013,0.002,0
"[SW]  Sent2vec_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0,0,0,0.002,0.003,0.137,0.194,0.051,NA,NA,NA,NA,0.014,0.002,0
"[CF]  Sent2vec_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0,0,0,0.002,0.003,0.137,0.194,0.051,NA,NA,NA,NA,0.014,0.002,0
"[TOK]  Sent2vec_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0,0,0,0.002,0.003,0.137,0.194,0.051,NA,NA,NA,NA,0.014,0.002,0
"[LC]  Sent2vec_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0,0,0,0.002,0.003,0.137,0.194,0.051,NA,NA,NA,NA,0.014,0.002,0
"[TOK]  Sent2vec_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none",0,0,0,0.001,0.001,0.012,0.014,0.013,0.014,0.014,0.014,0.014,NA,0.031,0
"[LC]  Sent2vec_tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none",0,0,0,0,0,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.031,NA,0.095
"[CF]  Sent2vec_tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none",0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,NA
