"","Human","Human","Human","[SW]  USE_tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none","[SW]  USE_tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none","[TOK]  USE_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none","[SW]  USE_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none","[CF]  USE_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none","[LC]  USE_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none","[LC]  USE_tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none","[TOK]  USE_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none","[CF]  USE_tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none","[CF]  USE_tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none","[CF]  USE_tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none","[TOK]  USE_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none"
"Human",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Human",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Human",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"[SW]  USE_tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none",0,0,0,NA,0.084,0.054,0.047,0.047,0.047,0.047,0.047,0.029,0.029,0.029,0.011
"[SW]  USE_tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none",0,0,0,0.084,NA,0.06,0.052,0.052,0.052,0.052,0.052,0.032,0.032,0.032,0.012
"[TOK]  USE_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none",0,0,0,0.054,0.06,NA,0.088,0.088,0.088,0.087,0.087,0.108,0.108,0.108,0.013
"[SW]  USE_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0,0,0,0.047,0.052,0.088,NA,0.103,0.085,0.085,0.085,0.12,0.12,0.12,0.015
"[CF]  USE_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0,0,0,0.047,0.052,0.088,0.103,NA,0.085,0.085,0.085,0.12,0.12,0.12,0.015
"[LC]  USE_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0,0,0,0.047,0.052,0.088,0.085,0.085,NA,0.085,0.085,0.12,0.12,0.12,0.015
"[LC]  USE_tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none",0,0,0,0.047,0.052,0.087,0.085,0.085,0.085,NA,0.085,0.12,0.12,0.12,0.015
"[TOK]  USE_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0,0,0,0.047,0.052,0.087,0.085,0.085,0.085,0.085,NA,0.12,0.12,0.12,0.015
"[CF]  USE_tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none",0,0,0,0.029,0.032,0.108,0.12,0.12,0.12,0.12,0.12,NA,0.081,0.085,0.032
"[CF]  USE_tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none",0,0,0,0.029,0.032,0.108,0.12,0.12,0.12,0.12,0.12,0.081,NA,0.085,0.032
"[CF]  USE_tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none",0,0,0,0.029,0.032,0.108,0.12,0.12,0.12,0.12,0.12,0.085,0.085,NA,0.032
"[TOK]  USE_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none",0,0,0,0.011,0.012,0.013,0.015,0.015,0.015,0.015,0.015,0.032,0.032,0.032,NA
