Human;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none_Average;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none_Average;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none_Average;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Average;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none_Average;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none_Average;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none_Average;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Average
4.0;0.9706011138720968;0.9744071892165848;0.9744071892165848;0.9690216183201639;0.8835389342110203;0.9112305471539668;0.9112305471539668;0.9257305399905698
3.0;0.9768488045885314;0.975451663285509;0.975451663285509;0.9760946730317911;0.9195615390463405;0.9290447030779863;0.9290447030779863;0.9202352978308699
2.2;0.9621208913289373;0.9641115077552112;0.9641115077552112;0.9641115077552112;0.9069234867995156;0.9197503093661554;0.9197503093661554;0.9197503093661554
3.2;0.984648177385124;0.9848956652940248;0.9843207042386888;0.982995215479281;0.9409170233148455;0.947649212008317;0.9482788096805433;0.947649212008317
3.2;0.9738904122416934;0.9727043826313474;0.9727043826313474;0.9727935780741838;0.9049530411120446;0.9026764238183427;0.9026764238183427;0.9048489757644718
3.2;0.9630544308493058;0.9626039144626339;0.9626039144626339;0.9628622780421769;0.9242056365012611;0.9231627946747917;0.9231627946747917;0.9215965968689485
1.4;0.9233673836448145;0.9250715798332082;0.9229653598216617;0.9250715798332082;0.8373973751968412;0.8529421275876152;0.8455594140930623;0.8529421275876152
3.0;0.9682977348515572;0.9734000634533058;0.9734000634533058;0.9734000634533058;0.9232290322586612;0.9299472904460618;0.9299472904460618;0.9299472904460618
1.4;0.9402038889497315;0.9339707943136303;0.9339707943136303;0.939135710674944;0.858561166898073;0.8662792714456271;0.8662792714456271;0.8649330077554176
3.0;0.9805034915119588;0.9792155785802494;0.9792155785802494;0.980105723637577;0.9519303184940906;0.9475578700463153;0.9475578700463153;0.9467991533090427
3.0;0.9785400595334577;0.9764314688870872;0.9764314688870872;0.9764314688870872;0.9402527301385583;0.9367117634711181;0.9367117634711181;0.9367117634711181
1.0;0.9276986331073046;0.9390813892554298;0.9390813892554298;0.9390813892554298;0.8317032717706359;0.8400965140056521;0.8400965140056521;0.8400965140056521
3.0;0.8762029637394982;0.9251965594851385;0.9251965594851385;0.9251965594851385;0.7141865652076816;0.8105723431733995;0.8105723431733995;0.8105723431733995
2.0;0.9646327085121748;0.9720542836376632;0.9720542836376632;0.9657787255624541;0.9154358892333205;0.9324421525992032;0.9324421525992032;0.9264242143248865
2.4;0.9550780305997639;0.9721267343682639;0.9721267343682639;0.9753315613429587;0.8932274951980204;0.9142208246526382;0.9142208246526382;0.9097709164502913
3.4;0.9789053328571119;0.9810619634033935;0.9810619634033935;0.9810619634033935;0.9387737410546658;0.9400085384191679;0.9400085384191679;0.9400085384191679
3.0;0.9716957854596577;0.9757173751912115;0.9772824533308918;0.9759187166523187;0.9342188887202169;0.9398060168350304;0.9388764459352306;0.9382195856207528
2.0;0.9511651204789222;0.9462420562178827;0.9462420562178827;0.9404574053135741;0.9020042194043862;0.8990106268369619;0.8990106268369619;0.8900003285418789
3.2;0.9744626036832681;0.9681826882208175;0.9762429419384984;0.9789819402372361;0.9439638959729668;0.9374208734022776;0.9423618163489158;0.9404907613643214
2.0;0.9338607248045528;0.9361209503507159;0.9401869398450102;0.9353021844452646;0.9044266554007507;0.908589989780314;0.9132605121862788;0.9076327255017967
3.0;0.9581756608291133;0.9705412765890397;0.9705412765890397;0.9615493361800752;0.8755816887281663;0.9133800374506685;0.9133800374506685;0.9105225417697059
1.2;0.9616343915870101;0.9496748141148024;0.9496748141148024;0.9611308700605075;0.8600913965000551;0.8694122192366565;0.8694122192366565;0.8694122192366565
3.4;0.9624006370951284;0.970865776820187;0.9634103956994661;0.9593319258709504;0.8849362689492417;0.8812511603809532;0.8812511603809532;0.8777634842264689
1.8;0.94861762236961;0.9376904263051111;0.9457659248876976;0.9442437156217273;0.8859143173731882;0.8857065073271986;0.8857065073271986;0.884725276750018
3.6;0.9722180428874965;0.9585043374084791;0.9585043374084791;0.9546598493423039;0.9094343384758863;0.8957786700582658;0.8957786700582658;0.8957786700582658
2.0;0.9491172115781263;0.9406010808116791;0.9486133236644025;0.9433028346150091;0.8628971265883185;0.8922856351879249;0.8922856351879249;0.8922856351879249
2.4;0.9525481566586455;0.9514350255881291;0.9514350255881291;0.9471035328091623;0.9140392149181777;0.9109394103240602;0.9109394103240602;0.9127760406415035
3.4;0.9533954460067274;0.9325364733778023;0.9286694392339833;0.9325364733778023;0.8541807109652138;0.8377032603657777;0.8387470665421447;0.8377032603657777
3.0;0.9729294336149613;0.9710709155513538;0.9628387390076723;0.967165023868707;0.9014689169144782;0.8909640075469197;0.8857555581547703;0.8882887314909572
4.0;0.9507479121636269;0.9619158201145908;0.9598113297083805;0.9619158201145908;0.8339027163627525;0.8379426260965237;0.8371419498221726;0.8379426260965237
4.0;0.9681068030089481;0.9663449384094446;0.9663449384094446;0.9663449384094446;0.920921648464485;0.9274081309759016;0.9274081309759016;0.9274081309759016
3.4;0.9766979102474622;0.9747745849201528;0.9747745849201528;0.9747745849201528;0.9276920598939997;0.9096440510668695;0.9096440510668695;0.9096440510668695
3.4;0.9491174823720663;0.9643808981922236;0.9643808981922236;0.9643808981922236;0.8652706112193703;0.8752250920847663;0.8752250920847663;0.8752250920847663
3.0;0.937708495713033;0.9396200533653731;0.9396200533653731;0.9016957842549091;0.8026052167707131;0.7864835571438702;0.7864835571438702;0.7864835571438702
2.0;0.9105462346857668;0.9097535445204591;0.9097535445204591;0.9097535445204591;0.7859067053554347;0.7992627008243444;0.7992627008243444;0.7992627008243444
3.8;0.9628456605660591;0.9702035516602476;0.9702035516602476;0.9672407391472996;0.920525440567783;0.9252509038542638;0.9252509038542638;0.92160348300377
3.4;0.9526032506631811;0.967363222381011;0.9640746849018766;0.9660262674912946;0.9185860427831797;0.9352899114976895;0.9320652406024321;0.9320321100446363
2.0;0.9536173456666822;0.946251382093791;0.946251382093791;0.946251382093791;0.8147941315341762;0.8044466396860378;0.8044466396860378;0.8044466396860378
4.0;0.9270822112047616;0.9499743454833317;0.9401386288617638;0.9386392591071028;0.8691698230598778;0.8739196669363992;0.8578378405891416;0.8739196669363992
3.2;0.9753155403813454;0.9706840954415118;0.9706840954415118;0.9706840954415118;0.929586241838978;0.9259722768536051;0.9259722768536051;0.9259722768536051
2.2;0.9071044671621593;0.8953990380126277;0.8975769857191067;0.8905035353729568;0.7994645143528125;0.7999528608180692;0.7999528608180692;0.7961995876509131
3.0;0.9715749526348713;0.9792376323815303;0.9749176061202895;0.9789967153708843;0.9380727373695389;0.9482859182652041;0.9482859182652041;0.9483908509868827
