Human;USE_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;USE_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none
3.5;0.8971990274330263;0.8971990407591749
2.5;0.8195480382259662;0.8195480369216066
3.45;0.7624761542840336;0.7624761511616718
4.0;0.895635493728484;0.8956354757647114
3.0;0.42447062540571323;0.4244706170565951
2.0;0.5295782566018358;0.5295782511092411
2.5;0.7630997787254796;0.7630997496167097
3.0;0.7883446796537064;0.7883446807237755
0.0;-0.028837858856962086;-0.028837845792390192
2.5;0.5420783580174212;0.5420783574870347
3.0;0.851694539401761;0.851694534471897
0.5;0.32259278847948697;0.3225927984259563
3.0;0.6540423828760165;0.6540424074553854
4.1;0.8341400501280485;0.834140090510984
3.5;0.7590463851474557;0.7590463702792423
4.0;0.9401156055666504;0.9401156118406595
2.5;0.65061082434847;0.6506108412531266
4.0;0.9523518687112298;0.9523518714547732
4.0;0.899590539772943;0.8995905474531756
4.1;0.749124497414295;0.7491245098336083
4.0;0.8072205496089688;0.8072205544084758
3.0;0.8365895874579367;0.8365895785757508
4.0;0.7638668052307822;0.7638668129214282
3.0;0.8687199201010363;0.8687199234667753
4.5;0.9630898301404255;0.9630898333262871
3.5;0.8862734773162916;0.886273483494502
3.5;0.3056397389147762;0.3056397501974265
3.0;0.8815016865019357;0.8815016788989919
3.5;0.9406250027438283;0.9406250084645309
4.0;0.9853185229679389;0.9853185146014773
4.0;0.9814645999809911;0.9814646017356938
4.0;0.9243522071639834;0.9243522043784759
3.0;0.7952845921034393;0.7952845905544573
2.5;0.8524565418005927;0.8524565531358762
2.5;0.5449931771689728;0.5449932183471079
3.0;0.8120148374398721;0.8120148424361286
0.0;0.10642921355344725;0.10642922284356003
4.25;0.7652919289156542;0.7652919134853998
3.0;0.6788735704306772;0.6788735876071242
3.0;0.6137944807951887;0.6137944695254577
4.0;0.7958155167886455;0.795815525968101
0.0;0.05130851614904117;0.05130849746149896
3.5;0.5720757646260994;0.5720757727968729
1.0;0.3359424621389729;0.33594249274567833
0.0;0.12005137684529954;0.12005138128257153
1.5;0.4896699411088738;0.4896699344082121
3.6;0.6016888549433799;0.6016888319651525
3.0;0.9009048371794871;0.9009048449461928
3.0;0.860979035290228;0.8609790300161966
5.0;0.9064745311217894;0.9064745277059686
3.5;0.5666672105041587;0.5666672412826416
0.0;0.27854632202679513;0.2785463224317776
4.0;0.624147246644262;0.624147222618676
4.5;0.9487632219664538;0.9487632272013602
3.0;0.8095438609450338;0.8095438775867165
3.5;0.8861735267318891;0.8861735150297805
4.0;0.9417283406045242;0.9417283366438457
3.0;0.9118789353404246;0.911878944076108
3.0;0.7536002894350264;0.7536002769411284
3.5;0.8523859885016616;0.852385986427259
2.5;0.656790941760371;0.6567909324962662
3.5;0.8177308238476657;0.8177308229673504
3.5;0.6012364816975563;0.6012364909160876
3.0;0.9194162041827607;0.9194161916715173
4.5;0.6274184296450248;0.6274184405073495
2.5;0.42762350026092366;0.42762347532072104
3.5;0.45163261736851296;0.45163261020685097
3.0;0.7020904099927605;0.7020904174131208
2.5;0.8512637613969825;0.8512637702070067
4.0;0.7741752387514063;0.7741752350573997
3.5;0.729855804383355;0.7298558034979623
3.5;0.4825749976189465;0.48257498679759253
3.0;0.8167417034204785;0.8167417054023783
2.5;0.9145228885726967;0.9145228901796282
4.0;0.7343629607700545;0.7343629769474243
3.5;0.7420286079078093;0.7420286115595672
2.5;0.6257456361787129;0.6257456616408578
2.5;0.8666591122107804;0.8666591122152865
5.0;0.9432350582073482;0.9432350560021207
4.25;0.7495641987561121;0.749564190140941
2.5;0.6146427853179199;0.6146427855282754
2.95;0.8704745954573863;0.8704745972003056
3.0;0.8570827490642333;0.857082783082074
3.45;0.9066645275723796;0.906664525887552
2.5;0.8411869157591847;0.8411868859617406
0.5;0.5136336616143058;0.5136336564574701
4.5;0.5116681439123227;0.5116681453476771
2.0;0.4114352367908105;0.41143522350598255
2.0;0.5132934014546967;0.5132933878061519
3.5;0.9297587911699645;0.9297588082893103
3.5;0.8281113264006261;0.8281113223276477
4.0;0.8384697694797132;0.838469772567585
3.5;0.8811104353116869;0.8811104434559955
4.0;0.8258125097770384;0.8258125030074023
2.5;0.6832516960872898;0.6832516894761231
3.0;0.7759165026671685;0.7759165022892264
3.0;0.6167015075520088;0.616701504451924
3.0;0.49020419145750144;0.4902041982655874
1.0;0.33031921309234513;0.33031920962786904
2.0;0.7029842564500841;0.7029842621858655
2.0;0.4280898961554316;0.42808986376775277
4.5;0.916457573496317;0.916457577192346
4.0;0.0852915323776967;0.08529153198293683
3.0;0.8624739438869885;0.8624739499388976
3.0;0.898751285269859;0.898751272140475
4.15;0.8114844410944411;0.8114844428278083
2.5;0.6452288864585708;0.6452289133353228
3.5;0.7480807247500206;0.7480807032478094
4.0;0.40950664324338343;0.40950664313312
5.0;0.8561851087968404;0.856185100782152
4.8;0.9681412415926496;0.9681412576361749
0.0;0.0628145097364715;0.06281448148876707
4.6;0.8565327500921621;0.8565327598905692
3.0;0.804573202115984;0.8045731985146681
2.7;0.6047169571848301;0.6047169425568615
3.6;0.9358212239639603;0.9358212333486151
3.75;0.949658976202075;0.9496589840794893
