Human;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Sum;PubMed-and-PMC-w2v__tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none_Sum;PubMed-and-PMC-w2v__tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none_Sum
4.0;0.8298225650592453;0.8298225650592453;0.863200238225325
3.0;0.8231953540237181;0.8231953540237181;0.8147788347552151
2.2;0.8261088493234772;0.8261088493234772;0.8288694662655
3.2;0.8900400593580348;0.8900400593580348;0.9018074047188294
3.2;0.851959678289663;0.851959678289663;0.8490336477653659
3.2;0.8728954709721409;0.8728954709721409;0.8766040764907346
1.4;0.5597558231974646;0.5597558231974646;0.5597558231974646
3.0;0.8979802940529729;0.8979802940529729;0.8979802940529729
1.4;0.7104455892930501;0.7249656640469552;0.6966223013076855
3.0;0.8715946984328845;0.8715946984328845;0.880243857145365
3.0;0.8917866639908039;0.8917866639908039;0.8917866639908039
1.0;0.7133410308667936;0.7133410308667936;0.7133410308667936
3.0;0.7067520092541202;0.7067520092541202;0.7067520092541202
2.0;0.829559763937069;0.829559763937069;0.8391212469976214
2.4;0.83782174124302;0.83782174124302;0.818129141212605
3.4;0.8786816813106633;0.8952038589678305;0.8633650789480112
3.0;0.8832032186864646;0.8832032186864646;0.8785430710230757
2.0;0.7606358680364298;0.7419279776895142;0.7393055084634184
3.2;0.8685228907652803;0.8685228907652803;0.8435527323255211
2.0;0.8210935438308745;0.8210935438308745;0.8166579284371878
3.0;0.772890513968466;0.772890513968466;0.8235860910467635
1.2;0.7806687747762608;0.7806687747762608;0.7850015834478113
3.4;0.7809123687001408;0.7809123687001408;0.8668943639476939
1.8;0.8064902862431698;0.8064902862431698;0.8161525998847752
3.6;0.7508670423135634;0.7508670423135634;0.7920482475735426
2.0;0.7293817018346367;0.7293817018346367;0.6966253266009548
2.4;0.812392685813427;0.7850279456957827;0.8000692677655642
3.4;0.7484411363110945;0.7484411363110945;0.7484411363110945
3.0;0.7348284416009127;0.7348284416009127;0.8176207984569234
4.0;0.7346305431276128;0.7346305431276128;0.7385514155971835
4.0;0.8475064614295745;0.8475064614295745;0.8475064614295745
3.4;0.8124830634396857;0.8124830634396857;0.8497281562427351
3.4;0.8057083035381389;0.8057083035381389;0.8057083035381389
3.0;0.5862701475851756;0.5862701475851756;0.6986689786561168
2.0;0.6593421063384647;0.6593421063384647;0.6593421063384647
3.8;0.8517920074841087;0.8517920074841087;0.9081833138366115
3.4;0.8362247877205691;0.8362247877205691;0.9064441474606781
2.0;0.6714350785532408;0.6714350785532408;0.7586034784554704
4.0;0.7539307369204196;0.7539307369204196;0.8115074268693803
3.2;0.8058428503538245;0.8058428503538245;0.8080140522996819
2.2;0.5473921945046639;0.5473921945046639;0.6125255854476647
3.0;0.8813313843724018;0.8549440398297451;0.8345445975994334
2.0;0.7694986164021621;0.7694986164021621;0.805760654322894
0.6;0.8074286331644567;0.8074286331644567;0.8230698908452079
3.2;0.8586213914214877;0.8586213914214877;0.8398143848686619
3.6;0.8545502106276508;0.8545502106276508;0.8545502106276508
1.0;0.815875924666266;0.815875924666266;0.7702110907979481
1.8;0.7513161797627469;0.7513161797627469;0.8043567019374597
2.8;0.7704997255569834;0.7301677296501213;0.45782599736117624
2.8;0.718404230982283;0.711603944043535;0.46193293568703414
1.8;0.8283465565399093;0.8169649633950296;0.7665585498744426
1.8;0.737112943235881;0.7509864798197607;0.7714721772630659
2.6;0.826962914365565;0.826962914365565;0.8932015517166233
1.4;0.5691574656931845;0.5691574656931845;0.59902017321913
3.0;0.6898663182926574;0.6898663182926574;0.6898663182926574
0.6;0.6957343027535585;0.6992394442935467;0.6662720460564405
1.8;0.7168877186680597;0.7168877186680597;0.7172660342975736
3.0;0.8045824686800124;0.8045824686800124;0.7921139653862924
3.0;0.8764865192728292;0.8764865192728292;0.8762919571962529
3.8;0.9280321295448977;0.9280321295448977;0.9189682975075152
2.4;0.8273139430434775;0.8273139430434775;0.8234901340352508
3.6;0.8816228450210535;0.8816228450210535;0.8866289492426528
2.8;0.7902952748956961;0.7902952748956961;0.9044131926770597
3.6;0.8937066001614024;0.8937066001614024;0.8937066001614024
3.0;0.8304912674415902;0.8304912674415902;0.865031420907776
0.0;0.5192731768594729;0.5192731768594729;0.4513132956261328
0.0;0.6854632846047721;0.6854632846047721;0.6932790719999439
0.2;0.6254832635638871;0.6254832635638871;0.5621168982277573
0.0;0.7070056315849153;0.7070056315849153;0.6886759425427285
0.2;0.6798837394233456;0.6798837394233456;0.6940085082339602
0.2;0.7233825649005156;0.7233825649005156;0.722146069004804
1.8;0.6869845848729125;0.6869845848729125;0.6906073665425358
1.4;0.7094549869137848;0.7094549869137848;0.658614003046191
1.8;0.6556692251185965;0.6556692251185965;0.6910894685900949
2.0;0.8068994468253946;0.8068994468253946;0.8174517358930034
0.0;0.765444077484478;0.765444077484478;0.7625567224997525
0.8;0.824221313213156;0.824221313213156;0.8310474058827758
2.2;0.80222860418379;0.80222860418379;0.8011883936309375
1.4;0.6676751787567091;0.6676751787567091;0.5792385307959801
1.8;0.8279638774123903;0.8279638774123903;0.816519739009838
3.0;0.8730767244218086;0.8730767244218086;0.8856344223383389
1.2;0.7728804686148077;0.7728804686148077;0.7994734131849146
0.2;0.5511236672244954;0.5511236672244954;0.5622700296064288
0.2;0.6819056096966436;0.6405433032690959;0.4861109483228865
0.6;0.6159419485438071;0.6159419485438071;0.5809814648814556
0.2;0.604536399908819;0.604536399908819;0.675734595458843
0.2;0.5991045691416571;0.5991045691416571;0.6059985447962096
0.0;0.7000357620357867;0.7000357620357867;0.55556987941144
0.2;0.4975333119564411;0.4975333119564411;0.5133169085919921
0.2;0.6161324906032626;0.6161324906032626;0.6294861576794639
2.0;0.627363664290283;0.627363664290283;0.627363664290283
2.8;0.8059968783544577;0.8059968783544577;0.8215645454898338
2.0;0.4765718738684675;0.4765718738684675;0.5162786866363602
4.0;0.8602503793995976;0.8602503793995976;0.9150728467943291
3.0;0.7927081373556408;0.7927081373556408;0.7600174392102814
3.2;0.826483179246974;0.826483179246974;0.826483179246974
1.6;0.7884590399387066;0.7884590399387066;0.7794810615857478
2.4;0.7937941305724088;0.7932858372647512;0.8166486545591986
3.2;0.8014565868876787;0.8014565868876787;0.8014565868876787
1.8;0.4674037931849373;0.4674037931849373;0.5884533870467943
