Human;bioconceptvec_fasttext__tok-whitespace_lc_sw-user_cf-default_ner-none_Average;bioconceptvec_fasttext__tok-biocnlptokenizer_lc_sw-user_cf-default_ner-none_Average;bioconceptvec_fasttext__tok-stanfordcorenlpv4_2_0_lc_sw-user_cf-default_ner-none_Average
3.5;0.9998443972632011;0.9998443972632011;0.9998641310404617
2.5;0.9988460324503728;0.9988460324503728;0.9988460324503728
3.45;0.9987172583828638;0.9987172583828638;0.9987172583828638
4.0;0.9998551425886942;0.9998551425886942;0.9998861622196411
3.0;0.9985478612465732;0.9985478612465732;0.9983292683970357
2.0;0.9988234619070683;0.9988234619070683;0.9988234619070683
2.5;0.9991528779983173;0.9991528779983173;0.9993826065236272
3.0;0.9940288954087805;0.9940288954087805;0.9940288954087805
0.0;0.998918824672205;0.998918824672205;0.998918824672205
2.5;0.996662368225509;0.996662368225509;0.996662368225509
3.0;0.9995534937800967;0.9995534937800967;0.9995534937800967
0.5;0.9952951194627503;0.9921712837317955;0.9921712837317955
3.0;0.9990301361847167;0.9990301361847167;0.9989217769171088
4.1;0.9997945374380975;0.9997945374380975;0.9997945374380975
3.5;0.9988213237524701;0.9988213237524701;0.9988213237524701
4.0;0.9999737679227227;0.9999737679227227;0.9999737679227227
2.5;0.9997061930691882;0.9999940599658315;0.9996595755841943
4.0;0.9994333205255963;0.9994333205255963;0.9993353899508546
4.0;0.9993376035096251;0.9993376035096251;0.9992378443490756
4.1;0.9988678925924247;0.9988678925924247;0.9988678925924247
4.0;0.9995784490535069;0.9995784490535069;0.9995784490535069
3.0;0.9995233229219993;0.9995233229219993;0.9994517256784567
4.0;0.9968277355117714;0.9968277355117714;0.9968277355117714
3.0;0.9987732831254951;0.9987732831254951;0.9987732831254951
4.5;0.999846082091026;0.9998556298481468;0.9998556298481468
3.5;0.9994907369428461;0.9997826912293732;0.9997826912293732
3.5;0.9994014612443229;0.9994014612443229;0.9994014612443229
3.0;0.9997435116815814;0.9997435116815814;0.9997312441052983
3.5;0.9996306025768337;0.9996306025768337;0.9996306025768337
4.0;0.9999702914627818;0.9999702914627818;0.999970615515732
4.0;0.9999670164078728;0.9999670164078728;0.9999529152913779
4.0;0.9999251824949731;0.9999251824949731;0.9997906631092991
