Human;bio_embedding_extrinsic__tok-whitespace_lc_sw-user_cf-default_ner-none_Average;bio_embedding_extrinsic__tok-whitespace_lc_sw-user_cf-default_ner-none_Average;bio_embedding_extrinsic__tok-whitespace_lc_sw-user_cf-default_ner-none_Average;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-user_cf-default_ner-none_Average;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-user_cf-default_ner-none_Average;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-user_cf-default_ner-none_Average
4.0;0.8766436674886803;0.8766436674886803;0.9510660772880848;0.8434599981955407;0.8434599981955407;0.9257305399905698
3.0;0.9124428987489263;0.9124428987489263;0.9556731292571977;0.8581414864779958;0.8581414864779958;0.9202352978308699
2.2;0.9045334781089664;0.9045334781089664;0.948499921673979;0.8657199355755528;0.8657199355755528;0.9197503093661554
3.2;0.9540475884626001;0.9569683177182404;0.9725114656436692;0.9205682122037117;0.9237840052734625;0.947649212008317
3.2;0.9381574929259793;0.9381574929259793;0.9488047129848638;0.8989610244193279;0.8989610244193279;0.9048489757644718
3.2;0.8943686042973397;0.8943686042973397;0.9475502590201591;0.8613880797490581;0.8613880797490581;0.9215965968689485
1.4;0.7967887807629331;0.7967887807629331;0.8884993792565831;0.7498052327632001;0.7498052327632001;0.8529421275876152
3.0;0.9364166452379474;0.937534878380786;0.9567230433194424;0.901910327762869;0.90410404460804;0.9299472904460618
1.4;0.8761288865546636;0.8761288865546636;0.9081313567980577;0.8345801450274452;0.8345801450274452;0.8649330077554176
3.0;0.9250908738549319;0.9250908738549319;0.9663566801680071;0.891056695576534;0.891056695576534;0.9467991533090427
3.0;0.9259368225752075;0.9328653265911706;0.9620913605818845;0.8916573821218544;0.8978766007553851;0.9367117634711181
1.0;0.8430178609753982;0.8430178609753982;0.9063163157528982;0.7622836468435683;0.7622836468435683;0.8400965140056521
3.0;0.8259992143072902;0.8259992143072902;0.8879947778938138;0.7494231871578012;0.7494231871578012;0.8105723431733995
2.0;0.9227611458172937;0.9174697430316118;0.9512248040634311;0.8781605739077184;0.8729003751671786;0.9264242143248865
2.4;0.9619702246350242;0.9619702246350242;0.9608571909289134;0.8871809154691715;0.8871809154691715;0.9097709164502913
3.4;0.9407765972039608;0.9407765972039608;0.9668062443252309;0.9110859772474377;0.9110859772474377;0.9400085384191679
3.0;0.932424595362689;0.932424595362689;0.9637098472471205;0.9009653056886247;0.9009653056886247;0.9382195856207528
