Human;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none_Min;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none_Min;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none_Min;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Min;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none_Min;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none_Min;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none_Min;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Min
4.0;0.9542279922395921;0.9654658191054896;0.9654658191054896;0.9540516807724835;0.9081332813155665;0.927143109760467;0.927143109760467;0.9328467158490927
3.0;0.958381638657881;0.9498325664196106;0.9498325664196106;0.9388085994412171;0.9397329841236668;0.9429006265081815;0.9429006265081815;0.9402006050190665
2.2;0.9316408871590219;0.9417681930551974;0.9417681930551974;0.9417681930551974;0.9255447149123238;0.9399576000456834;0.9399576000456834;0.9399576000456834
3.2;0.9719768101043837;0.9766921937827122;0.9691276654569607;0.9545791869817334;0.9566221041750712;0.95750128433992;0.95750128433992;0.95750128433992
3.2;0.9735328930685124;0.970626088366658;0.970626088366658;0.9752366379972923;0.933225332722897;0.9348443067285911;0.9348443067285911;0.9353344806984158
3.2;0.959152889019733;0.9395373516387244;0.9395373516387244;0.9450991717195056;0.9467321680827862;0.943976523266687;0.943976523266687;0.9433559230491312
1.4;0.9039483095446238;0.9176581105240131;0.9064726737207085;0.9176581105240131;0.9029013749563448;0.9054169826337484;0.9049953189083253;0.9054169826337484
3.0;0.928683187823384;0.9438945891884508;0.9438945891884508;0.9438945891884508;0.931301313718754;0.9372519525524989;0.9372519525524989;0.9372519525524989
1.4;0.921655629796562;0.9331062301998544;0.9331062301998544;0.9353255389330837;0.9540269560457102;0.948765637353237;0.948765637353237;0.9487656373532369
3.0;0.955092032390824;0.9528897207361416;0.9528897207361416;0.9565587528245368;0.9467373870493294;0.951123622469568;0.951123622469568;0.9511236224695682
