Human;bioconceptvec_fasttext__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Sum;bioconceptvec_fasttext__tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none_Sum;bioconceptvec_fasttext__tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none_Sum
4.0;0.9990410221508992;0.9990410221508992;0.9995220360459605
3.0;0.999548977274789;0.999548977274789;0.9995030207338327
2.2;0.9971426180036662;0.9971426180036662;0.9964549531281359
3.2;0.9993720049117132;0.9993720049117132;0.9985003308179314
3.2;0.9981305427733237;0.9981305427733237;0.9973102195426337
3.2;0.9863021071826277;0.9863021071826277;0.9921651319265995
1.4;0.9921574166875392;0.9921574166875392;0.9921574166875392
3.0;0.9978593157925844;0.9978593157925844;0.9978593157925844
1.4;0.9982264838060141;0.9987001908091195;0.9993451539525231
3.0;0.9975349138772912;0.9975349138772912;0.9979734222166734
3.0;0.9996361294078276;0.9996361294078276;0.9996361294078276
1.0;0.998922746284161;0.998922746284161;0.998922746284161
3.0;0.9931187566880124;0.9931187566880124;0.9931187566880124
2.0;0.9991064620353693;0.9991064620353693;0.9990716295907898
2.4;0.9972392879095803;0.9972392879095803;0.9987595088329458
3.4;0.9971298611258275;0.9970502880693815;0.9975728911820827
3.0;0.9968323932224064;0.9968323932224064;0.9952064893746315
2.0;0.9974340712546214;0.9906015138921309;0.9899003582606242
3.2;0.9961370277494925;0.9961370277494925;0.9987236134085985
2.0;0.9976763033629956;0.9976763033629956;0.998012000692863
3.0;0.9982110538502401;0.9982110538502401;0.997761476180145
1.2;0.998176427473896;0.998176427473896;0.9959193503527952
3.4;0.9992050738345046;0.9992050738345046;0.9975458506203633
1.8;0.9991797791343338;0.9991797791343338;0.9834480071566393
3.6;0.9945622603909914;0.9945622603909914;0.9951851447212535
2.0;0.9986559215146634;0.9986559215146634;0.9983779081476203
2.4;0.9995547362139942;0.9994482862116325;0.9995589125603495
3.4;0.9891254694606835;0.9891254694606835;0.9891254694606835
3.0;0.9978844884357865;0.9978844884357865;0.9984844942666539
4.0;0.9986519749600188;0.9986519749600188;0.9979481421979033
4.0;0.9975647155352781;0.9975647155352781;0.9975647155352781
3.4;0.9972584397909487;0.9972584397909487;0.9977099424801672
3.4;0.9907514626918186;0.9907514626918186;0.9907514626918186
3.0;0.9957896569121585;0.9957896569121585;0.9838177616414978
2.0;0.9979086863823826;0.9979086863823826;0.9979086863823826
3.8;0.9975376105240992;0.9975376105240992;0.9984678794574776
3.4;0.9980116014812442;0.9980116014812442;0.9992425646854844
2.0;0.9983021523997052;0.9983021523997052;0.9987594546350057
4.0;0.9994885558444748;0.9994885558444748;0.9994324319601174
3.2;0.9943517996750256;0.9943517996750256;0.9947324930925271
2.2;0.9947563172812054;0.9947563172812054;0.9944651527122871
3.0;0.9994587932092311;0.9994852132262305;0.9994652450532445
2.0;0.99916420260276;0.99916420260276;0.9995255273706125
0.6;0.9989393378737856;0.9989393378737856;0.9975688309900617
3.2;0.9935914484700321;0.9935914484700321;0.9832157088047275
3.6;0.9996226419083583;0.9996226419083583;0.9996226419083583
1.0;0.9984874979458324;0.9984874979458324;0.9975817847152444
1.8;0.9901911168064803;0.9901911168064803;0.9897475508689811
2.8;0.9992622100894343;0.9992647665361727;0.9859782109463398
2.8;0.9989225553535854;0.9986019289897872;0.9801011624393744
1.8;0.9983366887181655;0.9981425046325028;0.9886236854992044
1.8;0.9978303448353015;0.9973677466875303;0.9986931704806903
2.6;0.9950098840460635;0.9950098840460635;0.9953370813004683
1.4;0.9983609985664015;0.9983609985664015;0.9986726144362535
3.0;0.9991907746808992;0.9991907746808992;0.9991907746808992
0.6;0.9980141195384383;0.9985281673114881;0.9985432496513511
1.8;0.9912947019918834;0.9912947019918834;0.9886794010662261
