Human;LiMixed - Original;LiMixed - CTakes;LiMixed - Metamap;LiMixed - MetamapLite
4.0;0.37079080196449066;0.46129448222695396;0.46129448222695396;0.402368917128075
3.0;0.26089727686719233;0.2670134956039537;0.22239408130330424;0.2067840791353608
2.2;0.11119704065165212;0.11272174729168935;0.08896320748323945;0.11272174729168935
3.2;0.3308068809951297;0.3046866739157611;0.30019595705474306;0.3087866927002513
3.2;0.3479691628593362;0.35324727301346426;0.34967565847371507;0.35324727301346426
3.2;0.22018481337629978;0.22018481337629978;0.23266585800534362;0.22018481337629978
1.4;0.06834033344721209;0.07375593551923401;0.07286180209861659;0.07375593551923401
3.0;0.23665242102532286;0.23665242102532286;0.23076921701431274;0.20113390107841078
1.4;0.09761904478073119;0.10025062372809962;0.10825295103981444;0.10185165923539524
3.0;0.1131852912365578;0.14275091103601192;0.15211211920674156;0.11457680490452979
3.0;0.22937358368618932;0.2589392034856435;0.18217800994024297;0.2321566110221333
1.0;0.0;0.0;0.0;0.0
3.0;0.30814949463830044;0.30814949463830044;0.3205128113428752;0.30814949463830044
2.0;0.2822737291807283;0.2822737291807283;0.25017187232655863;0.2535967624469081
2.4;0.32996597291810437;0.32996597291810437;0.36129139277294;0.32996597291810437
3.4;0.3417973165623087;0.37407217778070384;0.22821222615448145;0.37407217778070384
3.0;0.2818043831303846;0.29544496828291456;0.24239872941298035;0.24239872941298035
2.0;0.06574351752412005;0.06783660931362956;0.07514543184686638;0.06913907504848349
3.2;0.4018018262779648;0.40801256166353195;0.2924500207832759;0.4083333214124044
2.0;0.2470931777934781;0.19785834428330884;0.1613629952513334;0.20560222274067963
3.0;0.24173667141799574;0.24708709539317353;0.2767766893361724;0.20206206665550125
1.2;0.0;0.0;0.0;0.0
3.4;0.44731121914335265;0.44731121914335265;0.38994833881359164;0.35191563717662
1.8;0.1351921422882955;0.1351921422882955;0.10449897716097842;0.10504991625939494
3.6;0.23363061499574772;0.23363061499574772;0.23693063341582704;0.2781741553144851
2.0;0.12954454708592705;0.12954454708592705;0.16206366275985426;0.08802179082227743
2.4;0.31693479029789146;0.3274943708111927;0.3003423314293716;0.3234359139708475
3.4;0.2497861535446801;0.2497861535446801;0.2903953958885318;0.18327988813707602
3.0;0.29005447784358174;0.2966497146127347;0.25339762319310155;0.2727556146360801
4.0;0.3095459335085131;0.3095459335085131;0.32109454667762666;0.2316960390923608
4.0;0.4096569554234547;0.4096569554234547;0.4096569554234547;0.3572427135873588
3.4;0.3966307334101695;0.3966307334101695;0.3966307334101695;0.3966307334101695
3.4;0.4444444311989678;0.4579244693722614;0.4226681404110639;0.39899890427338247
3.0;0.11764705181121826;0.11764705181121826;0.11764705181121826;0.11764705181121826
2.0;0.3119600276846275;0.3119600276846275;0.307692289352417;0.232903086180418
3.8;0.5063531236070756;0.5063531236070756;0.5063531236070756;0.4926009650749214
3.4;0.33267625829621666;0.33267625829621666;0.33267625829621666;0.3094296340125955
2.0;0.20631122453306822;0.20631122453306822;0.20631122453306822;0.20631122453306822
4.0;0.45328231754575854;0.42349908472340836;0.3973155797720544;0.280502126916144
3.2;0.39222823488833936;0.39222823488833936;0.4026088838303555;0.39222823488833936
2.2;0.07571427736963544;0.07571427736963544;0.0835194056442742;0.07571427736963544
3.0;0.2767165212272521;0.2801263069985057;0.31974520942613;0.2573140310062408
2.0;0.22058715176561466;0.22058715176561466;0.11073910551712718;0.15912531445810568
0.6;0.15803378290348552;0.15803378290348552;0.1441903517377355;0.10724002546764587
3.2;0.23936317570125518;0.24289191002824814;0.25767506021401926;0.21158069547399067
3.6;0.34344335202919607;0.28975814771189196;0.28975814771189196;0.28975814771189196
1.0;0.08548261445466404;0.08548261445466404;0.11063841860374447;0.08689148840746572
1.8;0.17550804697539113;0.17550804697539113;0.17787446911086116;0.15066284722539347
2.8;0.10129892952518665;0.10129892952518665;0.10555556747648452;0.07777778969870675
2.8;0.0;0.0;0.0;0.026352313834736494
1.8;0.10817268265856708;0.10964860578467223;0.07048584062412322;0.11123388335606248
1.8;0.16058389976381393;0.16058389976381393;0.14054679443704915;0.16348836782410534
2.6;0.35073685695456425;0.35073685695456425;0.2712035980190767;0.238425698142394
1.4;0.12710245150424912;0.13051707848138897;0.13882450942809926;0.13970329536847767
3.0;0.28788650720925985;0.28788650720925985;0.25421475572418617;0.25421475572418617
0.6;0.051569592107686496;0.05206708862511147;0.056466912951657594;0.05252289941192918
1.8;0.21405898231365159;0.21405898231365159;0.17395419530186695;0.21747360929079143
3.0;0.28438180875315167;0.28438180875315167;0.2903897626473995;0.2701117552903207
3.0;0.24366734630977568;0.2164423406720456;0.1988742993428157;0.2164423406720456
3.8;0.4620730148768073;0.44759667690435;0.39039040747582376;0.34485007687373875
2.4;0.12933649946474401;0.09814976680934322;0.11035105196093814;0.10157859294258265
3.6;0.29893285763452515;0.28634887797926567;0.2901219806813057;0.26124937817789257
2.8;0.3182827339632337;0.3182827339632337;0.3182827339632337;0.3182827339632337
3.6;0.25409944487358055;0.25409944487358055;0.23410894511799618;0.22305806756909202
3.0;0.3162009456625777;0.29192833284217956;0.22989596232004253;0.2815321833985009
0.0;0.07179486950238545;0.07179486950238545;0.07692307233810425;0.07296481413616984
0.0;0.0;0.0;0.0;0.0
0.2;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
0.2;0.0;0.0;0.0;0.0
0.2;0.0;0.0;0.0;0.0
1.8;0.24500000476837158;0.24500000476837158;0.2060663013507586;0.2060663013507586
1.4;0.0;0.0;0.0;0.0
1.8;0.06352486121839514;0.06458333333333333;0.06591876226407682;0.06352486121839514
2.0;0.1804329062394574;0.1840659294809614;0.15857273043087683;0.1804329062394574
0.0;0.0;0.0;0.0;0.0
0.8;0.1331603338387382;0.13674162482556296;0.0935670543405041;0.0935670543405041
2.2;0.313735197087178;0.313735197087178;0.3287663898355886;0.313735197087178
1.4;0.18652518247899008;0.1904761791229248;0.1904761791229248;0.1904761791229248
1.8;0.23439296342436178;0.19081466485897125;0.20288160598742216;0.23255813121795654
