Human;Flair_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;Flair_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none;Flair_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none
3.5;0.9627546095686784;0.9627546095686784;0.9627546095686784
2.5;0.9223367534856953;0.9223367534856953;0.9223367534856953
3.45;0.9269975219852902;0.9269975219852902;0.9269975219852902
4.0;0.9783842383631667;0.9783842383631667;0.9783842383631667
3.0;0.8245800782519214;0.8245800782519214;0.8245800782519214
2.0;0.74626893394284;0.74626893394284;0.74626893394284
2.5;0.9753452375617067;0.9753452375617067;0.9753452375617067
3.0;0.9175203658074947;0.9175203658074947;0.9175203658074947
0.0;0.7091335878058362;0.7091335878058362;0.7091335878058362
2.5;0.9129543485363282;0.9129543485363282;0.9129543485363282
3.0;0.9625354321651299;0.9625354321651299;0.9625354321651299
0.5;0.7063868127471852;0.7063868127471852;0.7063868127471852
3.0;0.893996542808105;0.893996542808105;0.893996542808105
4.1;0.9736467515048001;0.9736467515048001;0.9736467515048001
3.5;0.8759834794797926;0.8759834794797926;0.8759834794797926
4.0;0.9813968754397638;0.9813968754397638;0.9813968754397638
2.5;0.9006362629795737;0.9988473569200346;0.9006362629795737
4.0;0.9805980627291162;0.9805980627291162;0.9805980627291162
4.0;0.9657128786069403;0.9657128786069403;0.9657128786069403
4.1;0.948231908048096;0.948231908048096;0.948231908048096
4.0;0.9206586412832288;0.9206586412832288;0.9206586412832288
3.0;0.9626449598776907;0.9626449598776907;0.9626449598776907
4.0;0.9406157435273949;0.9406157435273949;0.9406157435273949
3.0;0.9535149100266489;0.9535149100266489;0.9535149100266489
4.5;0.9881790703198975;0.9881790703198975;0.9881790703198975
3.5;0.9475491778192175;0.9475491778192175;0.9475491778192175
3.5;0.7949784412950783;0.7949784412950783;0.7949784412950783
3.0;0.9616133611354907;0.9616133611354907;0.9616133611354907
3.5;0.9832738562509633;0.9832738562509633;0.9832738562509633
4.0;0.9902496803898658;0.9902496803898658;0.9902496803898658
4.0;0.9888399994822822;0.9888399994822822;0.9888399994822822
4.0;0.9684249489124719;0.9684249489124719;0.9684249489124719
3.0;0.9436986344207889;0.9436986344207889;0.9436986344207889
2.5;0.9697061689462674;0.9697061689462674;0.9697061689462674
2.5;0.8099186393532573;0.8099186393532573;0.8099186393532573
3.0;0.9078571706805438;0.9078571706805438;0.9078571706805438
0.0;0.6261625107034078;0.6261625107034078;0.6261625107034078
4.25;0.922653229368416;0.922653229368416;0.922653229368416
3.0;0.9546326639387415;0.9546326639387415;0.9546326639387415
3.0;0.8804554368082289;0.8804554368082289;0.8804554368082289
4.0;0.873252302576557;0.873252302576557;0.873252302576557
0.0;0.7657521244495507;0.7657521244495507;0.7657521244495507
3.5;0.9386616605592975;0.9386616605592975;0.9386616605592975
1.0;0.7696254196493922;0.7696254196493922;0.7696254196493922
