Human;UBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLWeightedJiangConrath_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLRada_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLRada_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLCaiStrategy1_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_JiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_JiangConrath_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-ctakes
4.0;0.6445033866354896;0.6445033866354896;0.6445033866354896;0.6445033866354896;0.6445033866354896;0.6445033866354896;0.6445033866354896;0.6445033866354896;0.6445033866354896;0.6445033866354896
3.0;0.40683397133172255;0.4012783003578712;0.2988071523335984;0.29462782549439476;0.37713747013679955;0.37193562971234473;0.422254581202002;0.416506561891949;0.4138217163390266;0.408170621642366
2.2;0.28765450143864085;0.2816533183523097;0.2502172968684897;0.24494897427831783;0.2652923635132882;0.2597160321822211;0.30728166133365475;0.30094596268526586;0.28765450143864085;0.2816533183523097
3.2;0.45366345920114737;0.45366345920114737;0.3061862178478973;0.3061862178478973;0.4242471192483741;0.4242471192483741;0.4649635141938074;0.4649635141938074;0.4649501623460054;0.4649501623460054
3.2;0.3903600291794133;0.33371190623595726;0.3903600291794133;0.33371190623595726;0.3903600291794133;0.33371190623595726;0.3903600291794133;0.33371190623595726;0.3903600291794133;0.33371190623595726
3.2;0.3521605627323637;0.3521605627323637;0.31378581622109447;0.31378581622109447;0.32659407181350525;0.32659407181350525;0.38057027296802376;0.38057027296802376;0.41505634481097237;0.41505634481097237
1.4;0.20844045179326534;0.20844045179326534;0.16317848796612636;0.16317848796612636;0.17974800735872204;0.17974800735872204;0.23574436362170484;0.23574436362170484;0.2397331654763267;0.2397331654763267
3.0;0.4781121311273401;0.4781121311273401;0.27863910628767646;0.27863910628767646;0.43197109070386724;0.43197109070386724;0.5095940284720388;0.5095940284720388;0.5144835698962863;0.5144835698962863
1.4;0.3552486986481779;0.320196459910311;0.21908902300206642;0.18257418583505536;0.30887486729371055;0.2730656903087618;0.37785004303139286;0.34327203459780015;0.4227292675297546;0.38984156065035597
3.0;0.3769709774433292;0.3713624830727415;0.2766992952647332;0.27247463045653303;0.3521716285828788;0.34689264148297;0.38926188888709623;0.38349294348446294;0.39545279498351876;0.38971561173148683
3.0;0.508651707287808;0.46328021183666895;0.43481317827315213;0.3892494720807615;0.4891576721357369;0.4435647163327455;0.517801150277986;0.4725821119628191;0.508651707287808;0.46328021183666895
1.0;0.2027592025929508;0.2027592025929508;0.11952286093343936;0.11952286093343936;0.17316978682917555;0.17316978682917555;0.21845222494884625;0.21845222494884625;0.2027592025929508;0.2027592025929508
3.0;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.29999999999999993;0.29999999999999993
2.0;0.36764600408849296;0.36764600408849296;0.34114411961050656;0.34114411961050656;0.35450749172959395;0.35450749172959395;0.3771075572931445;0.3771075572931445;0.38754660515049527;0.38754660515049527
2.4;0.35856858280031806;0.35856858280031806;0.35856858280031806;0.35856858280031806;0.35856858280031806;0.35856858280031806;0.35856858280031806;0.35856858280031806;0.35856858280031806;0.35856858280031806
3.4;0.4993778294789865;0.48731463539942566;0.4616902584383193;0.4499999999999999;0.4990158204771553;0.48694553976602595;0.49920682168607594;0.48714022548779806;0.4993778294789865;0.48731463539942566
3.0;0.528964870450728;0.4804352741514477;0.4536323543632774;0.4052204492365539;0.5061936137541042;0.45744157145568515;0.538286843768465;0.48992256461208117;0.528964870450728;0.4804352741514477
2.0;0.4344202221032508;0.38860408718803724;0.2870189239409639;0.23918243661746993;0.38129549643641025;0.3342886367103647;0.4580916055304721;0.4129417664123121;0.45365235361737766;0.40862002130437886
3.2;0.5554978835141199;0.5554978835141199;0.4736842105263157;0.4736842105263157;0.5405262074064451;0.5405262074064451;0.5629786117979643;0.5629786117979643;0.5794923105472568;0.5794923105472568
2.0;0.6556368262687489;0.6556368262687489;0.3253574116367822;0.3253574116367822;0.6315490331726734;0.6315490331726734;0.6597705859798042;0.6597705859798042;0.663340657141886;0.663340657141886
3.0;0.39926663197538176;0.3891569750608573;0.26490647141300877;0.2581988897471611;0.36729848007997973;0.35799827485004737;0.4124109565819074;0.4019684779349791;0.39926663197538176;0.3891569750608573
1.2;0.14581153696661522;0.14581153696661522;0.13834289277321493;0.13834289277321493;0.13884399889976398;0.13884399889976398;0.18923185937237785;0.18923185937237785;0.14581153696661522;0.14581153696661522
3.4;0.49054569830591316;0.47938047112339677;0.42796049251091295;0.4181210050035454;0.47323860529034933;0.46239178614299203;0.49847518178261235;0.4871878160650472;0.494708405433918;0.48344843158266315
1.8;0.23536234316621543;0.22995099124047738;0.2057377999494559;0.20100756305184242;0.21577191244284505;0.21081097545432606;0.2699631437401584;0.26375626477173764;0.26985673645126945;0.2636523039544461
3.6;0.34570059371302997;0.33403008946646845;0.314970394174356;0.3042903097250923;0.3248336373469143;0.313823806596034;0.3684751875838363;0.3561613089042184;0.34570059371302997;0.33403008946646845
2.0;0.27064944808047287;0.25606716489893555;0.22291128503014115;0.21081851067789195;0.23679249860584503;0.22395412868706233;0.31520178469141724;0.2985681885633977;0.27064944808047287;0.25606716489893555
2.4;0.37058478370060965;0.37058478370060965;0.33776026473659926;0.33776026473659926;0.3469427797484726;0.3469427797484726;0.41792562273708717;0.41792562273708717;0.44492633766783574;0.44492633766783574
3.4;0.26013299085723596;0.26013299085723596;0.26013299085723596;0.26013299085723596;0.26013299085723596;0.26013299085723596;0.26013299085723596;0.26013299085723596;0.26013299085723596;0.26013299085723596
3.0;0.5110966858844073;0.5110966858844073;0.4236592728681617;0.4236592728681617;0.4770212984708005;0.4770212984708005;0.5296050207489962;0.5296050207489962;0.5203759317386092;0.5203759317386092
4.0;0.2795084971874737;0.2795084971874737;0.2795084971874737;0.2795084971874737;0.2795084971874737;0.2795084971874737;0.2795084971874737;0.2795084971874737;0.2795084971874737;0.2795084971874737
4.0;0.4722466003726713;0.32425065818799986;0.447213595499958;0.29814239699997197;0.45952681194035877;0.31068228725077934;0.4798557796458996;0.33280943405947316;0.4722466003726713;0.32425065818799986
3.4;0.49384354566621075;0.49384354566621075;0.4558423058385518;0.4558423058385518;0.47438844306744676;0.47438844306744676;0.5060904974517126;0.5060904974517126;0.49384354566621075;0.49384354566621075
3.4;0.5096431669427554;0.2801319787179747;0.46291004988627577;0.23145502494313788;0.482630545455551;0.25148727023579603;0.5302538066466104;0.3032598414412459;0.5096431669427554;0.2801319787179747
3.0;0.09819412924809709;0.09819412924809709;0.07142857142857142;0.07142857142857142;0.07767493803547754;0.07767493803547754;0.13210606385390972;0.13210606385390972;0.09819412924809709;0.09819412924809709
2.0;0.3456116125948058;0.12334934354721533;0.2279211529192759;0.0;0.28639913850854865;0.05999031228817564;0.39002733551217567;0.1722654119325229;0.3456116125948058;0.12334934354721533
3.8;0.5037134491022621;0.49393167427530016;0.5;0.4902903378454601;0.5003559312803487;0.490639357180844;0.5170459357901411;0.5070052530803408;0.5335783750799326;0.5232166435699436
3.4;0.3705000491082296;0.35410879257635935;0.3670651741928988;0.3508232077228117;0.3673920373805993;0.35113563132641573;0.38342561994309166;0.3665324902213044;0.40249223594996214;0.3851644432598217
2.0;0.19999999999999998;0.19999999999999998;0.19999999999999998;0.19999999999999998;0.19999999999999998;0.19999999999999998;0.19999999999999998;0.19999999999999998;0.19999999999999998;0.19999999999999998
4.0;0.5291095590026187;0.46955466209545893;0.4558028440970729;0.3950291315507965;0.4866346629835556;0.42599557878355543;0.565645810812431;0.5072482175272868;0.5864302123715562;0.5299878636952505
3.2;0.6006018219334843;0.5455599167157202;0.5227364079078812;0.46672825292995673;0.5724316423243636;0.5173545506721936;0.6270421845897901;0.5723764388686833;0.6431183613014426;0.5896610149726829
2.2;0.33905873441471557;0.2892420849611605;0.15990053726670783;0.10660035817780521;0.29670082100996364;0.24544362098456474;0.351242970167693;0.3019199476956225;0.33905873441471557;0.2892420849611605
3.0;0.2904737509655563;0.2904737509655563;0.2904737509655563;0.2904737509655563;0.2904737509655563;0.2904737509655563;0.2904737509655563;0.2904737509655563;0.2904737509655563;0.2904737509655563
2.0;0.31067935226753945;0.30660594428472987;0.2301585822275002;0.22710998958306758;0.27671489850483544;0.27305984927323096;0.34382066254478716;0.3393851120396782;0.33137718578158953;0.32708968705348707
0.6;0.390119680178662;0.390119680178662;0.2645751311064591;0.2645751311064591;0.347288983663145;0.347288983663145;0.41434398485577384;0.41434398485577384;0.42458041960623494;0.42458041960623494
3.2;0.36963052240060607;0.36963052240060607;0.2948839123097943;0.2948839123097943;0.3270234365751671;0.3270234365751671;0.405492603148341;0.405492603148341;0.4166868025662657;0.4166868025662657
3.6;0.48896102946284176;0.48896102946284176;0.42714364638469876;0.42714364638469876;0.4764330477650824;0.4764330477650824;0.4976115694946907;0.4976115694946907;0.48896102946284176;0.48896102946284176
1.0;0.2260913565186045;0.2260913565186045;0.1336306209562122;0.1336306209562122;0.16630116464218272;0.16630116464218272;0.3104955119523298;0.3104955119523298;0.3777052365490026;0.3777052365490026
1.8;0.3191732314965733;0.3145805714614218;0.291161615782696;0.2869720215917757;0.3041969368977982;0.29981977435081625;0.3406584867208928;0.3357566702049454;0.33573671275470457;0.33090571682258424
2.8;0.2908951216937784;0.28548077186773024;0.16724840200141816;0.16412198797244362;0.2585611873092626;0.2537313494911579;0.31181287371279287;0.3060395406923022;0.2908951216937784;0.2854807718677302
2.8;0.20331782991766068;0.20331782991766068;0.07881104062391006;0.07881104062391006;0.18250145263411632;0.18250145263411632;0.21299260253879798;0.21299260253879798;0.2226347685925542;0.2226347685925542
1.8;0.2192961506047931;0.18465030800118687;0.16484511834894675;0.13025792180516724;0.19748846047974913;0.16280584858265185;0.23380775128437783;0.19924319177758176;0.21929615060479313;0.18465030800118687
1.8;0.174741944051486;0.17122728560603573;0.1466471150213533;0.14368424162141993;0.15704293439896524;0.15387234091354174;0.19616933387130625;0.19224614488652372;0.174741944051486;0.17122728560603573
2.6;0.5360889626665721;0.47696637801442315;0.48418202613504197;0.42365927286816174;0.5211048722359084;0.4614557967080221;0.5449306231084874;0.48605641299969715;0.5360889626665721;0.47696637801442315
1.4;0.2599427997284267;0.2599427997284267;0.12171612389003691;0.12171612389003691;0.21159370921298665;0.21159370921298665;0.28853535997012636;0.28853535997012636;0.2599427997284267;0.2599427997284267
3.0;0.36615222976823864;0.36615222976823864;0.30656966974248284;0.30656966974248284;0.3523051431944015;0.3523051431944015;0.37540794535537225;0.37540794535537225;0.39618324042417996;0.39618324042417996
0.6;0.3190459349360382;0.3190459349360382;0.1556997888323046;0.1556997888323046;0.2773755436966075;0.2773755436966075;0.35657745146608244;0.35657745146608244;0.348977711573513;0.348977711573513
1.8;0.28832659476964695;0.28832659476964695;0.27820744203732856;0.27820744203732856;0.2805805804577555;0.2805805804577555;0.3008159448220607;0.3008159448220607;0.28832659476964695;0.28832659476964695
3.0;0.4519541583699257;0.4519541583699257;0.35424595421603805;0.35424595421603805;0.4113714719622905;0.4113714719622905;0.4767888317032238;0.4767888317032238;0.49749035625828014;0.49749035625828014
