Human;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-user_cf-default_ner-none_Min;PubMed-and-PMC-w2v__tok-whitespace_notlc_sw-user_cf-default_ner-none_Min
4.0;0.9211507557283029;0.9403827150952044
3.0;0.9217650343698904;0.9225914884452358
2.2;0.9087485165342419;0.9054730313296705
3.2;0.9493840112826918;0.9559940585474656
3.2;0.961918387634281;0.9582839808641571
3.2;0.9295482742138124;0.9407366750571257
1.4;0.8657387483657252;0.87671728856863
3.0;0.9546379710711053;0.9520281826877213
1.4;0.9185089901428315;0.9181233979074661
3.0;0.9395212569036462;0.9404429992994671
3.0;0.9557555003356282;0.9414371422130253
1.0;0.8711414731497868;0.8371014661893375
3.0;0.8878759020506912;0.9226995308701054
2.0;0.9019436759216932;0.9043438898015467
2.4;0.9585097062832443;0.9645880421102087
3.4;0.9301446069175683;0.9281327493922419
3.0;0.9433851403508754;0.9486204785009359
2.0;0.8958226612975071;0.901412925645209
3.2;0.9146363632055928;0.9240820889297198
2.0;0.9286062317985346;0.922537639442992
3.0;0.894644127096743;0.891968836226048
1.2;0.8751469877551477;0.876855718826256
3.4;0.9265354829010989;0.9016345005179142
1.8;0.9207078740873691;0.8923995640568287
3.6;0.8681199005959123;0.8675973668106868
2.0;0.8840651454706826;0.8769235420008705
2.4;0.9157375409948703;0.90016769969983
3.4;0.8910937686317526;0.9122926392957748
3.0;0.9205512991924012;0.9380192080753315
4.0;0.9219340619189554;0.925038080477924
4.0;0.9503268408346;0.9268443312613428
3.4;0.9075624144936759;0.9524716859110194
3.4;0.9390086374861742;0.9165227177596218
3.0;0.8423768500661416;0.8651970765582845
2.0;0.8939947632259725;0.876295897860515
3.8;0.9363650400933298;0.9355182906342362
3.4;0.906190734555746;0.9141005583816689
2.0;0.8596900583256415;0.9103169034625321
4.0;0.9058163167677922;0.923568109214378
3.2;0.9550904359774466;0.9306938594973545
2.2;0.8550354652018174;0.8594443696797562
3.0;0.9455826383852913;0.9283248437950943
2.0;0.8950165689191453;0.898274228002694
0.6;0.8502504736427444;0.8521308871351182
3.2;0.941070143072969;0.944012727056903
3.6;0.9423927533160578;0.9509972003868468
1.0;0.9184345421441946;0.9322444273381018
1.8;0.83711810865957;0.8314213223731198
2.8;0.8809416631399215;0.8963174678155382
2.8;0.8980383241676786;0.9022289297102494
1.8;0.9163326448060078;0.9223412775102566
1.8;0.9274627201401314;0.9036425439043382
2.6;0.9020122958748861;0.9000163953321375
1.4;0.8876065052234726;0.8736844561860675
3.0;0.905944294401225;0.892823972460964
0.6;0.9033994663162389;0.9215433040079513
1.8;0.8682419212390126;0.8519325347271849
3.0;0.8712007770767148;0.8931249475196348
3.0;0.9583792694218441;0.9497253302272892
3.8;0.9853995148810555;0.9687089216538396
2.4;0.9360127098034271;0.9398130748341852
3.6;0.9415803768306387;0.9357669197997558
2.8;0.9069745513033289;0.916492605356865
3.6;0.9366250649811989;0.9255187851517369
3.0;0.9369214570297052;0.9296712270573882
0.0;0.8108183667706225;0.779558009739124
0.0;0.904108677030612;0.9057299326883806
0.2;0.8709046773452731;0.8703531451570713
0.0;0.9078192687159375;0.889179070377351
0.2;0.8961409436006479;0.8803257626080504
0.2;0.9108201021829258;0.9114273180225229
1.8;0.9165113842278259;0.9213893730845119
1.4;0.9092603900593952;0.906581369497926
1.8;0.9208828884997372;0.9145417703891524
2.0;0.9405882672931086;0.9248888467636204
0.0;0.9055070471919784;0.9160049987324586
0.8;0.9084056771407996;0.8994111232328711
2.2;0.9266255171418757;0.9199081260531344
1.4;0.8746206547144766;0.8700640106808353
1.8;0.9330655316002249;0.9251762546546889
3.0;0.9374687090364697;0.9373362092908558
1.2;0.9144468113508546;0.9202541836299105
0.2;0.8844743439178935;0.8869648763098185
0.2;0.8776849028837649;0.8954023896188804
0.6;0.8677660008025726;0.8822809368631196
0.2;0.8401415309722267;0.8687641277925036
0.2;0.8752317399664079;0.8764759459073339
0.0;0.8739458606568814;0.8791039323443631
0.2;0.8669836138794029;0.8728398044587967
0.2;0.8469615063498854;0.844822136999564
2.0;0.8538352773789691;0.8499820429652956
2.8;0.9492943072040153;0.9354401102178519
2.0;0.7993739196255745;0.805740787889012
4.0;0.9298986874403646;0.9378066436686378
3.0;0.8950088218946313;0.9008461593495231
3.2;0.9537504539877533;0.938418037107601
1.6;0.8985711073387891;0.886219586031673
2.4;0.8595064635971187;0.9443355378194906
3.2;0.9111052949719949;0.919116357997203
1.8;0.8032221760635675;0.8473442627573182
