Human;Sent2vec_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;Sent2vec_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none;Sent2vec_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none
4.0;0.7917604647919134;0.7917604647919134;0.7917604647919134
3.0;0.6937307599483679;0.6937307599483679;0.6937307599483679
2.2;0.5698640897466954;0.5698640897466954;0.5698640897466954
3.2;0.7672814095250469;0.7672814095250469;0.7672814095250469
3.2;0.680838459351605;0.680838459351605;0.680838459351605
3.2;0.6908191183525575;0.6908191183525575;0.6908191183525575
1.4;0.44071038625575387;0.44071038625575387;0.44071038625575387
3.0;0.668319379752534;0.668319379752534;0.668319379752534
1.4;0.44733480458967995;0.46572924438857455;0.46572924438857455
3.0;0.6353077448508756;0.6353077448508756;0.6353077448508756
3.0;0.6851041925280834;0.6851041925280834;0.6851041925280834
1.0;0.49117758800908423;0.49117758800908423;0.49117758800908423
3.0;0.4591151019654099;0.4591151019654099;0.4591151019654099
2.0;0.6253615891219083;0.6253615891219083;0.6253615891219083
2.4;0.7305683300945827;0.7305683300945827;0.7305683300945827
3.4;0.578334262731493;0.6122329796440139;0.6122329796440139
3.0;0.7231001404653906;0.7231001404653906;0.7231001404653906
2.0;0.6204557276134809;0.6204557276134809;0.6204557276134809
3.2;0.726246196145681;0.726246196145681;0.726246196145681
2.0;0.664747082345729;0.664747082345729;0.664747082345729
3.0;0.6960076531583047;0.6960076531583047;0.6960076531583047
1.2;0.5595744070421603;0.5595744070421603;0.5595744070421603
3.4;0.7569796363109965;0.7569796363109965;0.7569796363109965
1.8;0.5716915446395298;0.5716915446395298;0.5716915446395298
3.6;0.5690495565262159;0.5690495565262159;0.5690495565262159
2.0;0.5966454309398441;0.5966454309398441;0.5966454309398441
2.4;0.5213547020710682;0.5213547020710682;0.5213547020710682
3.4;0.6302116425214103;0.6302116425214103;0.6302116425214103
3.0;0.7186813366867303;0.7186813366867303;0.7186813366867303
4.0;0.6639820051183175;0.6639820051183175;0.6639820051183175
4.0;0.7214250027583322;0.7214250027583322;0.7214250027583322
3.4;0.8146805898490472;0.8146805898490472;0.8146805898490472
3.4;0.7525666052984632;0.7525666052984632;0.7525666052984632
3.0;0.493257408383881;0.493257408383881;0.493257408383881
2.0;0.6852575591362335;0.6852575591362335;0.6852575591362335
3.8;0.8533249499655624;0.8533249499655624;0.8533249499655624
3.4;0.6933005136798311;0.6933005136798311;0.6933005136798311
2.0;0.49629928656782185;0.49629928656782185;0.49629928656782185
4.0;0.7436278030980911;0.7436278030980911;0.7436278030980911
3.2;0.5351275012222864;0.5351275012222864;0.5351275012222864
2.2;0.34907907148282996;0.34907907148282996;0.34907907148282996
3.0;0.623473924320426;0.623473924320426;0.623473924320426
2.0;0.5777696684973367;0.5777696684973367;0.5777696684973367
0.6;0.5740143478734242;0.5740143478734242;0.5740143478734242
3.2;0.7606337230080261;0.7606337230080261;0.7606337230080261
3.6;0.7546211765638207;0.7546211765638207;0.7546211765638207
1.0;0.48898159680264647;0.48898159680264647;0.48898159680264647
1.8;0.6439266026196367;0.6439266026196367;0.6439266026196367
2.8;0.4485105449778855;0.452996386902004;0.452996386902004
