Human;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Sum;bio_embedding_intrinsic__tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none_Sum;bio_embedding_intrinsic__tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none_Sum;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Sum;BioNLP2016_PubMed-shuffle-win-2__tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none_Sum;BioNLP2016_PubMed-shuffle-win-2__tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none_Sum
4.0;0.9690216183201639;0.9690216183201639;0.9744642467195946;0.9257305399905698;0.9257305399905698;0.9344662306460481
3.0;0.9760946730317911;0.9760946730317911;0.9745082447996367;0.9202352978308699;0.9202352978308699;0.9351488696667284
2.2;0.9641115077552112;0.9641115077552112;0.962168072428405;0.9197503093661554;0.9197503093661554;0.9197503093661554
3.2;0.982995215479281;0.982995215479281;0.9863201577081918;0.947649212008317;0.947649212008317;0.9540331729123411
3.2;0.9727935780741838;0.9727935780741838;0.9738004473024604;0.9048489757644718;0.9048489757644718;0.9030276708166014
3.2;0.9628622780421769;0.9628622780421769;0.9771278958772169;0.9215965968689485;0.9215965968689485;0.9247863165182785
1.4;0.9250715798332082;0.9250715798332082;0.9250715798332082;0.8529421275876152;0.8529421275876152;0.8529421275876152
3.0;0.9734000634533058;0.9734000634533058;0.9734000634533058;0.9299472904460618;0.9299472904460618;0.9299472904460618
1.4;0.939135710674944;0.9444733408100301;0.9339157393502697;0.8649330077554176;0.8743325833215331;0.8610304316677967
3.0;0.980105723637577;0.980105723637577;0.980951971462085;0.9467991533090427;0.9467991533090427;0.9513153813103703
3.0;0.9764314688870872;0.9764314688870872;0.9764314688870872;0.9367117634711181;0.9367117634711181;0.9367117634711181
1.0;0.9390813892554298;0.9390813892554298;0.9390813892554298;0.8400965140056521;0.8400965140056521;0.8400965140056521
3.0;0.9251965594851385;0.9251965594851385;0.9251965594851385;0.8105723431733995;0.8105723431733995;0.8105723431733995
2.0;0.9657787255624541;0.9657787255624541;0.9705202826530608;0.9264242143248865;0.9264242143248865;0.9336440102869378
2.4;0.9753315613429587;0.9753315613429587;0.9705575823151285;0.9097709164502913;0.9097709164502913;0.9153209279453928
3.4;0.9810619634033935;0.9848924945958081;0.9812297926976477;0.9400085384191679;0.947927010908251;0.9505003485503521
3.0;0.9759187166523187;0.9759187166523187;0.9754870870738824;0.9382195856207528;0.9382195856207528;0.9374222748000419
2.0;0.9404574053135741;0.9312283533027246;0.9312221274773955;0.8900003285418789;0.8687034398071175;0.8671747991035474
3.2;0.9789819402372361;0.9789819402372361;0.9735688020738479;0.9404907613643214;0.9404907613643214;0.9376104837265671
2.0;0.9353021844452646;0.9353021844452646;0.9410981414941328;0.9076327255017967;0.9076327255017967;0.9124485891790245
