Human;bioconceptvec_fasttext__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Max;bioconceptvec_fasttext__tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none_Max;bioconceptvec_fasttext__tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none_Max
3.5;0.9999999999999997;0.9999999999999997;0.9999995547701843
2.5;0.998729061881416;0.998729061881416;0.998729061881416
3.45;0.9921269414756047;0.9921269414756047;0.9921269414756047
4.0;0.9999624446941832;0.9999624446941832;0.9999631331822189
3.0;0.9936450511506421;0.9936450511506421;0.9928032359008625
2.0;0.9935690795039774;0.9935690795039774;0.9935690795039774
2.5;0.9989936973286394;0.9989936973286394;0.9989937608922236
3.0;0.9933719163349218;0.9933719163349218;0.9933719163349218
0.0;0.9873301280285273;0.9873301280285273;0.9873301280285273
2.5;0.9955090104055355;0.9955090104055355;0.9955090104055355
3.0;0.9968737628055923;0.9968737628055923;0.9968737628055923
0.5;0.9809100490086462;0.9755614625581327;0.9755614625581327
3.0;0.9945989960780592;0.9945989960780592;0.9945863495107601
4.1;0.9999941399491129;0.9999941399491129;0.9999941399491129
3.5;0.9785029643597486;0.9785029643597486;0.9785029643597486
4.0;0.9998959652998949;0.9998959652998949;0.9998959652998949
2.5;0.9960383723622775;1.0;0.9964489495707396
4.0;0.9999007740161763;0.9999007740161763;0.999857995992615
4.0;0.9983539654173548;0.9983539654173548;0.9982980944250615
4.1;0.9918615289941081;0.9918615289941081;0.9918615289941081
4.0;0.9963246941654909;0.9963246941654909;0.9963246941654909
3.0;0.9974320443305428;0.9974320443305428;0.99737642680452
4.0;0.98842257032229;0.98842257032229;0.98842257032229
3.0;0.9852479060202739;0.9852479060202739;0.9852479060202739
4.5;0.9999516962082621;0.988222316745875;0.988222316745875
3.5;0.9928182520840146;0.9999453482184454;0.9999453482184454
3.5;0.9957444242267962;0.9957444242267962;0.9957444242267962
3.0;0.998041233822759;0.998041233822759;0.9980490978259786
3.5;0.9984386629341995;0.9984386629341995;0.9984386629341995
4.0;1.0;1.0;1.0000000000000007
4.0;0.9999002907187937;0.9999002907187937;0.9998573248450838
4.0;1.0000000000000004;1.0000000000000004;1.0000000000000002
3.0;0.9983089950106164;0.9983089950106164;0.9991351746322558
2.5;0.9995936703193875;0.9995936703193875;0.9995936703193875
2.5;0.9979308330597616;0.9979308330597616;0.9979308330597616
3.0;0.9912320981418997;0.9912320981418997;0.9912320981418997
0.0;0.9757725747504998;0.9757725747504998;0.9757725747504998
