Human;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Average;PubMed-and-PMC-w2v__tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none_Average;PubMed-and-PMC-w2v__tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none_Average
3.5;0.9808142412116557;0.9808142412116557;0.9534179929674536
2.5;0.9154913138488455;0.9154913138488455;0.9154913138488455
3.45;0.913274314891005;0.913274314891005;0.913274314891005
4.0;0.9659511081850511;0.9659511081850511;0.9704759150597715
3.0;0.864727362815024;0.864727362815024;0.8726605350384153
2.0;0.7519069670595553;0.7519069670595553;0.7519069670595553
2.5;0.9553543339574121;0.9553543339574121;0.957590256946263
3.0;0.8300386999072068;0.8300386999072068;0.8300386999072068
0.0;0.7024967580669448;0.7024967580669448;0.7024967580669448
2.5;0.7451257686148827;0.7451257686148827;0.7451257686148827
3.0;0.9742956703427395;0.9742956703427395;0.9742956703427395
0.5;0.7867967441785542;0.7947268889600156;0.7947268889600156
3.0;0.9226471887016954;0.9226471887016954;0.9053619488497097
4.1;0.9651299922576868;0.9651299922576868;0.9651299922576868
3.5;0.9352595065235834;0.9352595065235834;0.9352595065235834
4.0;0.9893481573371283;0.9893481573371283;0.9893481573371283
2.5;0.9126049247788901;0.9988723047831009;0.8922285565796733
4.0;0.9894267757716392;0.9894267757716392;0.9874936496040181
4.0;0.9739649018050359;0.9739649018050359;0.9739779813913122
4.1;0.9568573834753221;0.9568573834753221;0.9568573834753221
4.0;0.940068813807205;0.940068813807205;0.940068813807205
3.0;0.9690302842918855;0.9690302842918855;0.9666033122886089
4.0;0.966755528032262;0.966755528032262;0.966755528032262
3.0;0.9091284187755614;0.9091284187755614;0.9091284187755614
4.5;0.9898108014850433;0.9879642337393003;0.9879642337393003
3.5;0.9123685563131633;0.9316363751496697;0.9316363751496697
3.5;0.7477183511475548;0.7477183511475548;0.7477183511475548
3.0;0.9691355335880137;0.9691355335880137;0.9709457153047545
3.5;0.9887061249947658;0.9887061249947658;0.9887061249947658
4.0;0.9978141402569496;0.9978141402569496;0.9980324583662803
4.0;0.995908935541619;0.995908935541619;0.9932863579713544
4.0;0.9902253604950385;0.9902253604950385;0.975032170204762
3.0;0.8838996700007102;0.8838996700007102;0.9197726736813016
2.5;0.9636966590783501;0.9636966590783501;0.9636966590783501
2.5;0.8901358952472472;0.8901358952472472;0.8901358952472472
3.0;0.9417048968950377;0.9417048968950377;0.9417048968950377
0.0;0.5549789650261415;0.5549789650261415;0.5549789650261415
4.25;0.954626108200676;0.954626108200676;0.954626108200676
3.0;0.8535077129760481;0.8535077129760481;0.8535077129760481
3.0;0.8480051523744784;0.8480051523744784;0.869311783457127
4.0;0.8982892100218673;0.8982892100218673;0.8982892100218673
0.0;0.7469142694269088;0.7656496806367046;0.7922988630498337
3.5;0.9156765741417694;0.9156765741417694;0.9156765741417694
1.0;0.728815062839822;0.728815062839822;0.728815062839822
0.0;0.6488049084965689;0.6488049084965689;0.6488049084965689
1.5;0.8435050000410168;0.8435050000410168;0.8435050000410168
3.6;0.9016117943501648;0.9016117943501648;0.9016117943501648
3.0;0.941173574270046;0.951081838869634;0.951081838869634
3.0;0.9236108698137586;0.9331206967497888;0.9401519072693004
5.0;0.9835474180013517;0.9835474180013517;0.9885325432592122
3.5;0.8778204335872701;0.8778204335872701;0.8778204335872701
0.0;0.696388859883911;0.6782189439565532;0.6782189439565532
4.0;0.8753918782405578;0.8924989281308697;0.8718251922921113
4.5;0.97845455112888;0.97845455112888;0.97845455112888
3.0;0.9539273813460365;0.9539273813460365;0.9539273813460365
3.5;0.9491229401885997;0.9491229401885997;0.9491229401885997
4.0;0.9766493526698337;0.9766493526698337;0.9766493526698337
3.0;0.9302842576635298;0.9302842576635298;0.9302842576635298
3.0;0.8811094209087059;0.8811094209087059;0.8811094209087059
3.5;0.8992913920495251;0.8992913920495251;0.9497754746110838
2.5;0.8529905116594833;0.8529905116594833;0.8529905116594833
3.5;0.9720714371594343;0.9720714371594343;0.9720714371594343
3.5;0.7982708195926729;0.7918968147521945;0.7968618262719409
3.0;0.9500680884156029;0.9500680884156029;0.956625843167629
4.5;0.821970146696407;0.821970146696407;0.821970146696407
2.5;0.8438231447934817;0.8438231447934817;0.8438231447934817
3.5;0.8316686170410333;0.8316686170410333;0.7713196799142451
3.0;0.9371822948041156;0.9371822948041156;0.9371822948041156
2.5;0.9273265452878522;0.9273265452878522;0.9273265452878522
4.0;0.9177055248377816;0.9177055248377816;0.9274612913975658
3.5;0.9661059470415524;0.9661059470415524;0.9540116964526292
3.5;0.8397547720267958;0.8397547720267958;0.853943179828209
3.0;0.9558266193153389;0.9558266193153389;0.9608316280127752
2.5;0.9747203798313853;0.9747203798313853;0.9747203798313853
4.0;0.96332093254695;0.96332093254695;0.96332093254695
3.5;0.8983297771030422;0.8795548006882612;0.9070750758975474
2.5;0.7071154667480682;0.7071154667480682;0.7071154667480682
2.5;0.9512572712254911;0.9512572712254911;0.9512572712254911
5.0;0.9698872030400485;0.9698872030400485;0.9698872030400485
4.25;0.9544780277020591;0.9333652575129485;0.9333652575129485
2.5;0.8823825604606639;0.8823825604606639;0.8823825604606639
2.95;0.949070702551111;0.949070702551111;0.949070702551111
3.0;0.9570565667370273;0.9570565667370273;0.9587870757938305
3.45;0.9492768945421912;0.9492768945421912;0.9492768945421912
2.5;0.9448173175494926;0.9448173175494926;0.9448173175494926
0.5;0.842735922470947;0.842735922470947;0.842735922470947
4.5;0.8521996019410527;0.8521996019410527;0.8521996019410527
2.0;0.6859189358477958;0.6859189358477958;0.6924895809812239
2.0;0.8107796425397036;0.8107796425397036;0.8107796425397036
3.5;0.9915446478924496;0.980630645558026;0.9823852415722685
3.5;0.9560980755671876;0.9560980755671876;0.9560980755671876
4.0;0.9713483086494373;0.9713483086494373;0.9713483086494373
3.5;0.9729666672691162;0.974145944182918;0.976395909865644
4.0;0.9740207510049497;0.9762670799997673;0.9665119723285521
2.5;0.825066079060678;0.825066079060678;0.825066079060678
3.0;0.9284590309871524;0.9257702880756616;0.923228253690569
3.0;0.8720802429321293;0.8720802429321293;0.8720802429321293
3.0;0.8153463897436336;0.8153463897436336;0.8153463897436336
1.0;0.6600653722710962;0.6600653722710962;0.6600653722710962
