Human;Flair_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;Flair_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none;Flair_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none
4.0;0.8416621873833124;0.8416621873833124;0.8416621873833124
3.0;0.8026037636483426;0.8026037636483426;0.8026037636483426
2.2;0.7216693423675736;0.7216693423675736;0.7216693423675736
3.2;0.8929330631914931;0.8929330631914931;0.8929330631914931
3.2;0.8413668643367719;0.8413668643367719;0.8413668643367719
3.2;0.7846164219174036;0.7846164219174036;0.7846164219174036
1.4;0.6371706186776998;0.6371706186776998;0.6371706186776998
3.0;0.8230262350526892;0.8230262350526892;0.8230262350526892
1.4;0.6710130182408253;0.6794056053548773;0.6794056053548773
3.0;0.8566237503068789;0.8566237503068789;0.8566237503068789
3.0;0.8881726247364577;0.8881726247364577;0.8881726247364577
1.0;0.7083077538466193;0.7083077538466193;0.7083077538466193
3.0;0.7451441986805931;0.7451441986805931;0.7451441986805931
2.0;0.7938993189383048;0.7938993189383048;0.7938993189383048
2.4;0.8190372729032018;0.8190372729032018;0.8190372729032018
3.4;0.8046975727355665;0.8176815494930458;0.8176815494930458
3.0;0.8264483014764531;0.8264483014764531;0.8264483014764531
2.0;0.7927352948715393;0.7927352948715393;0.7927352948715393
3.2;0.8404119916547921;0.8404119916547921;0.8404119916547921
2.0;0.7615781971784125;0.7615781971784125;0.7615781971784125
3.0;0.7899763202984306;0.7899763202984306;0.7899763202984306
1.2;0.7394967175024995;0.7394967175024995;0.7394967175024995
3.4;0.8482464345339346;0.8482464345339346;0.8482464345339346
1.8;0.6987767001490102;0.6987767001490102;0.6987767001490102
3.6;0.8181842423239013;0.8181842423239013;0.8181842423239013
2.0;0.7304926277194943;0.7304926277194943;0.7304926277194943
2.4;0.8088883843954009;0.8088883843954009;0.8088883843954009
3.4;0.7092505485409282;0.7092505485409282;0.7092505485409282
3.0;0.8188960082947672;0.8188960082947672;0.8188960082947672
4.0;0.59151948105289;0.59151948105289;0.59151948105289
4.0;0.8671710742882576;0.8671710742882576;0.8671710742882576
3.4;0.843862069628178;0.843862069628178;0.843862069628178
3.4;0.8351131896065243;0.8351131896065243;0.8351131896065243
3.0;0.72985018090022;0.72985018090022;0.72985018090022
2.0;0.7599663528029165;0.7599663528029165;0.7599663528029165
3.8;0.9321701818049761;0.9321701818049761;0.9321701818049761
3.4;0.8927996882729314;0.8927996882729314;0.8927996882729314
2.0;0.8110625627278772;0.8110625627278772;0.8110625627278772
4.0;0.8465205815239226;0.8465205815239226;0.8465205815239226
3.2;0.8700410579677021;0.8700410579677021;0.8700410579677021
2.2;0.6662100156906459;0.6662100156906459;0.6662100156906459
3.0;0.7690225904481558;0.7690225904481558;0.7690225904481558
2.0;0.742881178763942;0.742881178763942;0.742881178763942
0.6;0.7794749858767772;0.7794749858767772;0.7794749858767772
3.2;0.7633157064233185;0.7633157064233185;0.7633157064233185
3.6;0.7902939758788853;0.7902939758788853;0.7902939758788853
1.0;0.8107756831002823;0.8107756831002823;0.8107756831002823
1.8;0.8471791066027832;0.8471791066027832;0.8471791066027832
2.8;0.4919154118128173;0.47112292404887063;0.47112292404887063
