Human;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none_Min;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none_Min;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none_Min;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Min
3.5;0.9909238051731017;0.9942006161137679;0.9911412336782424;0.9958258144992149
2.5;0.9438155727149222;0.9692391430856552;0.9692391430856552;0.9692391430856552
3.45;0.9509025924336548;0.9555617674991732;0.9555617674991732;0.9555617674991732
4.0;0.9876726433949866;0.9919690989224645;0.9913494653769833;0.9919690989224645
3.0;0.9410943056712504;0.9610676924178132;0.9610676924178132;0.9603970279697667
2.0;0.9387418580249741;0.9457990551021986;0.9457990551021986;0.9457990551021986
2.5;0.9762361571746995;0.9804554019831421;0.9787916403790158;0.9804554019831421
3.0;0.9000967640339094;0.9179002466422489;0.9179002466422489;0.9179002466422489
0.0;0.8645763431896527;0.8702729975129396;0.8702729975129396;0.8702729975129396
2.5;0.920886788163738;0.9320134342569152;0.9320134342569152;0.9320134342569152
3.0;0.9848840611094017;0.9918038304380559;0.9918038304380559;0.9918038304380559
0.5;0.8782235043837031;0.8878714052865286;0.8878714052865286;0.8876938811118709
3.0;0.96152544380664;0.9729901382593422;0.971920709380125;0.9729901382593422
4.1;0.9588413056042334;0.977688837571635;0.977688837571635;0.977688837571635
3.5;0.9369409034694237;0.968672011435322;0.968672011435322;0.968672011435322
4.0;0.9869184894107991;0.9964640272518183;0.9964640272518183;0.9964640272518183
2.5;0.9631524768262241;0.9814899948070489;0.9814899948070489;0.9814899948070489
4.0;0.9895418419625324;0.9912230812393421;0.9912230812393421;0.9964527382759013
4.0;0.9650577512926702;0.9753390224858486;0.9753390224858486;0.9801500414559956
4.1;0.9408319656758377;0.9674055007942299;0.9674055007942299;0.9674055007942299
4.0;0.9845778183032505;0.9855281180773969;0.9855281180773969;0.9855281180773969
3.0;0.9760958690561203;0.9795998081468275;0.9795998081468275;0.9840140729887782
4.0;0.98761573864556;0.9760709359396978;0.9760709359396978;0.9760709359396978
3.0;0.9788833833004046;0.9672766599515713;0.9672766599515713;0.9672766599515713
4.5;0.9916126225375965;0.9946677034977296;0.9943598490739745;0.9952414955248827
3.5;0.9454089230446047;0.9643204072690092;0.9643204072690092;0.9611008656434946
3.5;0.8757165574162625;0.8683935113214027;0.8683935113214027;0.8683935113214027
3.0;0.9843013116840225;0.9862178062546323;0.9862178062546323;0.9856175243051069
3.5;0.9926865474603404;0.9926859774353983;0.9926859774353983;0.9926859774353983
