Human;LiBlock;Jaccard;BlockDistance;Levenshtein;OverlapCoefficient;Qgram
3.5;0.9055469387673988;0.8461538461538461;0.9166666865348816;0.8775510204081632;1.0;0.9273743016759777
2.5;0.6276137544134723;0.4166666666666667;0.6499999761581421;0.6161616161616161;0.7692307692307693;0.6729559748427674
3.45;0.640256300457617;0.47058823529411764;0.6399999856948853;0.5164835164835164;0.6666666666666666;0.631578947368421
4.0;0.8357261827667766;0.7049180327868853;0.8318583965301514;0.7038461538461538;1.0;0.8226950354609929
3.0;0.2565587028960544;0.15789473684210525;0.25;0.3739130434782608;0.3;0.28415300546448086
2.0;0.38114916731037085;0.24;0.375;0.5038759689922481;0.4;0.42105263157894735
2.5;0.5920786519367064;0.42;0.5789473652839661;0.5365168539325842;0.75;0.583941605839416
3.0;0.5765205676627783;0.3888888888888889;0.5925925970077515;0.59375;0.5833333333333334;0.5851528384279476
0.0;0.0;0.0;0.0;0.25688073394495414;0.0;0.043010752688172005
2.5;0.4764608712150541;0.3125;0.476190447807312;0.5670103092783505;0.5;0.4540540540540541
3.0;0.8576295979894197;0.75;0.8571428656578064;0.88;0.9;0.8900523560209423
0.5;0.056613851707229795;0.0;0.0;0.3145161290322581;0.16666666666666666;0.2272727272727273
3.0;0.5202812388086677;0.35714285714285715;0.5;0.36200716845878134;0.6818181818181818;0.4903846153846154
4.1;0.8150945271558543;0.6875;0.8148148059844971;0.816793893129771;0.8461538461538461;0.8306451612903226
3.5;0.8264014386716854;0.7272727272727273;0.800000011920929;0.71;1.0;0.8409090909090909
4.0;0.8982655986143149;0.8;0.9056603908538818;0.8396624472573839;0.9523809523809523;0.8782816229116945
2.5;0.531151749202898;0.3793103448275862;0.48888885974884033;0.5303643724696356;0.6875;0.533678756476684
4.0;0.8873031437544676;0.8461538461538461;0.8571428656578064;0.7576601671309192;0.9565217391304348;0.8670886075949367
4.0;0.7223311375655364;0.5833333333333334;0.7037037014961243;0.5787545787545787;0.8235294117647058;0.7567567567567568
4.1;0.7658525675079225;0.6153846153846154;0.761904776096344;0.5431034482758621;0.8888888888888888;0.71875
4.0;0.8444444504049089;0.8;0.800000011920929;0.7380952380952381;0.8888888888888888;0.7948717948717949
3.0;0.7234080164470048;0.5714285714285714;0.699999988079071;0.6160714285714286;0.9411764705882353;0.7411545623836127
4.0;0.7916747318607846;0.6428571428571429;0.800000011920929;0.7637795275590551;0.8181818181818182;0.7807017543859649
3.0;0.7623374237464089;0.6153846153846154;0.761904776096344;0.7596153846153846;0.8;0.7526881720430108
4.5;0.8934897620511466;0.7868852459016393;0.8503937125205994;0.8131868131868132;1.0;0.8910179640718563
3.5;0.7809000036181017;0.7;0.7368420958518982;0.7701149425287357;0.875;0.7469879518072289
3.5;0.24674649668479884;0.14285714285714285;0.23529410362243652;0.35;0.3333333333333333;0.2857142857142857
3.0;0.776245964378918;0.6296296296296297;0.7666666507720947;0.6591639871382637;0.9444444444444444;0.7947761194029851
3.5;0.8756592057716679;0.782608695652174;0.8666666746139526;0.7861635220125787;1.0;0.8754578754578755
4.0;0.9640206227492701;0.9354838709677419;0.961240291595459;0.460348162475822;0.9830508474576272;0.9608247422680413
4.0;0.9421917712751176;0.875;0.9508196711540222;0.9212328767123288;0.9545454545454546;0.9547920433996383
4.0;0.9285673660317406;0.8;0.8888888955116272;0.9038461538461539;1.0;0.935483870967742
3.0;0.5259259204069773;0.35;0.5185185074806213;0.5360824742268041;0.5333333333333333;0.5268817204301075
2.5;0.7035530271715817;0.5217391304347826;0.7142857313156128;0.673170731707317;0.8;0.7109826589595376
2.5;0.3232993126092665;0.19047619047619047;0.3199999928474426;0.3115942028985508;0.4;0.4
3.0;0.6833333273728688;0.5;0.699999988079071;0.6666666666666667;0.6666666666666666;0.8131868131868132
0.0;0.0;0.0;0.0;0.29268292682926833;0.0;0.08450704225352113
4.25;0.7179867839013225;0.5555555555555556;0.7142857313156128;0.6891891891891893;0.8333333333333334;0.8064516129032258
3.0;0.5568559438489734;0.375;0.5555555820465088;0.6030534351145038;0.6923076923076923;0.5412844036697247
3.0;0.6354102085458975;0.5294117647058824;0.6000000238418579;0.4642857142857143;0.9;0.6021505376344086
4.0;0.6995893287760118;0.5384615384615384;0.695652186870575;0.6071428571428572;0.7777777777777778;0.7821782178217822
0.0;0.0;0.0;0.0;0.21138211382113825;0.0;0.11914893617021272
3.5;0.6699968558749643;0.5;0.6470588445663452;0.5606060606060606;0.9166666666666666;0.6709677419354838
1.0;0.23043478131294248;0.10526315789473684;0.260869562625885;0.30000000000000004;0.2;0.3157894736842105
0.0;0.09115137996581965;0.05;0.08695650100708008;0.19277108433734935;0.1;0.15189873417721522
1.5;0.49999999999999994;0.3333333333333333;0.5;0.5268817204301075;0.5;0.4691358024691358
3.6;0.5843513900373634;0.4117647058823529;0.5833333730697632;0.4426229508196722;0.6363636363636364;0.5767441860465117
3.0;0.6794871596189647;0.5294117647058824;0.6666666269302368;0.6715328467153285;0.6923076923076923;0.7003891050583657
3.0;0.6986826552088508;0.5833333333333334;0.6511628031730652;0.6030534351145038;0.875;0.7150000000000001
