Human;Jaccard_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;Jaccard_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none;BlockDistance_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;BlockDistance_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none;Levenshtein_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;Levenshtein_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none;OverlapCoefficient_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;OverlapCoefficient_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none;Qgram_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;Qgram_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none;LiMixed_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;LiMixed_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none
4.0;0.34782608695652173;0.34782608695652173;0.5161290168762207;0.5161290168762207;0.5596330275229358;0.5321100917431192;0.6153846153846154;0.6153846153846154;0.5263157894736843;0.5263157894736843;0.4281548369168046;0.4281548369168046
3.0;0.15517241379310345;0.15254237288135594;0.25641024112701416;0.25641024112701416;0.2425373134328358;0.2425373134328358;0.2903225806451613;0.2903225806451613;0.3705179282868526;0.36254980079681276;0.245815081008454;0.24398228844380865
2.2;0.13953488372093023;0.13636363636363635;0.2222222089767456;0.2222222089767456;0.22988505747126442;0.20114942528735635;0.2608695652173913;0.25;0.25214899713467054;0.24641833810888247;0.17823467526061604;0.17565166759800177
3.2;0.18181818181818182;0.18181818181818182;0.2816901206970215;0.2816901206970215;0.33231707317073167;0.3109756097560976;0.4166666666666667;0.4166666666666667;0.4362934362934363;0.42471042471042475;0.3226594959442861;0.3226594959442861
3.2;0.24242424242424243;0.2;0.3404255509376526;0.2978723645210266;0.3146067415730337;0.3033707865168539;0.4;0.35;0.3876404494382022;0.3820224719101124;0.3716505923065341;0.343326530834806
3.2;0.18604651162790697;0.18604651162790697;0.2950819730758667;0.2950819730758667;0.2985781990521327;0.27014218009478674;0.32;0.32;0.3408521303258145;0.3408521303258145;0.23797400046818273;0.23797400046818273
1.4;0.07692307692307693;0.07692307692307693;0.125;0.125;0.2554347826086957;0.23369565217391308;0.1875;0.1875;0.15540540540540537;0.14864864864864868;0.10687688202333086;0.10687688202333086
3.0;0.125;0.125;0.21621620655059814;0.21621620655059814;0.31176470588235294;0.31176470588235294;0.2857142857142857;0.2857142857142857;0.30996309963099633;0.30996309963099633;0.22934518496679432;0.22934518496679432
1.4;0.12;0.09803921568627451;0.19672131538391113;0.16393440961837769;0.24766355140186913;0.23831775700934577;0.24;0.2;0.19759036144578312;0.1879518072289157;0.15538222599679613;0.13742169579411867
3.0;0.13043478260869565;0.1276595744680851;0.2539682388305664;0.2539682388305664;0.2941176470588235;0.2941176470588235;0.3;0.3;0.2892156862745098;0.2892156862745098;0.17263946389396376;0.17082889326187797
3.0;0.23809523809523808;0.20454545454545456;0.32786887884140015;0.2950819730758667;0.3308823529411765;0.3272058823529411;0.5;0.45;0.3820754716981132;0.37735849056603776;0.3087534582488965;0.2862733669247155
1.0;0.05405405405405406;0.05405405405405406;0.09090906381607056;0.09090906381607056;0.19354838709677424;0.19354838709677424;0.2;0.2;0.13013698630136983;0.12328767123287676;0.058722021951470346;0.058722021951470346
3.0;0.11764705882352941;0.11764705882352941;0.19999998807907104;0.19999998807907104;0.2987012987012987;0.2597402597402597;0.2222222222222222;0.2222222222222222;0.23529411764705888;0.23529411764705888;0.25925540001515446;0.25925540001515446
2.0;0.20454545454545456;0.20454545454545456;0.35087716579437256;0.35087716579437256;0.2857142857142857;0.2857142857142857;0.375;0.375;0.37119113573407203;0.3656509695290858;0.30946095531688045;0.30946095531688045
2.4;0.21428571428571427;0.21428571428571427;0.34285712242126465;0.34285712242126465;0.30625;0.29374999999999996;0.42857142857142855;0.42857142857142855;0.38247011952191234;0.38247011952191234;0.3459509481327182;0.3459509481327182
3.4;0.25806451612903225;0.25;0.4390243887901306;0.39024388790130615;0.3921568627450981;0.3856209150326797;0.42105263157894735;0.4;0.4593639575971732;0.45229681978798586;0.35334381966896866;0.3481481492519378
3.0;0.25;0.18604651162790697;0.38596493005752563;0.28070175647735596;0.2282608695652174;0.21739130434782605;0.45454545454545453;0.36363636363636365;0.3571428571428571;0.32417582417582413;0.34034463651797225;0.2972504120046064
2.0;0.13513513513513514;0.10526315789473684;0.25531917810440063;0.21276593208312988;0.22560975609756095;0.2195121951219512;0.2777777777777778;0.2222222222222222;0.2295081967213115;0.22295081967213115;0.1536146374276839;0.1295583762114495
3.2;0.3;0.3;0.4651162624359131;0.4651162624359131;0.33532934131736525;0.32335329341317365;0.47368421052631576;0.47368421052631576;0.47770700636942676;0.4713375796178344;0.4308451172982307;0.4308451172982307
2.0;0.1951219512195122;0.1951219512195122;0.3103448152542114;0.3103448152542114;0.29929577464788737;0.28873239436619713;0.42105263157894735;0.42105263157894735;0.32018561484918795;0.31090487238979114;0.278652667805051;0.278652667805051
3.0;0.14814814814814814;0.14285714285714285;0.22857141494750977;0.22857141494750977;0.28358208955223885;0.25373134328358204;0.3333333333333333;0.3333333333333333;0.32258064516129037;0.30414746543778803;0.2324532297460399;0.22909943891311607
1.2;0.07142857142857142;0.07142857142857142;0.11764705181121826;0.11764705181121826;0.23376623376623373;0.22077922077922074;0.18181818181818182;0.18181818181818182;0.1228070175438597;0.11403508771929827;0.06917144638660747;0.06917144638660747
3.4;0.2631578947368421;0.2631578947368421;0.3999999761581421;0.3999999761581421;0.40086206896551724;0.39655172413793105;0.45454545454545453;0.45454545454545453;0.4832535885167464;0.4736842105263158;0.3932710413659084;0.3932710413659084
