Human;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-user_cf-none_ner-none_Average;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-user_cf-biosses_ner-none_Average;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-user_cf-blagec2019_ner-none_Average;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-user_cf-default_ner-none_Average
4.0;0.7161827622692474;0.7960649224685464;0.7960649224685464;0.8298225650592453
3.0;0.8240047521817057;0.8367626312028168;0.8367626312028168;0.8231953540237181
2.2;0.7916681205474072;0.8261088493234772;0.8261088493234772;0.8261088493234772
3.2;0.8870930572686386;0.8952723874069096;0.9003172051613072;0.8900400593580348
3.2;0.8467103418085099;0.8503982141062366;0.8503982141062366;0.851959678289663
3.2;0.8845629191404409;0.8692702672516361;0.8692702672516361;0.8728954709721409
1.4;0.5408195843635244;0.5597558231974646;0.5661776119960417;0.5597558231974646
3.0;0.8788310197437313;0.8979802940529729;0.8979802940529729;0.8979802940529729
1.4;0.676336857183257;0.7045986092431795;0.7045986092431795;0.7104455892930501
3.0;0.8747659525181914;0.8732302463790133;0.8732302463790133;0.8715946984328845
3.0;0.8852348459423705;0.8917866639908039;0.8917866639908039;0.8917866639908039
1.0;0.6651371780818179;0.7133410308667936;0.7133410308667936;0.7133410308667936
3.0;0.5206196399069275;0.7067520092541202;0.7067520092541202;0.7067520092541202
2.0;0.7927231359721559;0.8443951562382763;0.8443951562382763;0.829559763937069
2.4;0.7747006147166839;0.8613555143617478;0.8613555143617478;0.83782174124302
3.4;0.8726358967040461;0.8786816813106633;0.8786816813106633;0.8786816813106633
3.0;0.8781019576347046;0.8868665151912307;0.8947906156775319;0.8832032186864646
2.0;0.7807110973676001;0.7782863731543646;0.7782863731543646;0.7606358680364298
3.2;0.8694620471430979;0.8484875210020387;0.8702416635420978;0.8685228907652803
2.0;0.8299946478099601;0.8187664997655619;0.8273764833310931;0.8210935438308745
3.0;0.7310751410865531;0.79216064761706;0.79216064761706;0.772890513968466
1.2;0.7659242839005987;0.7806687747762608;0.7806687747762608;0.7806687747762608
3.4;0.7660918501703539;0.7602325760444602;0.7602325760444602;0.7809123687001408
1.8;0.7852260885703869;0.789087404575285;0.789087404575285;0.8064902862431698
3.6;0.7829733874549273;0.7508670423135634;0.7508670423135634;0.7508670423135634
2.0;0.6655753412597372;0.7296289130742766;0.7293817018346367;0.7293817018346367
2.4;0.7946434456659305;0.8042805382577918;0.8042805382577918;0.812392685813427
3.4;0.7454226827511553;0.7484411363110945;0.7461830423933781;0.7484411363110945
3.0;0.7967380429727263;0.7545672639240742;0.7291301400349743;0.7348284416009127
4.0;0.678441425657414;0.7346305431276128;0.7274773846131811;0.7346305431276128
4.0;0.83179760101526;0.8475064614295745;0.8475064614295745;0.8475064614295745
3.4;0.8433711125487016;0.8124830634396857;0.8124830634396857;0.8124830634396857
3.4;0.7835509920914915;0.8057083035381389;0.8057083035381389;0.8057083035381389
3.0;0.6226570881848128;0.5957236524225834;0.5957236524225834;0.5862701475851756
2.0;0.5963475603604653;0.6593421063384647;0.6593421063384647;0.6593421063384647
3.8;0.7893477224411274;0.8562939646501181;0.8562939646501181;0.8517920074841087
3.4;0.7585538654098193;0.838814512294804;0.8261496841454085;0.8362247877205691
2.0;0.6260506601688497;0.6696701654700626;0.6696701654700626;0.6714350785532408
4.0;0.7325653390309145;0.7539307369204196;0.7210224602363609;0.7539307369204196
3.2;0.8175666193231167;0.8058428503538245;0.8058428503538245;0.8058428503538245
2.2;0.5451569202858849;0.5472557417424113;0.5472557417424113;0.5473921945046639
3.0;0.8655812010636934;0.8766823862814737;0.8766823862814737;0.8813313843724018
2.0;0.7616861021833341;0.7773673643960459;0.7772329584854728;0.7694986164021621
0.6;0.795483043012636;0.8101620355475507;0.8101620355475507;0.8074286331644567
3.2;0.7738301724643163;0.8586213914214877;0.8586213914214877;0.8586213914214877
3.6;0.8330679977239428;0.8545502106276508;0.8545502106276508;0.8545502106276508
1.0;0.7294847455855314;0.8003173727198976;0.8141313629730087;0.815875924666266
1.8;0.7956401780232859;0.7679806562683219;0.8070577504462754;0.7513161797627469
2.8;0.7926793520105755;0.7160615040902487;0.7632027130392705;0.7704997255569834
2.8;0.711674461789343;0.6838776269203388;0.7134017164414066;0.718404230982283
1.8;0.8308422891980672;0.8056724924283353;0.817579092803507;0.8283465565399093
1.8;0.7299811421961253;0.7361629027001215;0.7590728297909313;0.737112943235881
2.6;0.8756914776036601;0.8500227848044475;0.8500227848044475;0.826962914365565
1.4;0.585864829590179;0.5691574656931845;0.585864829590179;0.5691574656931845
