Human;WBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLWeightedJiangConrath_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLWeightedJiangConrath_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLRada_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLRada_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLRada_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCosineNormWeightedJiangConrath_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCosineNormWeightedJiangConrath_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCaiStrategy1_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCaiStrategy1_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none;WBSM_JiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_JiangConrath_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none;WBSM_JiangConrath_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none
4.0;0.5974335433637762;0.5974335433637762;0.6213856066718884;0.5229763603684908;0.5229763603684908;0.5518254055364691;0.5548928293141406;0.5548928293141406;0.5817071382377057;0.6290840098705234;0.6290840098705234;0.6507871862512443;0.5974335433637762;0.5974335433637762;0.6213856066718884
3.0;0.4993691987434976;0.4993691987434976;0.5680603608326135;0.2694079530401624;0.2694079530401624;0.35251199395531624;0.4236186788010019;0.4236186788010019;0.4987617772555206;0.5292158088455226;0.5292158088455226;0.5953355488665353;0.4993691987434976;0.4993691987434976;0.5680603608326135
2.2;0.5328911623108353;0.5328911623108353;0.5238377628904801;0.24535824603285925;0.24535824603285925;0.24077170617153842;0.4657424063516116;0.4657424063516116;0.4575345547651785;0.5563265049924945;0.5563265049924945;0.5470411026729294;0.5328911623108353;0.5328911623108353;0.5238377628904801
3.2;0.5070939293727169;0.5070939293727169;0.5381521047857404;0.31878835653166915;0.31878835653166915;0.34358227615493336;0.44340323558531985;0.44340323558531985;0.4716930856091667;0.5373401020884387;0.5373401020884387;0.5694320013178625;0.5070939293727169;0.5070939293727169;0.5381521047857404
3.2;0.6048652778131046;0.6048652778131046;0.6284125369487299;0.3903600291794133;0.3903600291794133;0.35564337957950964;0.5248499947319724;0.5248499947319724;0.5334503081822924;0.6445379101793473;0.6445379101793473;0.6718970733055089;0.6048652778131046;0.6048652778131046;0.6284125369487299
3.2;0.5174036878093822;0.5174036878093822;0.6020593249969605;0.31378581622109447;0.31378581622109447;0.3774256780481986;0.45932142218711125;0.45932142218711125;0.5381175358420814;0.5402937876294115;0.5402937876294115;0.6261019269723569;0.5174036878093822;0.5174036878093822;0.6020593249969605
1.4;0.4545292091067916;0.4545292091067916;0.4545292091067916;0.14708710135363803;0.14708710135363803;0.14708710135363803;0.3664541101550519;0.3664541101550519;0.3664541101550519;0.48648432447850926;0.48648432447850926;0.48648432447850926;0.4545292091067916;0.4545292091067916;0.4545292091067916
3.0;0.4927775946425929;0.4927775946425929;0.4927775946425929;0.2279211529192759;0.2279211529192759;0.2279211529192759;0.4301032187266897;0.4301032187266897;0.4301032187266897;0.5109417155702717;0.5109417155702717;0.5109417155702717;0.4927775946425929;0.4927775946425929;0.4927775946425929
1.4;0.6395130135778966;0.629215555076765;0.6409566309431843;0.29872871496452597;0.293038123038631;0.2876608199176184;0.5553933222960584;0.5458199348318935;0.5490987860295327;0.6682041105701592;0.657815864724312;0.6737870062415684;0.6395130135778966;0.629215555076765;0.6409566309431843
3.0;0.5962315104589976;0.5962315104589976;0.6450112557411462;0.3038948705590345;0.3038948705590345;0.37113480951260275;0.5300025581940501;0.5300025581940501;0.5893230099612952;0.6179969155040335;0.6179969155040335;0.6602158583459354;0.5962315104589977;0.5962315104589977;0.6450112557411462
3.0;0.6577057001585888;0.6577057001585888;0.6577057001585888;0.3952847075210474;0.3952847075210474;0.3952847075210474;0.5800026743835341;0.5800026743835341;0.5800026743835341;0.6917317328088132;0.6917317328088132;0.6917317328088132;0.6577057001585886;0.6577057001585886;0.6577057001585886
1.0;0.5450887980136504;0.5450887980136504;0.5450887980136504;0.11744404390294069;0.11744404390294069;0.11744404390294069;0.42088895397744575;0.42088895397744575;0.42088895397744575;0.5870315020963611;0.5870315020963611;0.5870315020963611;0.5450887980136504;0.5450887980136504;0.5450887980136504
3.0;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195
2.0;0.5358479042651916;0.5358479042651916;0.5485074564689372;0.34114411961050656;0.34114411961050656;0.3286335345030997;0.4514392567171177;0.4514392567171177;0.45728406781105485;0.5860472471033351;0.5860472471033351;0.6001553273367851;0.5358479042651916;0.5358479042651916;0.5485074564689372
2.4;0.4304915141876069;0.4304915141876069;0.4196698721999059;0.35856858280031806;0.35856858280031806;0.3380617018914066;0.3791311774098836;0.3791311774098836;0.36012461917141514;0.4979759994947252;0.4979759994947252;0.5099460164302749;0.43049151418760684;0.43049151418760684;0.41966987219990587
3.4;0.5990714079659671;0.60161234664086;0.6161710111862928;0.4103913408340616;0.4290581651605165;0.45643546458763845;0.5616274453683446;0.5660826420699107;0.581692641900932;0.6081449931086482;0.6112001337624675;0.6262449162540699;0.5990714079659671;0.60161234664086;0.6161710111862928
3.0;0.7511040252887288;0.7511040252887288;0.7708950532697059;0.46823140739455127;0.46823140739455127;0.45847551656373764;0.6940192214846173;0.6940192214846173;0.7095101956901778;0.771281786758728;0.771281786758728;0.7916767775498946;0.7511040252887288;0.7511040252887288;0.7708950532697059
2.0;0.539578362885821;0.5148949098070443;0.5231092131306463;0.2405626121623441;0.22821773229381923;0.22360679774997896;0.4346026470211312;0.41338437334054023;0.41759723130885934;0.6021643064810617;0.5762635856595522;0.5849046403346804;0.539578362885821;0.5148949098070443;0.5231092131306463
3.2;0.5989697632401074;0.5989697632401074;0.6436710255221686;0.4843221048378526;0.4843221048378526;0.49774773629697616;0.5450715989553626;0.5450715989553626;0.5720101261679199;0.6451059493384185;0.6451059493384185;0.7022469859522485;0.5989697632401074;0.5989697632401074;0.6436710255221686
2.0;0.6022300846338232;0.6022300846338232;0.6306448489891959;0.3721042037676253;0.3721042037676253;0.39668175187900967;0.5395150723074505;0.5395150723074505;0.5658029913721523;0.6286313900352762;0.6286313900352762;0.6575316680441682;0.6022300846338232;0.6022300846338232;0.6306448489891959
3.0;0.48095400553775297;0.48095400553775297;0.5632103288308794;0.26490647141300877;0.26490647141300877;0.34992710611188266;0.42312600955786495;0.42312600955786495;0.506150561614761;0.5073203487850828;0.5073203487850828;0.5880870816585184;0.48095400553775297;0.48095400553775297;0.5632103288308794
1.2;0.4427110273865661;0.4427110273865661;0.4258628899342127;0.13834289277321493;0.13834289277321493;0.13245323570650439;0.31959810194145843;0.31959810194145843;0.3064897258079185;0.5039719556014907;0.5039719556014907;0.485942662306508;0.4427110273865661;0.4427110273865661;0.4258628899342127
3.4;0.5543847128339308;0.5543847128339308;0.6334935325864618;0.4181210050035454;0.4181210050035454;0.5199469468957453;0.531970541159931;0.531970541159931;0.6129315689299186;0.562702304546856;0.562702304546856;0.6414528024117897;0.5543847128339308;0.5543847128339308;0.6334935325864619
1.8;0.4732618017108843;0.4732618017108843;0.4891488710310803;0.20100756305184242;0.20100756305184242;0.1835325870964494;0.3979021798856127;0.3979021798856127;0.3999246166566487;0.4989692861781137;0.4989692861781137;0.5202101587731552;0.4732618017108843;0.4732618017108843;0.4891488710310803
3.6;0.5395530855426922;0.5395530855426922;0.563714333774001;0.3720594877662901;0.3720594877662901;0.39833695979123196;0.48200253258009945;0.48200253258009945;0.5028725728119371;0.5744113779115236;0.5744113779115236;0.6034559860616304;0.5395530855426922;0.5395530855426922;0.563714333774001
