Human;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Max;PubMed-and-PMC-w2v__tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none_Max;PubMed-and-PMC-w2v__tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none_Max
3.5;0.9975855556642786;0.9975855556642786;0.9984453535097302
2.5;0.9624791788453019;0.9624791788453019;0.9624791788453019
3.45;0.95979058487933;0.95979058487933;0.95979058487933
4.0;0.9861350454596004;0.9861350454596004;0.9878687342678681
3.0;0.9354651888462484;0.9354651888462484;0.9386773868576236
2.0;0.9320571240718875;0.9320571240718875;0.9320571240718875
2.5;0.9726128223583022;0.9726128223583022;0.9749286247315317
3.0;0.9179087997357765;0.9179087997357765;0.9179087997357765
0.0;0.8695846301270969;0.8695846301270969;0.8695846301270969
2.5;0.9235405842275071;0.9235405842275071;0.9235405842275071
3.0;0.9813486744187958;0.9813486744187958;0.9813486744187958
0.5;0.8835274476138489;0.8827775153142569;0.8827775153142569
3.0;0.9678864515825256;0.9678864515825256;0.9583595888422487
4.1;0.9752092487602475;0.9752092487602475;0.9752092487602475
3.5;0.9631401275725371;0.9631401275725371;0.9631401275725371
4.0;0.9914879313952444;0.9914879313952444;0.9914879313952444
2.5;0.969284948959349;0.9996463442498386;0.9626115993010542
4.0;0.9934560807828037;0.9934560807828037;0.9927503784422003
4.0;0.9795309621600843;0.9795309621600843;0.9788541277121883
4.1;0.9656012526970235;0.9656012526970235;0.9656012526970235
4.0;0.9846515862167661;0.9846515862167661;0.9846515862167661
3.0;0.9790265060008884;0.9790265060008884;0.978604984623817
4.0;0.9844637519569115;0.9844637519569115;0.9844637519569115
3.0;0.967166858189897;0.967166858189897;0.967166858189897
4.5;0.9952036529223574;0.9947968547136157;0.9947968547136157
3.5;0.9596819857872413;0.9801747036985483;0.9801747036985483
3.5;0.8447897169813686;0.8447897169813686;0.8447897169813686
3.0;0.9858018940830097;0.9858018940830097;0.9871400264566177
3.5;0.9911645447961638;0.9911645447961638;0.9911645447961638
4.0;0.99863530562902;0.99863530562902;0.9987407940271664
4.0;0.993772877618084;0.993772877618084;0.9925212158972387
4.0;0.9986361190803438;0.9986361190803438;0.999381098262372
