Human;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-user_cf-default_ner-none_Min;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-user_cf-default_ner-none_Min;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-user_cf-default_ner-none_Min
4.0;0.8718022474173325;0.8718022474173325;0.9211507557283029
3.0;0.9039403989541706;0.9039403989541706;0.9217650343698904
2.2;0.9041598487858956;0.9041598487858956;0.9087485165342419
3.2;0.9451660563429457;0.9461028610390222;0.9493840112826918
3.2;0.9606196709854813;0.9606196709854813;0.961918387634281
3.2;0.9213108595079963;0.9213108595079963;0.9295482742138124
1.4;0.8567154194894621;0.8567154194894621;0.8657387483657252
3.0;0.9433700297196407;0.94679044629825;0.9546379710711053
1.4;0.9189886168181755;0.9189886168181755;0.9185089901428315
3.0;0.9343786722621231;0.9343786722621231;0.9395212569036462
3.0;0.9501665129820794;0.9523682630906607;0.9557555003356282
1.0;0.86036524149092;0.86036524149092;0.8711414731497868
3.0;0.8659171409087225;0.8659171409087225;0.8878759020506912
2.0;0.8962986450023537;0.888073284590453;0.9019436759216932
2.4;0.9549498590432131;0.9549498590432131;0.9585097062832443
3.4;0.9259342390361933;0.9259342390361933;0.9301446069175683
3.0;0.941471353457563;0.941471353457563;0.9433851403508754
2.0;0.8715153417722606;0.8715153417722606;0.8958226612975071
3.2;0.9061217566077111;0.9061217566077111;0.9146363632055928
2.0;0.9185046869272506;0.9185046869272506;0.9286062317985346
3.0;0.8680720093826082;0.8680720093826082;0.894644127096743
1.2;0.8561630494081462;0.8561630494081462;0.8751469877551477
3.4;0.9210015625064266;0.9210015625064266;0.9265354829010989
1.8;0.9149925675073538;0.9149925675073538;0.9207078740873691
3.6;0.8317992460518051;0.8317992460518051;0.8681199005959123
2.0;0.8617213443646583;0.8617213443646583;0.8840651454706826
2.4;0.8969210935330412;0.8969210935330412;0.9157375409948703
3.4;0.8564318240873682;0.8564318240873682;0.8910937686317526
3.0;0.9168986471974517;0.9168986471974517;0.9205512991924012
4.0;0.9180040177527805;0.9163081052534457;0.9219340619189554
4.0;0.9517057751078625;0.9517057751078625;0.9503268408346
3.4;0.8892412168415161;0.8892412168415161;0.9075624144936759
3.4;0.9094075878109497;0.9094075878109497;0.9390086374861742
3.0;0.794137850145708;0.794137850145708;0.8423768500661416
2.0;0.8684316011745428;0.8684316011745428;0.8939947632259725
3.8;0.9335451463353526;0.9328998455801751;0.9363650400933298
3.4;0.8901437105441516;0.8879366597186275;0.906190734555746
2.0;0.7690316550607592;0.7690316550607592;0.8596900583256415
4.0;0.889242209235147;0.889242209235147;0.9058163167677922
