Human;bio_embedding_intrinsic__tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none_Sum;bio_embedding_intrinsic__tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none_Sum;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Sum;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none_Sum;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none_Sum;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Sum
3.5;0.9942249304531379;0.9942249304531379;0.995725965368544;0.9835858397076128;0.9835858397076128;0.9879296188966564
2.5;0.9746334922160429;0.9746334922160429;0.971883201536337;0.9618705804378685;0.9618705804378685;0.9545715003086238
3.45;0.9800892692040465;0.9800892692040465;0.9880742074963252;0.9576881989559919;0.9576881989559919;0.9648965523946291
4.0;0.9891149372026834;0.9891149372026834;0.9936996743028526;0.9829733904391085;0.9829733904391085;0.9886954640648971
3.0;0.9214955281583381;0.9214955281583381;0.9635901374614008;0.8849123304584389;0.8849123304584389;0.9277580088737996
2.0;0.9089501555817571;0.9089501555817571;0.9411895707742258;0.8569576692064703;0.8569576692064703;0.8959072442408512
2.5;0.9760217694421474;0.9760217694421474;0.9880535101533444;0.9625914388250701;0.9625914388250701;0.9792770495671917
3.0;0.955125674747417;0.955125674747417;0.9577274333728417;0.9252613902760926;0.9252613902760926;0.9255261500610087
0.0;0.817556379666475;0.817556379666475;0.9408406150148314;0.6625064770083727;0.6625064770083727;0.8737615513685929
2.5;0.8737390145386297;0.8737390145386297;0.8887442335606246;0.870618630717522;0.870618630717522;0.8826099316533016
3.0;0.9814032331888701;0.9814032331888701;0.9899131242075355;0.9773900647096452;0.9773900647096452;0.9865953863380745
0.5;0.8332308989198217;0.8332308989198217;0.9510627798984036;0.7094927821248557;0.7094927821248557;0.8913106400229598
