Human;Sent2vec_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;Sent2vec_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none
4.0;0.7917604647919134;0.6010209550544239
3.0;0.6937307599483679;0.6049894261808072
2.2;0.5698640897466954;0.46856136165552087
3.2;0.7672814095250469;0.6545593928100901
3.2;0.680838459351605;0.5417117157352029
3.2;0.6908191183525575;0.5460219603319587
1.4;0.44071038625575387;0.2428391273233885
3.0;0.668319379752534;0.6306118031669774
1.4;0.44733480458967995;0.443641692321095
3.0;0.6353077448508756;0.6341208237072419
3.0;0.6851041925280834;0.639905130843246
1.0;0.49117758800908423;0.4315244745470932
3.0;0.4591151019654099;0.32514230280923445
2.0;0.6253615891219083;0.5502101838156922
2.4;0.7305683300945827;0.5610763291276106
3.4;0.578334262731493;0.5314746143473712
3.0;0.7231001404653906;0.5478171161972698
2.0;0.6204557276134809;0.5533308236460908
3.2;0.726246196145681;0.6586332693816506
2.0;0.664747082345729;0.6673766849822182
3.0;0.6960076531583047;0.5050292861349923
1.2;0.5595744070421603;0.3967841329919621
3.4;0.7569796363109965;0.6437720885080165
1.8;0.5716915446395298;0.5847686555135747
3.6;0.5690495565262159;0.5139927884994088
2.0;0.5966454309398441;0.5190787526400418
2.4;0.5213547020710682;0.5266363690233734
3.4;0.6302116425214103;0.4173785336581412
3.0;0.7186813366867303;0.6070036338135171
4.0;0.6639820051183175;0.426374392625673
4.0;0.7214250027583322;0.5497305672607137
3.4;0.8146805898490472;0.5591713761454803
3.4;0.7525666052984632;0.49582046908230043
3.0;0.493257408383881;0.3137406176224363
2.0;0.6852575591362335;0.42246296676617445
3.8;0.8533249499655624;0.8255620365566668
3.4;0.6933005136798311;0.6134908567565014
2.0;0.49629928656782185;0.3724090078966407
4.0;0.7436278030980911;0.5488075587759902
3.2;0.5351275012222864;0.4651136231825337
2.2;0.34907907148282996;0.31027717549144473
3.0;0.623473924320426;0.6300172522946732
2.0;0.5777696684973367;0.48249460514048953
0.6;0.5740143478734242;0.5051019073656484
3.2;0.7606337230080261;0.46635466154325395
3.6;0.7546211765638207;0.6350587732068526
1.0;0.48898159680264647;0.44069153008570255
1.8;0.6439266026196367;0.5965521573060337
2.8;0.4485105449778855;0.36903102484452266
2.8;0.4737723934856526;0.3975620081818428
1.8;0.6861238638799865;0.551310692293983
1.8;0.5057087503121234;0.4401836891884842
2.6;0.6426873674476892;0.6371069604372115
1.4;0.5245852858478715;0.32856634052029876
3.0;0.5478045897703165;0.5259506873098404
0.6;0.4102376362217944;0.3318772827458344
1.8;0.5432857367364277;0.4250348451859367
3.0;0.622505253619112;0.5860593780618736
3.0;0.7335851343433191;0.7266503670689621
3.8;0.7859386381652352;0.7722522816458143
2.4;0.5598487639245688;0.46311847447296034
3.6;0.7408665547787615;0.7103721648068018
2.8;0.7786814657802285;0.5282842967260656
3.6;0.6697087265744065;0.5907065224549461
3.0;0.6737608319179954;0.6942513403681309
0.0;0.32217952385802984;0.2761102879658867
0.0;0.36129233192150323;0.2965003497307003
0.2;0.22661762649170847;0.20052943836026227
0.0;0.38469357677299904;0.3703020699333329
0.2;0.3429537432734188;0.2687899983942967
0.2;0.46020483545036145;0.378558374621037
1.8;0.5021721780991817;0.2780087434684659
1.4;0.43175013535815615;0.45125327850216196
1.8;0.4091654567839779;0.21685077256905377
2.0;0.48845822795212185;0.36912226134449566
0.0;0.3854597883381718;0.39929119686357484
0.8;0.6041086124677592;0.5627542818829668
2.2;0.576726738587597;0.5419560748085045
1.4;0.41683409166387153;0.3912187061376793
1.8;0.5706897788032572;0.5331247011845422
3.0;0.671898676505219;0.6845199564654678
1.2;0.6648897179562139;0.471972031361478
0.2;0.3663540721441886;0.2982833503378578
0.2;0.2899208923880442;0.37847079101031145
0.6;0.36856067130170833;0.371827897390822
0.2;0.3451720477458069;0.34081144101455124
0.2;0.3453402678741204;0.24520043168471642
0.0;0.29400242016847683;0.3020497119190137
0.2;0.3620411747903691;0.25946737399259623
0.2;0.30173891692250127;0.268351312503695
2.0;0.38168571085485004;0.2749089952841474
2.8;0.5863164914678668;0.5311766190175785
2.0;0.45145773834237224;0.3552114645739707
4.0;0.7697977356961051;0.7049778090814814
3.0;0.6441976137192151;0.5758739761566496
3.2;0.6219965845776508;0.6045070099692397
1.6;0.5009712472413465;0.4534872562208283
2.4;0.5802420283789962;0.3984435514620189
3.2;0.5920116878742631;0.5527692528448045
1.8;0.4504695139638307;0.2821246558442488
