Human;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none_Max;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none_Average;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none_Min;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none_Sum;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none_Max;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none_Average;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none_Min;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none_Sum;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Max;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Average;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Min;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Sum
4.0;0.9292316949110119;0.8801406998917862;0.9614895886284964;0.8801406998917862;0.9292316949110119;0.8801406998917862;0.9614895886284964;0.8801406998917862;0.9395360497846166;0.9578032099314276;0.9680056281749467;0.9578032099314276
3.0;0.9324843831416426;0.9255088785353754;0.9366658557972772;0.9255088785353754;0.9324843831416426;0.9255088785353754;0.9366658557972772;0.9255088785353754;0.9373416655619478;0.9617898324858423;0.9431249981409893;0.9617898324858423
2.2;0.9336769628212696;0.9087118664156248;0.9341986070964688;0.9087118664156248;0.9336769628212696;0.9087118664156248;0.9341986070964688;0.9087118664156248;0.9364517487402795;0.9546447711601136;0.9350807222691452;0.9546447711601136
3.2;0.9600451265079334;0.9655911188533784;0.9638798313795427;0.9655911188533784;0.9600510158227259;0.9685239623555238;0.9645879156239883;0.9685239623555238;0.9616188102877928;0.980120993020521;0.9669973991308066;0.980120993020521
3.2;0.965712064646517;0.9540748155368983;0.9698309813733222;0.9540748155368983;0.965712064646517;0.9540748155368983;0.9698309813733222;0.9540748155368983;0.9661950230779619;0.9669373732661934;0.9710355505554118;0.9669373732661934
3.2;0.9367991081211288;0.8880290385564809;0.9468049440733101;0.8880290385564809;0.9367991081211288;0.8880290385564809;0.9468049440733101;0.8880290385564809;0.9413275611782145;0.9475009428516656;0.9482482355311574;0.9475009428516656
1.4;0.8901346999004435;0.8238321303966673;0.8948026155335773;0.8238321303966673;0.8901346999004435;0.8238321303966673;0.8948026155335773;0.8238321303966673;0.8962106068866746;0.912005422658737;0.8976644580846734;0.912005422658737
3.0;0.9427929522366568;0.9434733275886492;0.9502424570159972;0.9434733275886492;0.9450745069170838;0.947202681495432;0.9540278046141604;0.947202681495432;0.9471599284769019;0.9648471447909864;0.9569397775739913;0.9648471447909864
1.4;0.9142708037086755;0.8634421669763716;0.9186367977460177;0.8634421669763716;0.9142708037086755;0.8634421669763716;0.9186367977460177;0.8634421669763716;0.9168270018263878;0.8938720728289319;0.9222365825532994;0.8938720728289319
3.0;0.9465313746285655;0.9355166933293687;0.9458367255384107;0.9355166933293687;0.9465313746285655;0.9355166933293687;0.9458367255384107;0.9355166933293687;0.9495787027174093;0.9725193429312443;0.9479840584314683;0.9725193429312443
