Human;bioconceptvec_fasttext__tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none_Sum;bioconceptvec_fasttext__tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none_Sum;bioconceptvec_fasttext__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Sum
3.5;0.9996292381547494;0.9996292381547494;0.9998443972632011
2.5;0.9991035446840012;0.9991035446840012;0.9988460324503728
3.45;0.9980619553597802;0.9980619553597802;0.9987172583828638
4.0;0.9997473356757739;0.9997473356757739;0.9998551425886942
3.0;0.9981273818188865;0.9981273818188865;0.9985478612465732
2.0;0.9990854034359282;0.9990854034359282;0.9988234619070683
2.5;0.9983418457217498;0.9983418457217498;0.9991528779983173
3.0;0.9926347614077238;0.9926347614077238;0.9940288954087805
0.0;0.9951001778931308;0.9951001778931308;0.998918824672205
2.5;0.9964293859890235;0.9964293859890235;0.996662368225509
3.0;0.999065657717415;0.999065657717415;0.9995534937800967
0.5;0.9871375859774454;0.9871375859774454;0.9952951194627503
3.0;0.9980000428995016;0.9980000428995016;0.9990301361847167
4.1;0.999630753131506;0.999630753131506;0.9997945374380975
3.5;0.9990301664526717;0.9990301664526717;0.9988213237524701
4.0;0.9999689849431231;0.9999689849431231;0.9999737679227227
2.5;0.9994712437298567;0.9994712437298567;0.9997061930691882
4.0;0.9996382121408499;0.9996382121408499;0.9994333205255963
4.0;0.9994435952714511;0.9994435952714511;0.9993376035096251
4.1;0.9982091578515264;0.9982091578515264;0.9988678925924247
4.0;0.9995047730199722;0.9995047730199722;0.9995784490535069
3.0;0.9988926287790505;0.9988926287790505;0.9995233229219993
4.0;0.9973095147809483;0.9973095147809483;0.9968277355117714
3.0;0.9982074297557587;0.9982074297557587;0.9987732831254951
4.5;0.9998204256157219;0.9998204256157219;0.999846082091026
3.5;0.9962058184996229;0.9962058184996229;0.9994907369428461
3.5;0.9984168821123;0.9984168821123;0.9994014612443229
3.0;0.9996409113144087;0.9996409113144087;0.9997435116815814
3.5;0.9998491463692918;0.9998491463692918;0.9996306025768337
4.0;0.9999625647616093;0.9999625647616093;0.9999702914627818
4.0;0.9999227073715322;0.9999227073715322;0.9999670164078728
4.0;0.9999812369529755;0.9999812369529755;0.9999251824949731
3.0;0.9975557425404731;0.9975557425404731;0.9986908383274334
2.5;0.9991878803360418;0.9991878803360418;0.9994045341183377
