Human;COMMixed_WBSM-AncSPLWeightedJiangConrath_String-Jaccard;COMMixed_WBSM-AncSPLWeightedJiangConrath_String-Jaccard
3.5;0.8645819373673346;0.8645819373673346
2.5;0.4606012609313934;0.4606012609313934
3.45;0.4748926834881899;0.4748926834881899
4.0;0.7573703768231028;0.7573703768231028
3.0;0.21830792921337425;0.21830792921337425
2.0;0.3170418388828563;0.3170418388828563
2.5;0.4587128367107782;0.4587128367107782
3.0;0.39728033624255127;0.39728033624255127
0.0;0.054002403151650655;0.054002403151650655
2.5;0.3765871867094678;0.3765871867094678
3.0;0.8022206666096589;0.8022206666096589
0.5;0.10500826499571254;0.10500826499571254
3.0;0.37997050778152697;0.37997050778152697
4.1;0.6476202133849561;0.6476202133849561
3.5;0.5393135050431319;0.5393135050431319
4.0;0.848164341036349;0.848164341036349
2.5;0.43160881331244266;0.43160881331244266
4.0;0.8900143976981187;0.8900143976981187
4.0;0.6417021092737069;0.6417021092737069
4.1;0.5637047678495171;0.5637047678495171
4.0;0.8222222222222223;0.8222222222222223
3.0;0.6611040465933422;0.6611040465933422
4.0;0.6973492469025497;0.6973492469025497
3.0;0.6592355510951601;0.6592355510951601
4.5;0.7239010117127659;0.7239010117127659
3.5;0.5546958963754949;0.5546958963754949
3.5;0.2547649184269612;0.2547649184269612
3.0;0.7022949876970839;0.7022949876970839
3.5;0.8442004257369298;0.8442004257369298
4.0;0.9344529306639613;0.9344529306639613
4.0;0.9097374841921596;0.9097374841921596
4.0;0.692068798225946;0.692068798225946
3.0;0.39478299999888034;0.39478299999888034
2.5;0.5522625853927012;0.5522625853927012
2.5;0.15759388405592026;0.15759388405592026
3.0;0.2540988491960827;0.2540988491960827
0.0;0.11860039029012996;0.11860039029012996
4.25;0.574977309712147;0.574977309712147
3.0;0.5215728513872515;0.5215728513872515
3.0;0.5552237364239954;0.5552237364239954
4.0;0.5995251453710622;0.5995251453710622
0.0;0.10689007707744504;0.10689007707744504
3.5;0.45029129210242447;0.45029129210242447
1.0;0.14568711271512602;0.14568711271512602
0.0;0.1652328071391898;0.1652328071391898
1.5;0.391527056633167;0.391527056633167
3.6;0.344170832561155;0.344170832561155
3.0;0.5642728379081187;0.5642728379081187
3.0;0.5731955942786902;0.5731955942786902
5.0;0.8391577727015419;0.8391577727015419
3.5;0.2376455707503165;0.2376455707503165
0.0;0.03901380409274052;0.03901380409274052
4.0;0.5700999580783568;0.5700999580783568
4.5;0.7347204622668196;0.7347204622668196
3.0;0.5018156198608325;0.5018156198608325
3.5;0.6215895517526975;0.6215895517526975
4.0;0.7118393206960671;0.7118393206960671
3.0;0.7205978979374807;0.7205978979374807
3.0;0.5032943171564226;0.5032943171564226
3.5;0.6033808950678375;0.6033808950678375
2.5;0.19355047693319144;0.19355047693319144
3.5;0.49743225083916204;0.49743225083916204
3.5;0.1769833883458504;0.1769833883458504
3.0;0.4693580985064226;0.4693580985064226
4.5;0.3761519959468752;0.3761519959468752
2.5;0.27772171597256856;0.27772171597256856
3.5;0.4255846612344624;0.4255846612344624
3.0;0.6115915009087958;0.6115915009087958
2.5;0.4731874503909921;0.4731874503909921
4.0;0.45504430405731927;0.45504430405731927
