Human;bestCOM_bestWBSM_AncSPLRada_bestUBSM_AncSPLRada;worstCOM_worstWBSM_AncSPLRada_worstUBSM_AncSPLRada
3.5;0.8321137749597085;0.894532833286148
2.5;0.6253623785183526;0.5192750321195468
3.45;0.6228210387675668;0.47468011844093216
4.0;0.8539367261568209;0.8644749519758559
3.0;0.2922588989661017;0.28647137820114676
2.0;0.36616555714595944;0.4002998707421777
2.5;0.6208816239616279;0.6672436195013742
3.0;0.5437474075062675;0.3675377884310922
0.0;0.04901430813958718;0.24343224778007383
2.5;0.501888785658763;0.5773442499503847
3.0;0.8790581651605165;0.8985426135725302
0.5;0.1091089451179962;0.2861133622596346
3.0;0.5044958164756169;0.46996867004604703
4.1;0.8153742483272114;0.8010018789148141
3.5;0.8528028654224417;0.6165743634840659
4.0;0.9027493569784575;0.9157476291709397
2.5;0.5828173654604689;0.5415154995212439
4.0;0.917463421851129;0.9296696802013682
4.0;0.7409585736349483;0.7620403231268358
4.1;0.769800358919501;0.7514691493021793
4.0;0.915848965235476;0.7586517170661948
3.0;0.7468160448149386;0.7751442676187897
4.0;0.8008686935415708;0.7892160239998863
3.0;0.7726969317607002;0.7386363636363638
4.5;0.9165262841932809;0.8225535526172782
3.5;0.8432740427115678;0.7084436579728418
3.5;0.25819888974716115;0.34668762264076824
3.0;0.7858252779857413;0.817155649844817
3.5;0.884651736929383;0.9155166790779146
4.0;0.9465652869040886;0.9642494952220109
4.0;0.9335638713962128;0.9553302944424514
4.0;0.9393364366277241;0.69572092380016
3.0;0.5678238490781709;0.3255572058353476
2.5;0.6836367982305065;0.7131810623396486
2.5;0.3265986323710904;0.3557392228230128
3.0;0.6666666666666666;0.4583333333333334
0.0;0.0;0.1461582309152814
4.25;0.7216878364870323;0.7698003589195012
3.0;0.5817809101240596;0.6443416284006094
3.0;0.6708203932499369;0.6935250735955115
4.0;0.7035264706814485;0.5713110352897358
0.0;0.03924587541391115;0.23529411764705882
3.5;0.7227472178663031;0.639545036101171
1.0;0.20645737003567033;0.31548211124627557
0.0;0.12088413216516226;0.23611111111111113
1.5;0.4999999999999999;0.5232577435493373
3.6;0.5853694070049636;0.5789473684210525
3.0;0.710076487847139;0.6457778912175369
3.0;0.7814492505940702;0.6799670928024295
5.0;0.8999999999999998;0.8576335226634394
3.5;0.5720775535473553;0.4383570037596046
0.0;0.09245003270420486;0.20180183819889375
4.0;0.6681531047810609;0.6269892545510474
4.5;0.9481358154138277;0.8363146442113745
3.0;0.6929348671835833;0.6600384647351074
3.5;0.8190283593479223;0.6882208048924516
4.0;0.8589218595144132;0.8172261241113237
3.0;0.8817316398674738;0.8341461521724673
3.0;0.5435368515106944;0.606956235440363
3.5;0.8432740427115678;0.7414572761733016
2.5;0.13580639602334765;0.24356747889496438
3.5;0.7484551991837489;0.6790997501017323
3.5;0.21320071635561041;0.29360574954320695
3.0;0.6187296872704771;0.5880736460708407
4.5;0.7216878364870323;0.3202563076101743
2.5;0.371556422339669;0.44936585546278224
3.5;0.5039878225485646;0.5905233500400457
3.0;0.7205486471514777;0.6914393960225375
2.5;0.5901952478819666;0.6152331283594882
4.0;0.7262315592041586;0.5350138363408529
3.5;0.7833494518006403;0.6358607577265261
3.5;0.5982740397481952;0.4535051781233467
