Human;Flair_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none;Flair_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none;Flair_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none;Flair_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none
4.0;0.8330247553079894;0.8401622716955494;0.8401622716955494;0.8416621873833124
3.0;0.8141045107739776;0.7985445853053957;0.7985445853053957;0.8026037636483426
2.2;0.6927280442275796;0.7476208703498334;0.7476208703498334;0.7216693423675736
3.2;0.8803607737351455;0.9002237881922671;0.9010999865826004;0.8929330631914931
3.2;0.8493211377239943;0.8509809129474846;0.8509809129474846;0.8413668643367719
3.2;0.8068501371379561;0.7747178603578477;0.7747178603578477;0.7846164219174036
1.4;0.5891145617202839;0.6371706186776998;0.6071338148088034;0.6371706186776998
3.0;0.8158562339296902;0.8230262350526892;0.8230262350526892;0.8230262350526892
1.4;0.6493836270005289;0.6806223387800173;0.6806223387800173;0.6710130182408253
3.0;0.8402905474460765;0.8367827720895893;0.8367827720895893;0.8566237503068789
3.0;0.8859925410819175;0.8881726247364577;0.8881726247364577;0.8881726247364577
1.0;0.7209208697774852;0.7083077538466193;0.7083077538466193;0.7083077538466193
3.0;0.684054082140528;0.7451441986805931;0.7451441986805931;0.7451441986805931
2.0;0.7777871352013407;0.7930573294877995;0.7930573294877995;0.7938993189383048
2.4;0.8544491160451797;0.8447608994280001;0.8447608994280001;0.8190372729032018
3.4;0.8047460494912636;0.8199129860763741;0.8199129860763741;0.8046975727355665
3.0;0.8313860179837799;0.8301899866333236;0.8234939628076132;0.8264483014764531
2.0;0.7590325039487638;0.7996506912848895;0.7819834881191456;0.7927352948715393
3.2;0.8394076646008652;0.8502089496463343;0.8437342485992477;0.8404119916547921
2.0;0.783108669866119;0.7624987880497465;0.7422287767275103;0.7615781971784125
3.0;0.8137710522663238;0.780009896981224;0.780009896981224;0.7899763202984306
1.2;0.7421537517176243;0.7478333142391219;0.7478333142391219;0.7394967175024995
3.4;0.8446735500461623;0.8184571180708412;0.8279554773414742;0.8482464345339346
1.8;0.6190425166625231;0.7269978366447184;0.6812228958751262;0.6987767001490102
3.6;0.8176791344594436;0.8165654068601005;0.8165654068601005;0.8181842423239013
2.0;0.7350156555673883;0.7404435002772579;0.7294485617474654;0.7304926277194943
2.4;0.7512955474124171;0.8063404009470989;0.7801717461178422;0.8088883843954009
3.4;0.6950449189893498;0.7092505485409282;0.7073327488682617;0.7092505485409282
3.0;0.8027105280594835;0.799060103958436;0.8016098979633092;0.8188960082947672
4.0;0.6016746203711604;0.6179832594559839;0.5965785118119847;0.59151948105289
4.0;0.8648391868130234;0.8671710742882576;0.8671710742882576;0.8671710742882576
3.4;0.8492380921024038;0.832090402878564;0.832090402878564;0.843862069628178
3.4;0.83805056532747;0.8351131896065243;0.8351131896065243;0.8351131896065243
3.0;0.7041140635163816;0.6772326192866923;0.6772326192866923;0.72985018090022
2.0;0.7633433247447902;0.7599663528029165;0.7599663528029165;0.7599663528029165
3.8;0.9106708823856206;0.9149112277037731;0.9149112277037731;0.9321701818049761
3.4;0.8740321631096475;0.8750004396205814;0.8458715121300175;0.8927996882729314
2.0;0.7756201440433496;0.7797581519330015;0.7797581519330015;0.8110625627278772
4.0;0.788032703865646;0.8238231404960479;0.7763329558387145;0.8465205815239226
3.2;0.8695913560981042;0.866201359796782;0.866201359796782;0.8700410579677021
2.2;0.6550225173320889;0.6629407776036813;0.6409102483457665;0.6662100156906459
3.0;0.7716455908658207;0.7687798290725971;0.7610487146810121;0.7690225904481558
2.0;0.689196625170771;0.7102767946136912;0.7045348911142921;0.742881178763942
0.6;0.8056947110810447;0.8038345020118577;0.8038345020118577;0.7794749858767772
3.2;0.7716039827783009;0.7656503879118159;0.7656503879118159;0.7633157064233185
3.6;0.7942550836157135;0.7902939758788853;0.7902939758788853;0.7902939758788853
1.0;0.8074459128564772;0.8349834997986063;0.829427145433431;0.8107756831002823
1.8;0.8581573519784649;0.8320837579322816;0.8491679325733605;0.8471791066027832
2.8;0.5771570078188492;0.6341814458701648;0.5569179710910589;0.4919154118128173
2.8;0.6314337747501623;0.6526929135776424;0.6173541935470483;0.5226702148346672
1.8;0.8023143862523187;0.7691661758482323;0.7917946889160474;0.6956404732785506
1.8;0.7736915821949779;0.7946855380383187;0.7862199549065702;0.8019739663173059
2.6;0.8735790211895845;0.8637512998406777;0.8637512998406777;0.8770833836703157
1.4;0.7422937256999476;0.7008895693721107;0.7411141549576489;0.7224930775827172
3.0;0.7088460940121404;0.7252102032303588;0.7252102032303588;0.7193811245728271
0.6;0.714560040071744;0.7369376328751489;0.7334456947908773;0.7357795957321271
1.8;0.7320397321316275;0.7399801942887845;0.7399801942887845;0.7428205580385072
