Human;bioconceptvec_fasttext__tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none_Max;bioconceptvec_fasttext__tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none_Max;bioconceptvec_fasttext__tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none_Max;bioconceptvec_fasttext__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Max
4.0;0.9736284197223048;0.9805274971187818;0.9805274971187818;0.9805228105282937
3.0;0.9946508868938806;0.9946597123709664;0.9946597123709664;0.9946278419337258
2.2;0.9890346937731573;0.9900914848375576;0.9900914848375576;0.9900914848375576
3.2;0.9917666247302002;0.9917394932430811;0.9917712622668772;0.991732073587403
3.2;0.9981152143951912;0.9980579112005659;0.9980579112005659;0.9992662023169108
3.2;0.9642610432466593;0.9640436660469465;0.9640436660469465;0.9640441008249283
1.4;0.9650531222884962;0.9657408402769597;0.9655379090265723;0.9657408402769597
3.0;0.9950087051601079;0.9952358943848757;0.9952358943848757;0.9952358943848757
1.4;0.9902377257847038;0.9927890405655024;0.9927890405655024;0.9927890405655024
3.0;0.9259870510683527;0.9260824687548248;0.9260824687548248;0.9260824687548251
3.0;0.9976157292913646;0.9974371454767051;0.9974371454767051;0.9974371454767051
1.0;0.9931939522317855;0.9916408178791319;0.9916408178791319;0.9916408178791319
3.0;0.9730864447947138;0.9730764928174637;0.9730764928174637;0.9730764928174637
2.0;0.9911328373394043;0.9747604455918994;0.9747604455918994;0.9747604455918991
2.4;0.9794414454129508;0.9797407870644109;0.9797407870644109;0.9788500232968871
3.4;0.9593499027677632;0.9593266553145978;0.9593266553145978;0.9593266553145978
3.0;0.9992640597997619;0.9980131269147907;0.9993369172564376;0.9980541068205419
2.0;0.9869893223649002;0.9862794369158766;0.9862794369158766;0.9862794369158767
3.2;0.9941417628577524;0.9927925456661469;0.9931323757789186;0.9900212429204068
2.0;0.9675959637515263;0.9707260103246108;0.9707260103246107;0.9675396588330176
3.0;0.9891300586122745;0.9895178817640528;0.9895178817640528;0.9838717457630494
1.2;0.9947820748434797;0.994538483454603;0.994538483454603;0.9912261802369692
3.4;0.9778652091924268;0.9728964433354343;0.9719956232837649;0.986423865194177
1.8;0.9583113436708482;0.9453105603283698;0.945841173887616;0.9860953815862995
3.6;0.9961831636625432;0.9966370618946682;0.9966370618946682;0.9965759506307661
2.0;0.9800255626831933;0.9819090047276944;0.9818737645214708;0.9810500226094172
2.4;0.9874895971032857;0.9875771736620264;0.9875771736620264;0.986447129822719
3.4;0.9899622951695516;0.9889079094526476;0.9885980059119842;0.9889079094526476
