Human;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Min;bio_embedding_intrinsic__tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none_Min;bio_embedding_intrinsic__tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none_Min;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Min;BioNLP2016_PubMed-shuffle-win-2__tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none_Min;BioNLP2016_PubMed-shuffle-win-2__tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none_Min
4.0;0.9540516807724835;0.9540516807724835;0.9675484678504219;0.9328467158490927;0.9328467158490927;0.9362116223334958
3.0;0.9388085994412171;0.9388085994412171;0.9601475243803013;0.9402006050190665;0.9402006050190665;0.9465320863090906
2.2;0.9417681930551974;0.9417681930551974;0.9396385562820538;0.9399576000456834;0.9399576000456834;0.9399576000456834
3.2;0.9545791869817334;0.9545791869817334;0.9600472458144618;0.95750128433992;0.95750128433992;0.9583356775904889
3.2;0.9752366379972923;0.9752366379972923;0.9729721644367316;0.9353344806984158;0.9353344806984158;0.9384541747007484
3.2;0.9450991717195056;0.9450991717195056;0.9706543067760813;0.9433559230491312;0.9433559230491312;0.9453151048437383
1.4;0.9176581105240131;0.9176581105240131;0.9176581105240131;0.9054169826337484;0.9054169826337484;0.9054169826337484
3.0;0.9438945891884508;0.9438945891884508;0.9438945891884508;0.9372519525524989;0.9372519525524989;0.9372519525524989
1.4;0.9353255389330837;0.9360100450661438;0.9297502278527775;0.9487656373532369;0.9493026840588871;0.9466823322914764
3.0;0.9565587528245368;0.9565587528245368;0.9567685949565234;0.9511236224695682;0.9511236224695682;0.9512160928883716
3.0;0.9520346822327662;0.9520346822327662;0.9520346822327662;0.957720262978102;0.957720262978102;0.957720262978102
1.0;0.8997857015846417;0.8997857015846417;0.8997857015846417;0.8971093104466203;0.8971093104466203;0.8971093104466203
3.0;0.9564469610022266;0.9564469610022266;0.9564469610022266;0.9077411517012058;0.9077411517012058;0.9077411517012058
2.0;0.9431135004622601;0.9431135004622601;0.9341814228981947;0.9427251486986433;0.9427251486986433;0.9447047884184736
2.4;0.9638365848965198;0.9638365848965198;0.9418323001285257;0.9404040003469246;0.9404040003469246;0.9380977505631324
3.4;0.9397415027591727;0.9478606790348815;0.9459771106892586;0.9456846571813544;0.9479939316832414;0.9464011173055638
3.0;0.9497456829673713;0.9497456829673713;0.9505325085735326;0.9481583985438519;0.9481583985438519;0.947113985135625
2.0;0.9188019267155579;0.918912825726875;0.9207168630994729;0.9309009188890429;0.9287508834956802;0.9332580873337736
3.2;0.9575780786076067;0.9575780786076067;0.9599027614327861;0.9418962254982173;0.9418962254982173;0.9462227873392446
2.0;0.9504718067990405;0.9504718067990405;0.9631354112014164;0.9496323489335706;0.9496323489335706;0.9529790221166308
3.0;0.8821502860367079;0.8821502860367079;0.9286634666877848;0.9193900032672855;0.9193900032672855;0.9452210583436784
1.2;0.9067745521010725;0.9067745521010725;0.9153586721517791;0.8917316878317534;0.8917316878317534;0.8999538025340237
3.4;0.9131468023949998;0.9131468023949998;0.9697706615717521;0.9299152322624875;0.9299152322624875;0.9531538780502273
1.8;0.9131122701708109;0.9131122701708109;0.8992812365025972;0.9211830466898314;0.9211830466898314;0.9230702289168664
3.6;0.9105920095387834;0.9105920095387834;0.9500036983193934;0.87374531183608;0.87374531183608;0.9088413193211694
2.0;0.9276498462733077;0.9276498462733077;0.9528150922915246;0.9195726073977877;0.9195726073977877;0.928525731386384
2.4;0.900110292850306;0.8969343028172769;0.9276905588674503;0.9355598816463608;0.9339963368017449;0.9400361345951961
3.4;0.941230797896914;0.941230797896914;0.941230797896914;0.8831853191717478;0.8831853191717478;0.8831853191717478
3.0;0.9586757342051558;0.9586757342051558;0.9608117849682309;0.9407878178842307;0.9407878178842307;0.9550359973219781
4.0;0.9657501223036651;0.9657501223036651;0.9664128979489562;0.920517398514854;0.920517398514854;0.9250670070932326
4.0;0.9800896555073749;0.9800896555073749;0.9800896555073749;0.9305544081866084;0.9305544081866084;0.9305544081866084
3.4;0.9716541605960917;0.9716541605960917;0.9758180167615282;0.9205679065339859;0.9205679065339859;0.933166337878705
3.4;0.9696072582707983;0.9696072582707983;0.9696072582707983;0.9126867896227335;0.9126867896227335;0.9126867896227335
3.0;0.8902535732681097;0.8902535732681097;0.9228130535932535;0.8708698721871685;0.8708698721871685;0.8878708214035856
2.0;0.9211754391384317;0.9211754391384317;0.9211754391384317;0.8795411996533485;0.8795411996533485;0.8795411996533485
3.8;0.9750029081298452;0.9750029081298452;0.9865515457833067;0.9540691552974251;0.9540691552974251;0.9633473880787206
3.4;0.9557065593795429;0.9557065593795429;0.9724217271525387;0.9302209149331789;0.9302209149331789;0.9504336527135999
2.0;0.9244213339274127;0.9244213339274127;0.94580278189452;0.863830220778341;0.863830220778341;0.9154331815448019
4.0;0.9457248027006623;0.9457248027006623;0.9601883096503878;0.9302823157220602;0.9302823157220602;0.9565167631536438
3.2;0.9537470779121018;0.9537470779121018;0.9541425673385828;0.9537267635378363;0.9537267635378363;0.9509730497342567
2.2;0.9007616644140406;0.9007616644140406;0.9210285668482892;0.8772991546166757;0.8772991546166757;0.8945890102998965
3.0;0.930675025874074;0.9621882572426962;0.962452215778598;0.955198497235723;0.9551984972357221;0.9567993497921304
2.0;0.9090836489281727;0.9090836489281727;0.9557693518457804;0.9404925883440745;0.9404925883440745;0.9408165484588096
0.6;0.9218987191388057;0.9218987191388057;0.9389161181909027;0.9468951220711512;0.9468951220711512;0.9441132329074443
3.2;0.943498706032767;0.943498706032767;0.9496333151234294;0.9063505930584105;0.9063505930584105;0.8998609360876496
3.6;0.9569938995564057;0.9569938995564057;0.9569938995564057;0.9402383585793508;0.9402383585793508;0.9402383585793508
1.0;0.8894171222409781;0.8894171222409781;0.9117982480875475;0.9091437191312868;0.9091437191312868;0.9092240727516415
