Human;bioconceptvec_fasttext__tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none_Min;bioconceptvec_fasttext__tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none_Min;bioconceptvec_fasttext__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Min
4.0;0.9364350777065759;0.9364350777065759;0.9542521322382311
3.0;0.9886632353841467;0.9886632353841467;0.9923328272462616
2.2;0.9876434280579192;0.9876434280579192;0.9875508598212593
3.2;0.9871000312748793;0.9871000312748793;0.9887091950236073
3.2;0.9985529152115596;0.9985529152115596;0.9991580653891982
3.2;0.9642168680345667;0.9642168680345667;0.9640506284665843
1.4;0.9496737476836817;0.9496737476836817;0.9507856425579655
3.0;0.9901918856407915;0.989356133655435;0.993438793766291
1.4;0.9823606274128999;0.9823606274128999;0.9898092706006656
3.0;0.7770696399370384;0.7770696399370384;0.8406354987748607
3.0;0.9921507542095742;0.9911958874273378;0.9945912903653307
1.0;0.9938965268076374;0.9938965268076374;0.9901264874846736
3.0;0.9865355434089969;0.9865355434089969;0.9658430054902561
2.0;0.8895138478954772;0.916528026850684;0.9451875871748647
2.4;0.9887994666135608;0.9887994666135608;0.9795471024915349
3.4;0.935847811600872;0.935847811600872;0.9495005146672607
3.0;0.9960504321237814;0.9960504321237814;0.9987037064430555
2.0;0.9631872014498098;0.9631872014498098;0.9742276111212518
3.2;0.9570795803084123;0.9570795803084123;0.9799371777969638
2.0;0.9556420150666914;0.9556420150666914;0.9442575434876072
3.0;0.9810718956045684;0.9810718956045684;0.9811086906623877
1.2;0.9689220095519168;0.9689220095519168;0.982182526628869
3.4;0.985811562839182;0.985811562839182;0.9852551864950313
1.8;0.9884218219599362;0.9884218219599362;0.9773810298631217
3.6;0.9922606798147332;0.9922606798147332;0.9942239253146582
2.0;0.9885644351820223;0.9885644351820223;0.9777541225188386
2.4;0.9812744228816513;0.9812744228816513;0.9746934652812441
3.4;0.990800233112991;0.990800233112991;0.9809554469070028
3.0;0.990251509644283;0.990251509644283;0.9910100995654282
4.0;0.9845702343575237;0.9842883118998874;0.9957667261608479
4.0;0.9879179539664383;0.9879179539664383;0.9930352720388118
3.4;0.9392803388973019;0.9392803388973019;0.9519280384432622
3.4;0.9621136920706598;0.9621136920706598;0.9316095737234171
3.0;0.9537020732606847;0.9537020732606847;0.970735744699593
2.0;0.9333134000072838;0.9333134000072838;0.9800568520934746
3.8;0.9998701658900941;0.9998701442050169;0.994446973997099
3.4;0.9984720669280164;0.9984723545529096;0.9976785980932019
2.0;0.9939165685007588;0.9939165685007588;0.9914583968248425
4.0;0.9867353242148585;0.9867353242148585;0.9924475148726903
3.2;0.9947868611851169;0.9947868611851169;0.9870643905518134
2.2;0.8512132597222163;0.8512132597222163;0.9181442869969256
3.0;0.992175146158456;0.992175146158456;0.9886327950311748
2.0;0.9886160447161028;0.9886160447161028;0.9675712671537262
0.6;0.9890242868180837;0.9890242868180837;0.9810639243943625
3.2;0.929888637387637;0.929888637387637;0.9798493714361923
3.6;0.9931231361333073;0.9931231361333073;0.9970519123536692
1.0;0.9536243586011912;0.9536243586011912;0.9872580151708024
1.8;0.7053496099348663;0.7053496099348663;0.8031650535431678
2.8;0.9898187560615711;0.9898187560615711;0.9918378487804981
2.8;0.988360786772985;0.9885881430457407;0.991402102847692
1.8;0.9489504698380435;0.9489504698380435;0.9734499648922537
1.8;0.930792716910128;0.930792716910128;0.9644146690235905
2.6;0.8551592939147206;0.8551592939147206;0.8847594796216585
1.4;0.9658088932756907;0.9658088932756907;0.9923737402615515
3.0;0.9961132915450402;0.9961132915450402;0.9954583728350642
0.6;0.9728018188419102;0.9728018188419102;0.9817707460501635
1.8;0.8724957304852474;0.8724957304852474;0.8774871659133351
3.0;0.959139315751899;0.959139315751899;0.9957800995043481
3.0;0.974530429952463;0.9746080273834253;0.9811606364960233
3.8;0.9982430348068966;0.9982430348068966;0.9984576166594116
2.4;0.9350239519475786;0.9350239519475786;0.9305471761134309
3.6;0.8994110601853954;0.8994110601853954;0.913820229456804
2.8;0.8795709422035363;0.8795709422035363;0.9241488717543221
3.6;0.9945214564045084;0.993440981214459;0.995828549147661
3.0;0.9928931982043293;0.9928931982043294;0.9947326028966392
0.0;0.9397245544918643;0.9397245544918643;0.9726225023375781
0.0;0.9746369258325063;0.9746369258325063;0.9795577116647065
0.2;0.8709694464652279;0.8709694464652279;0.8932839374692104
0.0;0.9610605013788525;0.9617366173553679;0.9596185695879891
0.2;0.9810847809387075;0.9810847809387075;0.9789359996299825
0.2;0.9345446887707786;0.9345446887707786;0.952639206683618
1.8;0.9497630658344981;0.9497630658344981;0.970290199644024
1.4;0.9531618401549616;0.9529411961713292;0.9614885591316471
1.8;0.9875748911645662;0.9875748911645662;0.9883526203033133
2.0;0.9934129689254171;0.9934129689254171;0.990162171221768
0.0;0.9497145360447504;0.9497145360447504;0.9459619105045384
0.8;0.9181782907575731;0.9181782907575731;0.9302080352220385
2.2;0.985549687183089;0.9853789696523032;0.9652190808142586
1.4;0.9751243699124136;0.9728743918740447;0.9746246592353619
1.8;0.989216671234741;0.989216671234741;0.9898466626155935
3.0;0.9955999113434496;0.9955999113434496;0.996205860822425
1.2;0.9528660988774851;0.948613833995091;0.9734917115487258
0.2;0.9583482452074393;0.9583482452074393;0.9636086314689704
0.2;0.9438433743479332;0.9438433743479332;0.9713287455275487
0.6;0.9855205602128155;0.9855205602128155;0.9872699098145954
0.2;0.9645014018402344;0.9645014018402344;0.9493240514077199
0.2;0.9757001630150459;0.9757001630150459;0.9835285670619305
0.0;0.982923451858447;0.9830227793425215;0.9793958866693274
0.2;0.9213470419432386;0.9213470419432386;0.9434352582095574
0.2;0.9212645091307883;0.9212645091307883;0.9490811973471465
2.0;0.9926603217520892;0.9926603217520892;0.9815522502067754
2.8;0.9617362733506728;0.9617362733506728;0.968085589494985
2.0;0.9803338627167277;0.9803338627167277;0.9605970213440695
4.0;0.9724318014703772;0.9724318014703772;0.990603942440153
3.0;0.9770008353312404;0.9770008353312404;0.9842717940464992
3.2;0.9214278547265425;0.9214278547265425;0.9405522265257679
1.6;0.8777596479725995;0.8777596479725995;0.8881117075623387
2.4;0.9811520300524779;0.9811520300524779;0.9980790165855561
3.2;0.9840550467776619;0.9838802454929285;0.984245725773017
1.8;0.9633326641719021;0.9633326641719021;0.9480769537938665
