Human;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-user_cf-default_ner-none_Max;PubMed-and-PMC-w2v__tok-biocnlptokenizer_lc_sw-user_cf-default_ner-none_Max;PubMed-and-PMC-w2v__tok-stanfordcorenlpv4_2_0_lc_sw-user_cf-default_ner-none_Max
4.0;0.9344272300493098;0.9344272300493098;0.9420150726073121
3.0;0.9258844174826119;0.9258844174826119;0.933592306894686
2.2;0.9108300989790937;0.9108300989790937;0.9122475222012367
3.2;0.9509176717711358;0.9509176717711358;0.9515679863587327
3.2;0.9472708914783752;0.9472708914783752;0.9456446818280635
3.2;0.9395891077685068;0.9395891077685068;0.9391568158629168
1.4;0.83164436865008;0.83164436865008;0.83164436865008
3.0;0.9305055335023934;0.9305055335023934;0.9305055335023934
1.4;0.9115596207900349;0.918344011225979;0.9042309930025756
3.0;0.945958997406969;0.945958997406969;0.9459589974069689
3.0;0.9385813149589108;0.9385813149589108;0.9385813149589108
1.0;0.9030567288249824;0.9030567288249824;0.9030567288249824
3.0;0.9098517840978614;0.9098517840978614;0.9098517840978614
2.0;0.8933430733195592;0.8933430733195592;0.8940758015018376
2.4;0.9557454007359528;0.9557454007359528;0.9313840256359516
3.4;0.9253465542066494;0.9328235087082115;0.9212030332165096
3.0;0.9186560715591918;0.9186560715591918;0.9224384157589947
2.0;0.8708236130067056;0.8783020052587652;0.8760989070033703
3.2;0.9141379294115459;0.9141379294115459;0.9349761836990464
2.0;0.9423845092596688;0.9423845092596688;0.9539748908776499
3.0;0.8814121983609687;0.8814121983609687;0.9407632919559068
1.2;0.8888880091916377;0.8888880091916377;0.8896410181497413
3.4;0.9080390443486034;0.9080390443486034;0.9559821109994291
1.8;0.9090677870417306;0.9090677870417306;0.9204949475739124
3.6;0.8689987895278385;0.8689987895278385;0.9077471964428364
2.0;0.8694703570924945;0.8694703570924945;0.9131239916030203
2.4;0.8922300144796272;0.8649943663550945;0.8967905988332631
3.4;0.8808382878960247;0.8808382878960247;0.8808382878960247
3.0;0.9462748480081771;0.9462748480081771;0.9380269944120625
4.0;0.8964600197172542;0.8964600197172542;0.9017790049792234
4.0;0.9461988973838255;0.9461988973838255;0.9461988973838255
3.4;0.9132006990504596;0.9132006990504596;0.929128398555255
3.4;0.9217870032579081;0.9217870032579081;0.9217870032579081
3.0;0.8369826718791745;0.8369826718791745;0.8805217718713404
2.0;0.8571450529996009;0.8571450529996009;0.8571450529996009
3.8;0.9227044964763231;0.9227044964763231;0.9621324718983769
3.4;0.8832794053077363;0.8832794053077363;0.943417697133627
2.0;0.8360307916781482;0.8360307916781482;0.9030106106751099
4.0;0.8991521243038022;0.8991521243038022;0.924077457099443
3.2;0.934853123731214;0.934853123731214;0.9349717612733858
2.2;0.8475023877854252;0.8475023877854252;0.8715229319382465
3.0;0.9393402517392447;0.9393402517392457;0.942626043086592
2.0;0.9059378507683287;0.9059378507683287;0.9354060124888709
0.6;0.8518734960846476;0.8518734960846476;0.8650180386946912
