Human;USE_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none;USE_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none;USE_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none;USE_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none
4.0;0.4800247596809939;0.48002477124830856;0.48002475860847693;0.45178579267247826
3.0;0.44551403592027783;0.4455140548158579;0.4455140302577365;0.5754257204365463
2.2;0.4837732988283034;0.48377329883934644;0.4837733222648177;0.48066807507618603
3.2;0.7157474073101995;0.7157473886035262;0.715747432148227;0.7133703389613503
3.2;0.5370252662541859;0.5370252341465038;0.5370252420978229;0.5843598638115001
3.2;0.5210646189205412;0.5210646198311025;0.521064612669077;0.5308887720722795
1.4;0.30157629841194716;0.3015763144164109;0.30157633433452513;0.3015763040260901
3.0;0.3763518402572261;0.37635186041547347;0.37635182647789184;0.376351815957608
1.4;0.43664186382166287;0.43664188074557453;0.4366419212838806;0.4297739647956981
3.0;0.4917604172971659;0.49176039665578813;0.4917604187877885;0.5433661193603332
3.0;0.5429378410532084;0.542937776859663;0.5429377837118103;0.5429377984582061
1.0;0.16998887897980355;0.16998887993189782;0.16998886974607008;0.16998888017950167
3.0;0.302563458925281;0.3025634645667979;0.3025634604188241;0.3025634613626166
2.0;0.3800969711723546;0.38009696985170327;0.38009696714148805;0.42142893055403335
2.4;0.5535267262992997;0.5535267366730096;0.553526743277311;0.5284709433726973
3.4;0.4031423933975718;0.4031423931519675;0.403142366242686;0.3985167506068292
3.0;0.5720348853703461;0.5720349030301632;0.5720349102206529;0.5369488704661666
2.0;0.2270268947650198;0.22702690204987983;0.22702686154538243;0.21289529974589963
3.2;0.6838106428466125;0.6838106330805667;0.6838106368082173;0.634133128182203
2.0;0.684192854468595;0.6841928240662394;0.6841928428807593;0.6843587205951149
3.0;0.5089027037290795;0.5089027040575851;0.5089027017000028;0.5582869974199732
1.2;0.18837369624495792;0.18837370024062644;0.18837369500962672;0.20895562427593892
3.4;0.4881572172723346;0.48815722516040766;0.4881572150358156;0.6165950727352995
1.8;0.4070495865988163;0.4070495808672448;0.4070495865982407;0.37457447051702425
3.6;0.35197727312653143;0.35197724607645564;0.3519772677523821;0.553019896741403
2.0;0.23058023673069453;0.23058021294405168;0.2305802212741721;0.5132021313272283
2.4;0.3661588979286701;0.3661588760314145;0.3661588788536806;0.412243953774965
3.4;0.1901464541197207;0.19014642569956294;0.19014642379908198;0.190146420624035
3.0;0.3909958980689791;0.39099589934206996;0.3909959214862437;0.5023015647764353
4.0;0.20320130718567558;0.20320129410014073;0.2032012984472777;0.20185287549782063
4.0;0.5286317914114819;0.5286317832626478;0.5286317792225775;0.528631791422539
3.4;0.5211980439005884;0.5211980552861344;0.5211980353164908;0.5454917069948824
3.4;0.27951075060094555;0.2795107613081559;0.2795107299021414;0.2795107564180833
3.0;0.07960971310558095;0.07960969755695743;0.07960970608682158;0.013355729368645024
2.0;0.3433588362423984;0.34335882280288454;0.34335883003295076;0.34335883113881566
3.8;0.5525869629342607;0.5525869514821645;0.5525869285690524;0.7048885471173736
3.4;0.5088843345444688;0.5088843212071681;0.508884339124835;0.5517584280770663
2.0;0.12431418577293689;0.12431416993286255;0.12431415146330793;0.3360788710155063
4.0;0.42398220308951584;0.42398222991167783;0.423982238811884;0.5926305987991276
3.2;0.6426156933199275;0.6426156747072197;0.6426156692796243;0.6199690779369341
2.2;0.20424456054260295;0.20424458416820526;0.2042445706035188;0.24483046097631841
3.0;0.5927115273797879;0.5927115177205315;0.5927115298609137;0.5985448387921544
2.0;0.348032794629865;0.3480327904540466;0.34803275531033667;0.33292106866919086
0.6;0.478597195396507;0.4785972049190949;0.4785972009281694;0.45090970711986633
3.2;0.5221106511120736;0.5221106588925067;0.5221106733183185;0.46844260511775143
3.6;0.43042666800587975;0.4304266766303267;0.4304266656123031;0.43042667499058623
1.0;0.2608741801409341;0.260874149795144;0.260874154242324;0.382394091540199
1.8;0.46615783729268284;0.4661578751780728;0.4661578338903737;0.5279895483645332
2.8;0.35926582855869227;0.35926582766943793;0.359265825496692;0.13425849763043948
2.8;0.34210605081217865;0.3421060102737198;0.3421060182351478;0.1625752821560645
