Human;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Min;bio_embedding_intrinsic__tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none_Min;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Min;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none_Min
3.5;0.9957660316440361;0.981645872595895;0.9893249572076278;0.9892609246462374
2.5;0.9622723752575288;0.9531481088790353;0.9577691086338942;0.9596773756270539
3.45;0.9667411687272822;0.9593451620302027;0.976209193699358;0.9814615264457146
4.0;0.9851496917604358;0.9850840676096068;0.9930588575286027;0.9933860313813951
3.0;0.9571819128675467;0.9629273135217659;0.957878859365305;0.952949449318793
2.0;0.9360048871515002;0.931033888774572;0.9622456182894804;0.9654935151185378
2.5;0.9649096082948462;0.9644357700406092;0.9826001619578942;0.9830041710188001
3.0;0.933667613292326;0.9372920649669324;0.9428036658519745;0.9601762859081178
0.0;0.8866792133915977;0.8697387501212636;0.900913185086731;0.884418922289962
2.5;0.926314562786529;0.8978611306454122;0.9527801980700424;0.9511514944768263
3.0;0.9639641872113598;0.9686109692869307;0.9920216211241635;0.9870718171830224
0.5;0.8963447945156306;0.8963447945156295;0.9074474052791776;0.913330031666267
3.0;0.964299632607601;0.9624924931313781;0.9783950545221288;0.9762262002218592
4.1;0.9660024505704039;0.9649530502111855;0.9895224174304058;0.9905705441997305
3.5;0.9739250247907167;0.9681338639022276;0.967606766848965;0.9520731349414563
4.0;0.9968723769131254;0.9970587765972677;0.9966589579428446;0.996620926515391
2.5;0.9766533685145821;0.941456139108232;0.969526015737223;0.9779304069015661
4.0;0.9965508509322403;0.9968538104987279;0.9961186821708757;0.9970623256375348
4.0;0.9712975609958611;0.9392220905958604;0.9799369736426891;0.9745119495539377
4.1;0.9756442939517801;0.9718115320132623;0.982470839392421;0.9809714260879023
4.0;0.987962251189586;0.9858038421069442;0.9875078066713875;0.9794729882701456
3.0;0.9585500624966877;0.9673592997957633;0.9808701109873912;0.9810028136735881
4.0;0.9753368825551998;0.9822648275400636;0.9885094109217307;0.975549802229625
3.0;0.9712964779401375;0.9601202145809657;0.9763910051999479;0.9781787810485411
4.5;0.99336954907178;0.9932978495868202;0.9961406384779581;0.996359006224326
3.5;0.9678835274690247;0.9618046827999316;0.9660168464183185;0.9666954951522005
3.5;0.8882733791000609;0.8857371279605415;0.9112975047896633;0.9064150129264876
3.0;0.9716482050707776;0.975575271274246;0.975338903162194;0.9733210209325782
3.5;0.97936354803447;0.9754504438521084;0.9932987818391712;0.989859967027259
4.0;0.9982307448924252;0.99851891132369;0.9984757715345145;0.9848578527039773
4.0;0.9961620651341762;0.9921273334063031;0.9957775967885287;0.9970447209408245
4.0;0.9996111565015139;0.9991669127484203;0.9975797574215932;0.9975907519529541
3.0;0.9706194404024694;0.9831193551596986;0.9643346039919872;0.9767747742100656
2.5;0.9587033654379469;0.9538834157143559;0.9758891233241099;0.9742268977314537
