Human;bioconceptvec_fasttext__tok-whitespace_lc_sw-user_cf-default_ner-none_Min;bioconceptvec_fasttext__tok-biocnlptokenizer_lc_sw-user_cf-default_ner-none_Min;bioconceptvec_fasttext__tok-stanfordcorenlpv4_2_0_lc_sw-user_cf-default_ner-none_Min
3.5;1.0;1.0;0.9999880078812928
2.5;0.9984720013722409;0.9984720013722409;0.9984720013722409
3.45;0.9890375512471717;0.9890375512471717;0.9890375512471717
4.0;0.9992556854253958;0.9992556854253958;0.9992561620468755
3.0;0.9946370270481907;0.9946370270481907;0.9911000664270685
2.0;0.9906299701321235;0.9906299701321235;0.9906299701321235
2.5;0.9990910558098755;0.9990910558098755;0.9991032865442708
3.0;0.9797230682127118;0.9797230682127118;0.9797230682127118
0.0;0.982560342400636;0.982560342400636;0.982560342400636
2.5;0.9870808775191718;0.9870808775191718;0.9870808775191718
3.0;0.9926082673685909;0.9926082673685909;0.9926082673685909
0.5;0.9762674921734112;0.9533206779705744;0.9533206779705744
3.0;0.9932267693774509;0.9932267693774509;0.9932267693774506
4.1;0.9999765413176889;0.9999765413176889;0.9999765413176889
3.5;0.9718565232101164;0.9718565232101164;0.9718565232101164
4.0;0.999871546049803;0.999871546049803;0.999871546049803
2.5;0.9968044355782443;1.0000000000000002;0.9970888104540824
4.0;0.999951451156062;0.999951451156062;0.9998866883748031
4.0;0.9990360092054998;0.9990360092054998;0.9989760518048905
4.1;0.9927245808699692;0.9927245808699692;0.9927245808699692
4.0;0.9943755988321169;0.9943755988321169;0.9943755988321169
3.0;0.9967779598932859;0.9967779598932859;0.9967189076260419
4.0;0.987357200560556;0.987357200560556;0.987357200560556
3.0;0.9903698036660913;0.9903698036660913;0.9903698036660913
4.5;0.9999999188913874;0.9856815583524825;0.9856815583524825
3.5;0.9842510322758072;0.9995412752714693;0.9995412752714693
3.5;0.9928665469018727;0.9928665469018727;0.9928665469018727
3.0;0.9988801357339323;0.9988801357339323;0.9988835413810138
3.5;0.9990605751941226;0.9990605751941226;0.9990605751941226
4.0;1.0000000000000002;1.0000000000000002;0.9999999999999997
4.0;0.9999421331511881;0.9999421331511881;0.9998771632382676
4.0;1.0000000000000004;1.0000000000000004;1.0000000000000004
3.0;0.9975100470738667;0.9975100470738667;0.9975531152048358
2.5;0.9956981822314486;0.9956981822314486;0.9956981822314486
2.5;0.9965374739584805;0.9965374739584805;0.9965374739584805
3.0;0.9858371754470843;0.9858371754470843;0.9858371754470843
0.0;0.959725551766298;0.959725551766298;0.959725551766298
4.25;0.9930478700962333;0.9930478700962333;0.9930478700962333
3.0;0.9864533473432101;0.9864533473432101;0.9864533473432101
3.0;0.9944894716597595;0.9944894716597595;0.9844770168624029
4.0;0.9967435691711747;0.9967435691711747;0.9967435691711747
0.0;0.9909833954823185;0.9500344673069717;0.9500444670772824
3.5;0.9912603276863893;0.9912603276863893;0.9912603276863893
1.0;0.98598285652881;0.98598285652881;0.98598285652881
0.0;0.9952052044296905;0.9952052044296905;0.9952052044296905
1.5;0.9978900047378964;0.9978900047378964;0.9978900047378964
3.6;0.9791756875327386;0.9791756875327386;0.9791756875327386
3.0;0.9998706685168263;0.9999076337794003;0.9999076337794003
3.0;0.9993322939544629;0.9998415505553319;0.9998703332949218
5.0;0.9973879206316493;0.9973879206316493;0.9975105373056462
3.5;0.9882259065036294;0.9882259065036294;0.9882259065036294
0.0;0.9843685510815047;0.9692491913247931;0.9692491913247931
4.0;0.9954439546278843;0.9978670051088132;0.9979065268494015
4.5;0.999931553123989;0.999931553123989;0.999931553123989
3.0;0.9972226016928943;0.9972226016928943;0.9972226016928943
3.5;0.9970099849349873;0.9970099849349873;0.9970099849349873
4.0;0.9999784129984758;0.9999784129984758;0.9999784129984758
3.0;0.9923920412070323;0.9923920412070323;0.9923920412070323
3.0;0.9713163032762702;0.9713163032762702;0.9713163032762702
3.5;0.9773950148582572;0.9773950148582572;0.9994577419466142
2.5;0.9721909571606271;0.9721909571606271;0.9721909571606271
3.5;0.9940349220653845;0.9940349220653845;0.9940349220653845
3.5;0.9885590540959794;0.9587997956064479;0.9587997956064487
3.0;0.9891803147869751;0.9891803147869751;0.989189361667877
