Human;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none_Sum;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none_Sum;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none_Sum;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Sum
3.5;0.9582132045263168;0.9702875129297185;0.9640278507234089;0.9808142412116557
2.5;0.8771325030957517;0.9154913138488455;0.9154913138488455;0.9154913138488455
3.45;0.9090493787274363;0.913274314891005;0.913274314891005;0.913274314891005
4.0;0.9646714059999982;0.9659511081850511;0.9613532196015394;0.9659511081850511
3.0;0.8185179080312734;0.8625556945916317;0.8625556945916317;0.864727362815024
2.0;0.7602473025924055;0.7519069670595553;0.7519069670595553;0.7519069670595553
2.5;0.9595427786168088;0.9553543339574121;0.9523734919779793;0.9553543339574121
3.0;0.797171273842548;0.8300386999072068;0.8300386999072068;0.8300386999072068
0.0;0.7143868858385585;0.7024967580669448;0.7024967580669448;0.7024967580669448
2.5;0.7722955811838089;0.7451257686148827;0.7451257686148827;0.7451257686148827
3.0;0.9622773712170445;0.9742956703427395;0.9742956703427395;0.9742956703427395
0.5;0.7569762337420324;0.7709301705515204;0.7709301705515204;0.7867967441785542
3.0;0.9269519737692046;0.9226471887016954;0.9217797178588967;0.9226471887016954
4.1;0.9388459430318342;0.9651299922576868;0.9651299922576868;0.9651299922576868
3.5;0.8889178667900114;0.9352595065235834;0.9352595065235834;0.9352595065235834
4.0;0.9785353733263462;0.9893481573371283;0.9893481573371283;0.9893481573371283
2.5;0.9083053082443383;0.9126049247788901;0.9126049247788901;0.9126049247788901
4.0;0.9857793203742088;0.9878424070038468;0.9878424070038468;0.9894267757716392
4.0;0.9686192258438947;0.973259067203132;0.973259067203132;0.9739649018050359
4.1;0.941678800400489;0.9568573834753221;0.9568573834753221;0.9568573834753221
4.0;0.9627467958479414;0.940068813807205;0.940068813807205;0.940068813807205
3.0;0.9524496292160358;0.9661829201939938;0.9661829201939938;0.9690302842918855
4.0;0.9570546061487184;0.966755528032262;0.966755528032262;0.966755528032262
3.0;0.9557078262587894;0.9091284187755614;0.9091284187755614;0.9091284187755614
4.5;0.9825675852764565;0.9885568518769782;0.987948953848518;0.9898108014850433
3.5;0.9078620183162865;0.9159884783369976;0.9159884783369976;0.9123685563131633
