Human;UBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-user_cf-default_ner-metamaplite;UBSM_AncSPLRada_tok-whitespace_lc_sw-user_cf-default_ner-metamaplite;UBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-user_cf-default_ner-metamaplite;UBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-user_cf-default_ner-metamaplite;UBSM_JiangConrath_tok-whitespace_lc_sw-user_cf-default_ner-metamaplite
4.0;0.6240377207533828;0.6240377207533828;0.6240377207533828;0.6240377207533828;0.6240377207533828
3.0;0.36823854451725446;0.2732295333235123;0.3407206676672965;0.37689469236411033;0.36823854451725446
2.2;0.3375345496609734;0.2502172968684897;0.31408841282773187;0.34718947305269565;0.3375345496609734
3.2;0.4587523160071081;0.3127716210856122;0.43288020785986625;0.47298953885964007;0.4587523160071081
3.2;0.43441833312059996;0.5059194570070566;0.3944287131966291;0.5225138306081782;0.5144381772553681
3.2;0.4689600541276581;0.3774256780481986;0.43589684243666516;0.4900171187184663;0.4689600541276581
1.4;0.2843364171204943;0.26861245977802745;0.2149167462514108;0.3739960136976997;0.3417454218145086
3.0;0.37754563229978705;0.33922676577637917;0.31216045847297785;0.4721293549998956;0.45611545787449825
1.4;0.32776347859640703;0.34699444370576327;0.28120799276224634;0.39620249986205447;0.38469809593330256
3.0;0.4083059308671605;0.2932942300427066;0.3693709763927256;0.43018828765840483;0.413943316272517
3.0;0.5032454487035781;0.43994134506405996;0.48122937503338364;0.5240925009010043;0.5204251886066521
1.0;0.2862880320960104;0.12379689211803459;0.24418500060080622;0.3039088847879019;0.2862880320960104
3.0;0.2238900329090379;0.21081851067789195;0.2128678324249018;0.25075776247256787;0.22389003290903794
2.0;0.35291125176399957;0.3086066999241838;0.32212751169124276;0.4129120202587679;0.35291125176399957
2.4;0.3847115243739951;0.35856858280031806;0.36612545904760596;0.4072045946162713;0.3847115243739951
3.4;0.4776808497521126;0.43915503282683993;0.4619824617651676;0.502201791861774;0.5001605919269353
3.0;0.5250845359997725;0.5252257314388903;0.4967197748491621;0.5554628766106686;0.5482281823656199
2.0;0.44956835253245014;0.4073828473484438;0.3742697607868852;0.5263361340658577;0.5012150965480238
3.2;0.5889374517016792;0.5492350363810896;0.5512573847410857;0.6698338798803225;0.6677664096867681
2.0;0.6494534188871833;0.5717726540660446;0.6019459074150043;0.7034512898588791;0.7028958478710211
3.0;0.37925132734234906;0.43691765737759475;0.35422761859752333;0.45151444798039914;0.4496749167332314
1.2;0.13834289277321493;0.13834289277321493;0.13834289277321493;0.13834289277321493;0.13834289277321493
3.4;0.4257204609336708;0.3880712182748949;0.3879785824180026;0.46709737789103994;0.45581820579292776
1.8;0.24695477536285568;0.1931080406738859;0.20685858325727585;0.3097326711045073;0.29935482015665316
3.6;0.5332479971341465;0.47387910220727386;0.4958854060791217;0.6010999822028316;0.5873575844320168
2.0;0.37574017925139397;0.4458110463751092;0.3132052171174114;0.528199671546263;0.5123924265166169
2.4;0.45369098796654367;0.4866070995624795;0.38843153216449416;0.5619330907070345;0.5440951447409638
3.4;0.1781741612749496;0.1781741612749496;0.1781741612749496;0.1781741612749496;0.1781741612749496
3.0;0.5582982147160191;0.513016177604616;0.47747818098547734;0.6643034801523098;0.6513351300328931
4.0;0.21825496798759844;0.27363522730774703;0.1848979016482091;0.335989123237345;0.30051885300741504
4.0;0.4087756187183186;0.372677996249965;0.38525049583991483;0.43271453902812723;0.4087756187183185
3.4;0.5686691270390656;0.59336610396393;0.5289904173717654;0.6384874703224342;0.6312537692148461
3.4;0.5827927282393058;0.5012804118276031;0.5346893511457623;0.6492687486290516;0.6300401285222703
3.0;0.07715167498104597;0.07715167498104597;0.07715167498104597;0.07715167498104597;0.07715167498104597
2.0;0.44308212662737706;0.30618621784789724;0.3914509426379976;0.4637929897620041;0.44308212662737706
3.8;0.5975743844794995;0.5613413993878117;0.5803625012245369;0.6179569181756779;0.614472538526764
3.4;0.41334571823321176;0.3278050340535929;0.3859361102797881;0.44064351339732843;0.43396443868436146
2.0;0.22675767295749266;0.19999999999999998;0.2137647446748602;0.2340744889945784;0.2267576729574926
4.0;0.30170970155271726;0.3442651863295481;0.2703283003125412;0.4348095467766254;0.41533295689984784
3.2;0.4869403976335979;0.5003702332976756;0.4820569377501058;0.5300668334607137;0.519069587027519
2.2;0.2507027614401967;0.1517165212272521;0.20234213460415884;0.27979446015589704;0.2507027614401967
3.0;0.3343757383275108;0.29512162610277887;0.3161346563200195;0.3437982087942489;0.3343757383275108
2.0;0.2982633785666821;0.3487022962422418;0.26141991315542557;0.3742974181917085;0.37355150874354537
0.6;0.3314043428213408;0.3056574897416988;0.297131087037311;0.3562123827442933;0.34879630378774307
3.2;0.35299920001447477;0.29346959282671103;0.3252745823292754;0.38369268189256817;0.35299920001447477
3.6;0.5601976230283755;0.42714364638469876;0.5369055791404019;0.5716965853599117;0.5601976230283755
1.0;0.26870407458432993;0.3960994705912339;0.2382492023821279;0.40250385326299987;0.39949079595884257
1.8;0.4695419046417069;0.5317310719858204;0.4112309211451743;0.5781931789319632;0.5689633173273151
2.8;0.2049999263354606;0.25969378162569423;0.1586532542785119;0.303791215332841;0.28938483713074425
2.8;0.2221715471706179;0.12309149097933272;0.16211462249700365;0.2906957729637225;0.25342880778222027
1.8;0.3217157010774654;0.2231518495721684;0.3043190501788633;0.3260374075055967;0.3217157010774654
1.8;0.2659464910055686;0.21650635094610968;0.23680394595475227;0.3147184368059749;0.29267055585282026
2.6;0.6247521100316978;0.3214121732666125;0.5417735222228633;0.6851101419388732;0.6432204228747213
1.4;0.1709994085246972;0.22941573387056174;0.13627542556704803;0.3121028966808994;0.26496487453233825
3.0;0.43491618757125083;0.26906911759852503;0.3909746927697584;0.4747936440169967;0.43491618757125083
0.6;0.31185141501989977;0.40203836867451936;0.24645730200644964;0.45369953424797826;0.43894280945160713
1.8;0.33470972330223137;0.2858309752375147;0.3192712012893381;0.3464834529105081;0.33470972330223137
3.0;0.4848729175063456;0.5282769358788623;0.45065260175981786;0.5478527736949677;0.5394691236584586
3.0;0.2919334216887841;0.31893394358711225;0.26305923052663843;0.3636889815433862;0.35236374112486474
3.8;0.4230993679999455;0.4885539187304195;0.36434468133038966;0.5370848679359014;0.5214077174824396
2.4;0.41149853526763336;0.52438893551019;0.31441806858178734;0.6377602959663924;0.616680736664892
3.6;0.4368571071286706;0.38081142451410566;0.39859148180094855;0.4769318387012849;0.4625801944989057
2.8;0.3194216755645998;0.27975144247209416;0.30688193506420763;0.32914200597420573;0.3194216755645998
3.6;0.408318655245531;0.31427639332477764;0.3491553095047984;0.47839650236542935;0.45796835158420196
3.0;0.5453899589619119;0.514402372042525;0.5106383850806456;0.5944490259206221;0.5904910570594227
0.0;0.3751923349002476;0.43886935526510773;0.28451930359465527;0.5019645004644975;0.48992460666438636
0.0;0.12864463374109142;0.28124141732403407;0.09407818022243773;0.2837740757704943;0.25556034021740576
0.2;0.26411952287305995;0.2913582733740325;0.21006990946531293;0.37386335898013734;0.36059527270894726
0.0;0.3505039437981334;0.17056057308448833;0.3082627456850216;0.3700189874969332;0.3505039437981334
0.2;0.07028382999509097;0.047836487323493986;0.05153049757004554;0.12299887521715286;0.07028382999509097
