Human;USE_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none;USE_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none;USE_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none
3.5;0.8867292850967761;0.8867292998713852;0.897199036574551
2.5;0.8496368389017339;0.8496368487758699;0.8195480530375425
3.45;0.754170374058469;0.7541703744098238;0.7624761597602028
4.0;0.8987920252972679;0.8987920191697516;0.8956354785266989
3.0;0.46564406687271853;0.4656440695268681;0.42447062561752524
2.0;0.5504657448324034;0.5504657338717815;0.5295782437631429
2.5;0.7594329629384909;0.7594329706740781;0.7630997647705695
3.0;0.7923455738006111;0.7923455558911009;0.7883446700018166
0.0;-0.03573547173807737;-0.035735472409207485;-0.028837838431616667
2.5;0.5088605962687025;0.50886059583296;0.5420783511105245
3.0;0.8267007526157523;0.8267007792847206;0.8516945420701846
0.5;0.21071237047492386;0.2107123716136806;0.32259280680163127
3.0;0.6415265420268563;0.6415265507653553;0.6540424338301758
4.1;0.8528107550808091;0.8528107539238606;0.8341400898742379
3.5;0.8691173272914465;0.8691173297087428;0.7590463825204449
4.0;0.9369084911962683;0.9369084922228902;0.9401156113621931
2.5;0.6357753475606923;0.6357753445809583;0.6506108422548387
4.0;0.9382557992758618;0.9382558009968321;0.952351866177267
4.0;0.9057395718767272;0.9057395743987158;0.89959053186593
4.1;0.7533393308772051;0.7533393379921086;0.7491245267866213
4.0;0.8457990551910533;0.8457990554271967;0.8072205614469312
3.0;0.8521120903720979;0.8521120848513821;0.836589578309682
4.0;0.791285783076671;0.79128577908075;0.7638668043962525
3.0;0.8820759284798576;0.8820759167310601;0.8687199186336788
4.5;0.9564232410914701;0.9564232489811813;0.9630898409992158
3.5;0.877106790901359;0.8771067899547625;0.8862734841034535
3.5;0.2761584969172524;0.27615849618799737;0.30563974652355275
3.0;0.870465620797633;0.8704656270185057;0.8815016905613506
3.5;0.9519389920019956;0.9519389876871798;0.9406250197352416
4.0;0.9861397628893374;0.986139766092937;0.9853185270077159
4.0;0.9804761198397112;0.9804761253387178;0.9814646074777466
4.0;0.9384604895959885;0.9384605008755976;0.9243522058834761
3.0;0.7537242091521045;0.7537242043097863;0.7952845839990975
2.5;0.849845717792435;0.8498457139699837;0.8524565466381467
2.5;0.5286205658779117;0.5150917303247587;0.5449932109716124
3.0;0.8263080282592231;0.826308035346121;0.8120148419637021
0.0;0.026355461035675952;0.026355449732222126;0.1064292051032866
