Human;Jaccard_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none;Jaccard_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none;Jaccard_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none;Jaccard_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;BlockDistance_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none;BlockDistance_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none;BlockDistance_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none;BlockDistance_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;Levenshtein_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none;Levenshtein_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none;Levenshtein_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none;Levenshtein_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;OverlapCoefficient_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none;OverlapCoefficient_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none;OverlapCoefficient_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none;OverlapCoefficient_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;Qgram_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none;Qgram_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none;Qgram_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none;Qgram_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;LiMixed_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none;LiMixed_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none;LiMixed_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none;LiMixed_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none
4.0;0.34782608695652173;0.34782608695652173;0.34782608695652173;0.34782608695652173;0.5161290168762207;0.5161290168762207;0.5161290168762207;0.5161290168762207;0.5454545454545454;0.5514018691588785;0.5514018691588785;0.5596330275229358;0.6153846153846154;0.6153846153846154;0.6153846153846154;0.6153846153846154;0.5104166666666667;0.5133689839572193;0.5133689839572193;0.5263157894736843;0.4281548369168046;0.4281548369168046;0.4281548369168046;0.4281548369168046
3.0;0.13114754098360656;0.15517241379310345;0.15517241379310345;0.15517241379310345;0.20512819290161133;0.25641024112701416;0.25641024112701416;0.25641024112701416;0.24;0.24137931034482762;0.24137931034482762;0.2425373134328358;0.25806451612903225;0.2903225806451613;0.2903225806451613;0.2903225806451613;0.3586744639376218;0.3625254582484725;0.3625254582484725;0.3705179282868526;0.2276544138379858;0.245815081008454;0.245815081008454;0.245815081008454
2.2;0.11363636363636363;0.13953488372093023;0.13953488372093023;0.13953488372093023;0.18518519401550293;0.2222222089767456;0.2222222089767456;0.2222222089767456;0.22285714285714286;0.2325581395348837;0.2325581395348837;0.22988505747126442;0.21739130434782608;0.2608695652173913;0.2608695652173913;0.2608695652173913;0.24858757062146897;0.25360230547550433;0.25360230547550433;0.25214899713467054;0.15778815475787777;0.17823467526061604;0.17823467526061604;0.17823467526061604
3.2;0.15789473684210525;0.2037037037037037;0.2037037037037037;0.18181818181818182;0.2535211443901062;0.30985915660858154;0.30985915660858154;0.2816901206970215;0.33432835820895523;0.3353846153846154;0.33738601823708203;0.33231707317073167;0.375;0.4583333333333333;0.4583333333333333;0.4166666666666667;0.4347826086956522;0.44357976653696496;0.4461538461538461;0.4362934362934363;0.3050019950569117;0.3385989137708696;0.3385989137708696;0.3226594959442861
3.2;0.24242424242424243;0.24242424242424243;0.24242424242424243;0.24242424242424243;0.3404255509376526;0.3404255509376526;0.3404255509376526;0.3404255509376526;0.3184357541899442;0.31818181818181823;0.31818181818181823;0.3146067415730337;0.4;0.4;0.4;0.4;0.3910614525139665;0.3920454545454546;0.3920454545454546;0.3876404494382022;0.3716505923065341;0.3716505923065341;0.3716505923065341;0.3716505923065341
3.2;0.18181818181818182;0.18604651162790697;0.18604651162790697;0.18604651162790697;0.2950819730758667;0.2950819730758667;0.2950819730758667;0.2950819730758667;0.295774647887324;0.2966507177033493;0.2966507177033493;0.2985781990521327;0.3076923076923077;0.32;0.32;0.32;0.32754342431761785;0.33249370277078083;0.33249370277078083;0.3408521303258145;0.23492724620378935;0.23797400046818273;0.23797400046818273;0.23797400046818273
1.4;0.05;0.07692307692307693;0.05;0.07692307692307693;0.08333331346511841;0.125;0.08333331346511841;0.125;0.23783783783783785;0.2554347826086957;0.24456521739130432;0.2554347826086957;0.125;0.1875;0.125;0.1875;0.13953488372093026;0.15540540540540537;0.13422818791946312;0.15540540540540537;0.08236236513105785;0.10687688202333086;0.08236236513105785;0.10687688202333086
3.0;0.09090909090909091;0.125;0.125;0.125;0.162162184715271;0.21621620655059814;0.21621620655059814;0.21621620655059814;0.3121387283236994;0.31176470588235294;0.31176470588235294;0.31176470588235294;0.21428571428571427;0.2857142857142857;0.2857142857142857;0.2857142857142857;0.3054545454545454;0.30996309963099633;0.30996309963099633;0.30996309963099633;0.20085504085188483;0.22934518496679432;0.22934518496679432;0.22934518496679432
1.4;0.12;0.12;0.12;0.12;0.19672131538391113;0.19672131538391113;0.19672131538391113;0.19672131538391113;0.24545454545454548;0.244131455399061;0.244131455399061;0.24766355140186913;0.24;0.24;0.24;0.24;0.18483412322274884;0.19323671497584538;0.19323671497584538;0.19759036144578312;0.15538222599679613;0.15538222599679613;0.15538222599679613;0.15538222599679613
3.0;0.13043478260869565;0.13043478260869565;0.13043478260869565;0.13043478260869565;0.2539682388305664;0.2539682388305664;0.2539682388305664;0.2539682388305664;0.29454545454545455;0.2977941176470589;0.2977941176470589;0.2941176470588235;0.3;0.3;0.3;0.3;0.2815533980582524;0.2800982800982801;0.2800982800982801;0.2892156862745098;0.17263946389396376;0.17263946389396376;0.17263946389396376;0.17263946389396376
