Human;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none_Average;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none_Average;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Average
4.0;0.6723498466754965;0.6723498466754965;0.8298225650592453
3.0;0.7304150856958843;0.7304150856958843;0.8231953540237181
2.2;0.7374734753544878;0.7374734753544878;0.8261088493234772
3.2;0.8524623401897117;0.8541684679697545;0.8900400593580348
3.2;0.850666150318891;0.850666150318891;0.851959678289663
3.2;0.7998198294106713;0.7998198294106713;0.8728954709721409
1.4;0.44828723250906605;0.44828723250906605;0.5597558231974646
3.0;0.8807396195132067;0.8762446645440507;0.8979802940529729
1.4;0.6850318682382216;0.6850318682382216;0.7104455892930501
3.0;0.7810767579268181;0.7810767579268181;0.8715946984328845
3.0;0.8247067989610176;0.8364233651619875;0.8917866639908039
1.0;0.610700504292758;0.610700504292758;0.7133410308667936
3.0;0.6850764253503514;0.6850764253503514;0.7067520092541202
2.0;0.7693830629378683;0.7485464388759376;0.829559763937069
2.4;0.8598628022005839;0.8598628022005839;0.83782174124302
3.4;0.8218856933277106;0.8218856933277106;0.8786816813106633
3.0;0.8340517863804147;0.8340517863804147;0.8832032186864646
2.0;0.6754759347101907;0.6754759347101907;0.7606358680364298
3.2;0.8337483222292164;0.8337483222292164;0.8685228907652803
2.0;0.8556679569461549;0.8556679569461549;0.8210935438308745
3.0;0.7056069105812076;0.7056069105812076;0.772890513968466
1.2;0.6621601571615124;0.6621601571615124;0.7806687747762608
3.4;0.7310098027210403;0.7310098027210403;0.7809123687001408
1.8;0.8030199587781914;0.8030199587781914;0.8064902862431698
3.6;0.5524666740907004;0.5524666740907004;0.7508670423135634
2.0;0.6540604598909564;0.6540604598909564;0.7293817018346367
2.4;0.6027062371961918;0.6027062371961918;0.812392685813427
3.4;0.6888869964019221;0.6888869964019221;0.7484411363110945
3.0;0.6796468382244808;0.6796468382244808;0.7348284416009127
4.0;0.7086122895353586;0.7194575374345037;0.7346305431276128
4.0;0.81937358685808;0.81937358685808;0.8475064614295745
