Human;Jaccard_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none;Jaccard_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none;Jaccard_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;BlockDistance_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none;BlockDistance_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none;BlockDistance_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;Levenshtein_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none;Levenshtein_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none;Levenshtein_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;OverlapCoefficient_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none;OverlapCoefficient_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none;OverlapCoefficient_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;Qgram_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none;Qgram_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none;Qgram_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;LiMixed_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none;LiMixed_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none;LiMixed_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none
4.0;0.2;0.2;0.34782608695652173;0.3333333134651184;0.3333333134651184;0.5161290168762207;0.4819277108433735;0.4819277108433735;0.5596330275229358;0.42857142857142855;0.42857142857142855;0.6153846153846154;0.3857142857142857;0.3857142857142857;0.5263157894736843;0.3376075214220161;0.3376075214220161;0.4281548369168046
3.0;0.10810810810810811;0.10810810810810811;0.15517241379310345;0.2222222089767456;0.2222222089767456;0.25641024112701416;0.28019323671497587;0.28019323671497587;0.2425373134328358;0.2222222222222222;0.2222222222222222;0.2903225806451613;0.353887399463807;0.353887399463807;0.3705179282868526;0.2094057419249709;0.2094057419249709;0.245815081008454
2.2;0.06060606060606061;0.06060606060606061;0.13953488372093023;0.1111111044883728;0.1111111044883728;0.2222222089767456;0.23129251700680276;0.23129251700680276;0.22988505747126442;0.11764705882352941;0.11764705882352941;0.2608695652173913;0.20350877192982453;0.20350877192982453;0.25214899713467054;0.11272174729168935;0.11272174729168935;0.17823467526061604
3.2;0.17073170731707318;0.16666666666666666;0.18181818181818182;0.2857142686843872;0.2799999713897705;0.2816901206970215;0.3394833948339483;0.3345454545454546;0.33231707317073167;0.3888888888888889;0.3888888888888889;0.4166666666666667;0.44803695150115475;0.45308924485125857;0.4362934362934363;0.31388133669762885;0.3114321325120072;0.3226594959442861
3.2;0.23076923076923078;0.23076923076923078;0.24242424242424243;0.3529411554336548;0.3529411554336548;0.3404255509376526;0.3184713375796179;0.3184713375796179;0.3146067415730337;0.4;0.4;0.4;0.405144694533762;0.405144694533762;0.3876404494382022;0.3643378650423722;0.3643378650423722;0.3716505923065341
3.2;0.0967741935483871;0.0967741935483871;0.18604651162790697;0.162162184715271;0.162162184715271;0.2950819730758667;0.2831325301204819;0.2831325301204819;0.2985781990521327;0.17647058823529413;0.17647058823529413;0.32;0.3102310231023102;0.3102310231023102;0.3408521303258145;0.16931638647528258;0.16931638647528258;0.23797400046818273
1.4;0.03571428571428571;0.03571428571428571;0.07692307692307693;0.06666666269302368;0.06666666269302368;0.125;0.2556390977443609;0.2556390977443609;0.2554347826086957;0.08333333333333333;0.08333333333333333;0.1875;0.10480349344978168;0.10480349344978168;0.15540540540540537;0.06834033344721209;0.06834033344721209;0.10687688202333086
3.0;0.13043478260869565;0.125;0.125;0.23076921701431274;0.2222222089767456;0.21621620655059814;0.3092105263157895;0.3092105263157895;0.31176470588235294;0.3333333333333333;0.3;0.2857142857142857;0.3706896551724138;0.35593220338983056;0.30996309963099633;0.23665242102532286;0.2304293568342619;0.22934518496679432
1.4;0.05405405405405406;0.05405405405405406;0.12;0.0952380895614624;0.0952380895614624;0.19672131538391113;0.2806122448979592;0.2806122448979592;0.24766355140186913;0.10526315789473684;0.10526315789473684;0.24;0.17714285714285716;0.17714285714285716;0.19759036144578312;0.0989179623849889;0.0989179623849889;0.15538222599679613
3.0;0.058823529411764705;0.058823529411764705;0.13043478260869565;0.10810810327529907;0.10810810327529907;0.2539682388305664;0.27884615384615385;0.27884615384615385;0.2941176470588235;0.14285714285714285;0.14285714285714285;0.3;0.19871794871794868;0.19871794871794868;0.2892156862745098;0.11103433986746851;0.11103433986746851;0.17263946389396376
3.0;0.12903225806451613;0.125;0.23809523809523808;0.2222222089767456;0.21621620655059814;0.32786887884140015;0.375;0.36057692307692313;0.3308823529411765;0.3076923076923077;0.2857142857142857;0.5;0.3761194029850746;0.37168141592920356;0.3820754716981132;0.22937358368618932;0.22507168094801075;0.3087534582488965
1.0;0.0;0.0;0.05405405405405406;0.0;0.0;0.09090906381607056;0.19767441860465118;0.19767441860465118;0.19354838709677424;0.0;0.0;0.2;0.09282700421940926;0.09282700421940926;0.13013698630136983;0.0;0.0;0.058722021951470346
3.0;0.18181818181818182;0.18181818181818182;0.11764705882352941;0.307692289352417;0.307692289352417;0.19999998807907104;0.3661971830985915;0.3661971830985915;0.2987012987012987;0.3333333333333333;0.3333333333333333;0.2222222222222222;0.2857142857142857;0.2857142857142857;0.23529411764705888;0.30814949463830044;0.30814949463830044;0.25925540001515446
2.0;0.16666666666666666;0.16666666666666666;0.20454545454545456;0.2777777910232544;0.2777777910232544;0.35087716579437256;0.2767295597484277;0.2967741935483871;0.2857142857142857;0.3333333333333333;0.3333333333333333;0.375;0.35789473684210527;0.3629893238434164;0.37119113573407203;0.28322646280903363;0.28322646280903363;0.30946095531688045
2.4;0.21052631578947367;0.21052631578947367;0.21428571428571427;0.3333333134651184;0.3333333134651184;0.34285712242126465;0.3481481481481481;0.3481481481481481;0.30625;0.4444444444444444;0.4444444444444444;0.42857142857142855;0.4057971014492754;0.4057971014492754;0.38247011952191234;0.34484081800750876;0.34484081800750876;0.3459509481327182
3.4;0.17391304347826086;0.17391304347826086;0.25806451612903225;0.29629629850387573;0.29629629850387573;0.4390243887901306;0.4206349206349206;0.4206349206349206;0.3921568627450981;0.3333333333333333;0.3333333333333333;0.42105263157894735;0.43220338983050843;0.43220338983050843;0.4593639575971732;0.2972193477519238;0.2972193477519238;0.35334381966896866
3.0;0.1724137931034483;0.1724137931034483;0.25;0.2777777910232544;0.2777777910232544;0.38596493005752563;0.21232876712328763;0.21232876712328763;0.2282608695652174;0.3125;0.3125;0.45454545454545453;0.32413793103448274;0.32413793103448274;0.3571428571428571;0.2862028082588246;0.2862028082588246;0.34034463651797225
2.0;0.03571428571428571;0.03571428571428571;0.13513513513513514;0.06666666269302368;0.06666666269302368;0.25531917810440063;0.26119402985074625;0.26119402985074625;0.22560975609756095;0.08333333333333333;0.08333333333333333;0.2777777777777778;0.14634146341463417;0.14634146341463417;0.2295081967213115;0.06834033344721209;0.06834033344721209;0.1536146374276839
3.2;0.22727272727272727;0.22727272727272727;0.3;0.3999999761581421;0.3999999761581421;0.4651162624359131;0.35416666666666663;0.35416666666666663;0.33532934131736525;0.4166666666666667;0.4166666666666667;0.47368421052631576;0.44194756554307113;0.44194756554307113;0.47770700636942676;0.38633898620405355;0.38633898620405355;0.4308451172982307
2.0;0.12121212121212122;0.12121212121212122;0.1951219512195122;0.2222222089767456;0.2222222089767456;0.3103448152542114;0.27862595419847325;0.27862595419847325;0.29929577464788737;0.3333333333333333;0.3333333333333333;0.42105263157894735;0.2805194805194805;0.2805194805194805;0.32018561484918795;0.22658115832629797;0.22658115832629797;0.278652667805051
3.0;0.1111111111111111;0.1111111111111111;0.14814814814814814;0.19999998807907104;0.19999998807907104;0.22857141494750977;0.2912621359223301;0.2912621359223301;0.28358208955223885;0.2857142857142857;0.2857142857142857;0.3333333333333333;0.3493975903614458;0.3493975903614458;0.32258064516129037;0.20482847771172735;0.20482847771172735;0.2324532297460399
1.2;0.0;0.0;0.07142857142857142;0.0;0.0;0.11764705181121826;0.2543859649122807;0.2543859649122807;0.23376623376623373;0.0;0.0;0.18181818181818182;0.11299435028248583;0.11299435028248583;0.1228070175438597;0.0;0.0;0.06917144638660747
