Human;UBSM_WBSM_AncSPLRada_tok-stanfordcorenlpv4_2_0_lc_sw-nltk2018stopwords_cf-default_ner-none_WBSM_AncSPLRada_tok-stanfordcorenlpv4_2_0_lc_sw-nltk2018stopwords_cf-default_ner-metamapsnomedct
3.5;0.894427190999916
2.5;0.6052275326688025
3.45;0.6570385696040635
4.0;0.8468808205072327
3.0;0.30317563095211203
2.0;0.3872983346207417
2.5;0.6173003754084541
3.0;0.5604485383178051
0.0;0.0
2.5;0.4767312946227962
3.0;0.8581163303210331
0.5;0.11322770341445959
3.0;0.5479983714787483
4.1;0.8153742483272114
3.5;0.8528028654224417
4.0;0.907980370925765
2.5;0.5734146386569556
4.0;0.917463421851129
4.0;0.7409585736349483
4.1;0.769800358919501
4.0;0.8888888888888888
3.0;0.7468160448149386
4.0;0.8008686935415708
3.0;0.7627700713964739
4.5;0.9400907168057824
3.5;0.8249579113843053
3.5;0.25819888974716115
3.0;0.7858252779857413
3.5;0.884651736929383
4.0;0.9668009539030813
4.0;0.9335638713962128
4.0;0.9682458365518541
3.0;0.5571404176322229
2.5;0.6928203230275508
2.5;0.3265986323710904
3.0;0.6666666666666666
0.0;0.0
4.25;0.7216878364870323
3.0;0.558156305651438
3.0;0.6708203932499369
4.0;0.7035264706814485
0.0;0.04081632653061224
3.5;0.7049682532652077
1.0;0.19999999999999996
0.0;0.11830537086448129
1.5;0.4999999999999999
3.6;0.5853694070049636
3.0;0.7080750220895895
3.0;0.7814492505940702
5.0;0.8999999999999998
3.5;0.5720775535473553
0.0;0.09622504486493763
4.0;0.6445033866354896
4.5;0.9534625892455924
3.0;0.6929348671835833
3.5;0.8190283593479223
4.0;0.8635958728206355
3.0;0.8864052604279183
3.0;0.575191181900052
3.5;0.8432740427115678
2.5;0.19446111706564934
3.5;0.7484551991837489
3.5;0.2279211529192759
3.0;0.5892556509887896
4.5;0.7216878364870323
2.5;0.36514837167011077
3.5;0.5393598899705936
3.0;0.7474093186836597
2.5;0.5940885257860046
4.0;0.7262315592041586
3.5;0.7833494518006403
3.5;0.5982740397481952
3.0;0.6960541283793513
2.5;0.8104432008587533
4.0;0.7627700713964739
3.5;0.3779644730092272
2.5;0.5590169943749475
2.5;0.6929348671835833
5.0;0.8888888888888888
4.25;0.7645789361963371
2.5;0.5000000000000001
2.95;0.6666666666666667
3.0;0.8309977876685029
3.45;0.8496793685588861
2.5;0.6676978608895885
0.5;0.22164266329370397
4.5;0.4082482904638631
2.0;0.45556749552198406
2.0;0.3760231782781158
3.5;0.9701425001453319
3.5;0.7745966692414834
4.0;0.8888888888888888
3.5;0.7694625275398607
4.0;0.859790995624959
2.5;0.15384615384615385
3.0;0.6892949009965517
3.0;0.38177085778546666
3.0;0.40824829046386296
1.0;0.23555405691278436
2.0;0.7272727272727273
2.0;0.1178511301977579
4.5;0.9090909090909091
4.0;NaN
3.0;0.9354143466934853
3.0;0.8725357316304772
4.15;0.7500000000000001
2.5;0.48349377841522817
3.5;0.6013377943029549
4.0;0.2357022603955158
5.0;0.9534625892455924
4.8;0.8885233166386385
0.0;0.0
4.6;0.9187860934697013
3.0;0.6227991553292184
2.7;0.4213504858001923
3.6;0.8651809126974003
3.75;0.7977240352174656
3.65;0.5773502691896258
0.0;0.28705957783729696
3.0;0.37499999999999994
4.75;0.8877140294230466
3.6;0.9011271137791659
3.5;0.778498944161523
2.75;0.4058538516854008
5.0;0.9128709291752769
4.0;0.5
3.0;0.8451542547285166
3.5;0.6689936080056726
3.35;0.5773502691896258
3.2;0.7667491644334268
3.6;0.7096039531930731
3.75;0.8888888888888888
4.0;0.8593378488473195
3.75;0.7706746355884523
3.5;0.7416198487095663
3.5;0.8728715609439696
4.25;0.8696565534786725
0.0;0.17576438857986798
3.5;0.7833494518006403
2.75;0.38138503569823695
5.0;0.8083413925669869
3.75;0.8333333333333335
