Human;bioconceptvec_fasttext__tok-whitespace_lc_sw-user_cf-default_ner-none_Max;bioconceptvec_fasttext__tok-whitespace_notlc_sw-user_cf-default_ner-none_Max
4.0;0.9805228105282937;0.9549197058220543
3.0;0.9946278419337258;0.9946278419337258
2.2;0.9900914848375576;0.9911661160388127
3.2;0.991732073587403;0.9925220943497718
3.2;0.9992662023169108;0.9988359255067855
3.2;0.9640441008249283;0.9672440052629787
1.4;0.9657408402769597;0.9741866411970057
3.0;0.9952358943848757;0.9952126502264051
1.4;0.9927890405655024;0.9878957811368159
3.0;0.9260824687548251;0.9260824687548247
3.0;0.9974371454767051;0.9974371454767053
1.0;0.9916408178791319;0.9916408433192399
3.0;0.9730764928174637;0.9726987346955066
2.0;0.9747604455918991;0.996887957182095
2.4;0.9788500232968871;0.9813027899930828
3.4;0.9593266553145978;0.9947518523238615
3.0;0.9980541068205419;0.9986027369183107
2.0;0.9862794369158767;0.9954640364795047
3.2;0.9900212429204068;0.9947498624996308
2.0;0.9675396588330176;0.9538597301910221
3.0;0.9838717457630494;0.9845110565463912
1.2;0.9912261802369692;0.9824811343739772
3.4;0.986423865194177;0.9865137461351223
1.8;0.9860953815862995;0.9984146492347765
3.6;0.9965759506307661;0.9965765749098123
2.0;0.9810500226094172;0.9806948628432154
2.4;0.986447129822719;0.9857222929368904
3.4;0.9889079094526476;0.9935184926967988
3.0;0.9958849782569524;0.995715660934849
4.0;0.9946690365341259;0.9926203194929614
4.0;0.9927253808937995;0.9930361663340483
3.4;0.9658345922687679;0.9483825728877331
3.4;0.9534816116247256;0.9910688669784937
3.0;0.9801382986329933;0.9821770753825974
2.0;0.9903583414888798;0.9916138088860047
3.8;0.9979469094990929;0.9977562911125216
3.4;0.9980625562300696;0.9980938129191622
2.0;0.993526303221974;0.9932533172990329
4.0;0.9965089446028192;0.9998997785693533
3.2;0.9836281856514298;0.9809984511967191
2.2;0.9644586314873537;0.9844778197218661
3.0;0.9908690153173197;0.9950830483054053
2.0;0.96806428626482;0.9683234679916439
0.6;0.9846557902746056;0.9850876892624384
3.2;0.9879607927649218;0.9883653724751992
3.6;0.9964504629768303;0.9958582378343459
1.0;0.9924844534171139;0.9956548602291951
1.8;0.854475930975896;0.8258660979941346
2.8;0.9922973663054835;0.9920233023990234
2.8;0.9962296349245293;0.9966140632423247
1.8;0.9934039908280033;0.9966017184433043
1.8;0.9797313268804126;0.9807728945435191
2.6;0.9379051778698927;0.9814712800727385
1.4;0.9844138711159475;0.9966731865383566
3.0;0.9983169310343958;0.9938650581527255
0.6;0.9873758771844133;0.9728445335841079
1.8;0.9730974746614887;0.9957787222338885
3.0;0.9957146870134332;0.9986938203196023
3.0;0.9937600232131045;0.9899535765227813
3.8;0.99874388254101;0.9943780263430593
2.4;0.9640237498570811;0.9772904346797916
3.6;0.9762565213895241;0.9914793722723532
2.8;0.9822104292888622;0.9923064632820955
3.6;0.9978508166171246;0.9977446981326755
3.0;0.9930027974995775;0.997056839460864
0.0;0.9875577041071629;0.9942617383755307
0.0;0.9917998958945831;0.9922670873563875
0.2;0.9389849497422044;0.9389849497422041
0.0;0.978192058220535;0.993676863130632
0.2;0.9862771260766726;0.9910606788508527
0.2;0.9912448240944464;0.9928011003386921
1.8;0.9602404719890659;0.9680859846574585
1.4;0.9655214143745202;0.987738393556293
1.8;0.9848783331348079;0.9934321015005427
2.0;0.9929133143248461;0.9958068542256353
0.0;0.9811487715982268;0.9852498322856618
0.8;0.9509481242616903;0.9508685789666896
2.2;0.9707821107550999;0.9869969797106791
1.4;0.9764911503076492;0.9782742168503465
1.8;0.9891691993622559;0.9891512660326995
3.0;0.9982541262336545;0.9993702179883509
1.2;0.9955050673695333;0.997288136919877
0.2;0.9778488236135817;0.9888198925171251
0.2;0.9849965438409187;0.9896185691298021
0.6;0.9937842474752578;0.9969740749436442
0.2;0.9751506526550883;0.9835702699362896
0.2;0.986659779641005;0.9865755790652051
0.0;0.985830289561534;0.9898867747636362
0.2;0.9875326283133437;0.9918270928281547
0.2;0.9888773453965957;0.9944964381556657
2.0;0.973071103885649;0.9731236884754706
2.8;0.9725247635684843;0.9805328365259065
2.0;0.9705441778128845;0.9595744747971764
4.0;0.9956778446286437;0.9953145105937234
3.0;0.9897132083571666;0.9892786851637757
3.2;0.9657144673785728;0.9317999886325465
1.6;0.9735976538816526;0.9951397381190837
2.4;0.9993532152574014;0.9990495384324073
3.2;0.9890017763861807;0.9986692146353353
1.8;0.9809722906258315;0.9875908096830013
