Human;USE_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;USE_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none;USE_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none
3.5;0.8971990355753591;0.8971990368593437;0.8971990345149119
2.5;0.8195480351218356;0.8195480338593264;0.8195480413324568
3.45;0.7624761402122807;0.7624761489106795;0.7624761481507154
4.0;0.8956354886822084;0.8956354876565845;0.8956354898187349
3.0;0.4244706286309877;0.42447063411146835;0.42447061683881454
2.0;0.529578238355345;0.5295782568761193;0.5295782523669352
2.5;0.7630997705707111;0.763099770558703;0.7630997501581391
3.0;0.7883446654731299;0.7883446747423866;0.7883446737532942
0.0;-0.02883784912200933;-0.028837844299124546;-0.02883783673914896
2.5;0.5420783566700471;0.5420783509819239;0.5420783558956345
3.0;0.8516945360720121;0.8516945422500475;0.8516945425621393
0.5;0.3225927825677209;0.3225927685187158;0.3225927832024494
3.0;0.6540424191876704;0.6540424100113795;0.654042399077353
4.1;0.8341400737562977;0.8341400805049787;0.8341400678179307
3.5;0.7590463744480132;0.7590463957557901;0.7590463820451663
4.0;0.9401156124673485;0.9401156136287934;0.9401156132067164
2.5;0.6506108462434642;0.9673173504689822;0.6506108592676123
4.0;0.9523518738709175;0.9523518645224407;0.9523518720181182
4.0;0.8995905476827506;0.899590539916466;0.8995905435136997
4.1;0.7491244826041924;0.7491245045807484;0.7491244903146256
4.0;0.807220554457821;0.8072205555056847;0.8072205660486108
3.0;0.8365895753288183;0.8365895854617595;0.8365895762044757
4.0;0.763866809405256;0.7638668183474022;0.7638668191209579
3.0;0.8687199181729903;0.8687199174744973;0.8687199160426975
4.5;0.9630898181466322;0.9630898254870881;0.9630898373881339
3.5;0.8862734783361563;0.8862734805163072;0.8862734798147572
3.5;0.30563974219871104;0.305639745741944;0.30563972872255607
3.0;0.881501676493439;0.8815016675189695;0.8815016924641749
3.5;0.9406250074375585;0.940625023670205;0.9406250069603772
