Human;UBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-ctakes;UBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-ctakes;UBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLRada_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-ctakes;UBSM_AncSPLRada_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-ctakes;UBSM_AncSPLRada_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-ctakes;UBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-ctakes;UBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-ctakes;UBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-ctakes;UBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_JiangConrath_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-ctakes;UBSM_JiangConrath_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-ctakes;UBSM_JiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes
3.5;0.8193280756558031;0.8193280756558031;0.8512568729806494;0.7826237921249264;0.7826237921249264;0.8215838362577491;0.8008817240777664;0.8008817240777664;0.8364259205036834;0.83037015130496;0.83037015130496;0.8600152893790315;0.8193280756558031;0.8193280756558031;0.8512568729806494
2.5;0.7270778079861215;0.7270778079861215;0.6945385053356156;0.6454972243679028;0.6454972243679028;0.6227523687795278;0.6875959021749455;0.6875959021749455;0.6597269650039154;0.7511183990440935;0.7511183990440935;0.71581505944733;0.7786596919124447;0.7786596919124447;0.7411328244972558
3.45;0.6887921122680337;0.6887921122680337;0.6619825354793264;0.5720775535473553;0.5720775535473553;0.5728918992315464;0.6836298831331035;0.6836298831331035;0.6578422833006351;0.6890746932917635;0.6890746932917635;0.6622110014164161;0.6887921122680337;0.6887921122680337;0.6619825354793264
4.0;0.8923204738711425;0.8923204738711425;0.8911418017623701;0.8537057803025783;0.8537057803025783;0.8600732686214939;0.8823228877876574;0.8823228877876574;0.8830656143408875;0.9002405359135496;0.9002405359135496;0.8975924304089206;0.8997720352997661;0.8997720352997661;0.8972142445641591
3.0;0.2773500981126146;0.2773500981126146;0.3464101615137754;0.2773500981126146;0.2773500981126146;0.3464101615137754;0.2773500981126146;0.2773500981126146;0.3464101615137754;0.2773500981126146;0.2773500981126146;0.3464101615137754;0.2773500981126146;0.2773500981126146;0.3464101615137754
2.0;0.5652111457519291;0.5652111457519291;0.5800521967027824;0.3450327796711771;0.3450327796711771;0.42857142857142855;0.4948370411173396;0.4948370411173396;0.5308888440776693;0.6121615596812758;0.6121615596812758;0.6134111565877911;0.6008714926586622;0.6008714926586622;0.6054161500486398
2.5;0.6927694509432791;0.6927694509432791;0.7516152442614803;0.5939138709164986;0.5939138709164986;0.6774581282657174;0.6543565980973681;0.6543565980973681;0.7229958906801058;0.7167913260829999;0.7167913260829999;0.7693455805775434;0.7342207594286236;0.7342207594286236;0.7815939467538902
3.0;0.7851499376104009;0.7851499376104009;0.7526511357478985;0.5270462766947299;0.5270462766947299;0.502518907629606;0.7507802332623443;0.7507802332623443;0.7190566426597441;0.7990863233115975;0.7990863233115975;0.7661452420359502;0.822823577703091;0.822823577703091;0.7903013885939969
0.0;0.22434297184563312;0.22434297184563312;0.36991792446584393;0.09802861627917436;0.09802861627917436;0.29971166621518747;0.20291055449138393;0.20291055449138393;0.35819859558175154;0.2280923656834776;0.2280923656834776;0.37196863986452205;0.22434297184563312;0.22434297184563312;0.36991792446584393
2.5;0.8373005761345268;0.8373005761345268;0.8512255360606443;0.5270462766947299;0.5270462766947299;0.5720775535473553;0.7571648484289192;0.7571648484289192;0.7790038189082376;0.886417293433741;0.886417293433741;0.8955243359728928;0.8718321652330039;0.8718321652330039;0.8822450463574514
