Human;FlairA;FlairB;Flair
4.0;0.8401647517776363;0.8330261943797869;0.8401647517776363
3.0;0.7985456032626436;0.8141038922264245;0.7985456032626436
2.2;0.7476180962110681;0.692728849637497;0.7476180962110681
3.2;0.9011019286142472;0.8803615665742252;0.9002249103943986
3.2;0.8509817137080895;0.8493198919539526;0.8509817137080895
3.2;0.7747148247842085;0.806848513296479;0.7747148247842085
1.4;0.607126745947;0.589110483710705;0.637164649675285
3.0;0.8230289063643892;0.8158602739224119;0.8230289063643892
1.4;0.6806225763966407;0.6493778952165238;0.6806225763966407
3.0;0.8367799251869266;0.8402877927955308;0.8367799251869266
3.0;0.8881699990103051;0.8859897727711137;0.8881699990103051
1.0;0.7083031135313413;0.7209159559184415;0.7083031135313413
3.0;0.7451442440146;0.6840463001480985;0.7451442440146
2.0;0.7930633928813854;0.7777893434249323;0.7930633928813854
2.4;0.8447569820879371;0.8544374885368232;0.8447569820879371
3.4;0.8199058445713133;0.8047389515696931;0.8199058445713133
3.0;0.8234935086199225;0.8313895167924885;0.8301876705622664
2.0;0.7819950826827325;0.759039400100964;0.7996587008479499
3.2;0.8437337903929221;0.8394037315204022;0.8502065176730174
2.0;0.742231101601123;0.7831154506092055;0.7624979320741306
3.0;0.7800103608437636;0.8137696832159983;0.7800103608437636
1.2;0.7478320487723535;0.742152227167578;0.7478320487723535
3.4;0.8279547494136282;0.8446741950587792;0.8184552792215335
1.8;0.6812184375092663;0.6190397889710266;0.7269949258207675
3.6;0.8165652690299904;0.8176767861474756;0.8165652690299904
2.0;0.7294495811549888;0.7350143217907117;0.7404479018107137
2.4;0.7801713949882945;0.7512907661130219;0.8063404204114506
3.4;0.7073372654157845;0.6950498443306872;0.7092551926268837
3.0;0.8016172423062802;0.8027172171402145;0.7990680436986326
4.0;0.5965878837474375;0.6016840951790645;0.6179911794261508
4.0;0.867172963179983;0.8648435606480743;0.867172963179983
3.4;0.8320911530642618;0.8492377028690657;0.8320911530642618
3.4;0.8351160739289971;0.8380518810033702;0.8351160739289971
3.0;0.6772300554579488;0.7041116517819008;0.6772300554579488
2.0;0.7599616541001998;0.7633391033168982;0.7599616541001998
3.8;0.9149099016720017;0.9106698143991159;0.9149099016720017
3.4;0.8458709557959635;0.8740339035444703;0.8749960820823647
2.0;0.7797639262954137;0.7756259133930713;0.7797639262954137
4.0;0.7763320533489289;0.7880312194236927;0.8238213117524689
3.2;0.8662043308108083;0.869593401406479;0.8662043308108083
2.2;0.6409126673116449;0.655022800959943;0.6629485041299438
3.0;0.7610547815915311;0.7716449149140491;0.7687882071803124
2.0;0.7045372719234273;0.6892022832402042;0.7102819751637842
0.6;0.8038310536384274;0.8056888678741481;0.8038310536384274
3.2;0.7656449700976793;0.7716003335988546;0.7656449700976793
3.6;0.7902982150311952;0.7942579491535796;0.7902982150311952
1.0;0.8294205763692655;0.8074336457474198;0.834983795858608
1.8;0.8491699347826182;0.8581577027208245;0.8320844585924219
2.8;0.5569162846886627;0.5771605430676806;0.6341808095709374
2.8;0.6173522519177209;0.6314316839473999;0.652688907128977
1.8;0.7917957534705563;0.8023164641086115;0.7691701685825839
1.8;0.7862153639997276;0.773687918896908;0.794681037507525
2.6;0.8637599803822952;0.8735864802544437;0.8637599803822952
1.4;0.7411171766546066;0.7422937364067341;0.700892427672436
3.0;0.7252144215244862;0.7088509975176723;0.7252144215244862
0.6;0.7334565007955209;0.7145684853001416;0.7369495483636546
1.8;0.7399799697507419;0.7320388939597129;0.7399799697507419
3.0;0.7970754061291828;0.750410617252808;0.7970754061291828
3.0;0.8282303394651779;0.8293981442751102;0.8282303394651779
3.8;0.8712410914901554;0.8953865018048621;0.8712410914901554
2.4;0.8250550142434073;0.8439104788731694;0.8250550142434073
3.6;0.8596508293380403;0.8657906814900712;0.8596508293380403
2.8;0.8035099178708484;0.8126201915212259;0.8120911007540563
3.6;0.822272776021486;0.8305434988390344;0.822272776021486
3.0;0.8700441711016984;0.8512586038678763;0.8700441711016984
0.0;0.5924748695352754;0.5855172763215996;0.6170195647472352
0.0;0.6422295578081872;0.636143746706687;0.6422295578081872
0.2;0.56832152212651;0.5506855482025503;0.56832152212651
0.0;0.6436599877604128;0.6194477126654366;0.6436599877604128
0.2;0.6620246689370536;0.6403123609203349;0.6620246689370536
0.2;0.7623138383316498;0.7578587826452802;0.7634881082298209
1.8;0.6177329027953523;0.6130017923559257;0.6177329027953523
1.4;0.6314041206110829;0.5903234311261735;0.6314041206110829
1.8;0.6704508776699515;0.6811166462476838;0.6704508776699515
2.0;0.7793786166917973;0.7438489068012525;0.7793786166917973
0.0;0.6864622291353975;0.6658218280862951;0.6864622291353975
0.8;0.8615683439853028;0.8427286183339613;0.8615683439853028
2.2;0.7404996500247335;0.7700571416235015;0.7404996500247335
1.4;0.7063581222705003;0.6274092223865211;0.7063581222705003
1.8;0.7347386541556098;0.7480099215394973;0.7347386541556098
3.0;0.8911376298939694;0.8195327211498667;0.8911376298939694
1.2;0.802857300404762;0.8368601989940423;0.8473622828502699
0.2;0.6207981779625806;0.616157461390431;0.6310503672439799
0.2;0.6417531507401748;0.6573980847870868;0.6874954864145436
0.6;0.6325134252261061;0.6109140493060374;0.6325134252261061
0.2;0.7095841889272303;0.6823286656922958;0.7095841889272303
0.2;0.7091709845533669;0.6869566037533299;0.7091709845533669
0.0;0.603306102484181;0.603280842049014;0.603306102484181
0.2;0.6459056970922368;0.6411317979324385;0.6459056970922368
0.2;0.729306085915086;0.7025794223195823;0.729306085915086
2.0;0.7025327382745196;0.7162832557325612;0.7025327382745196
2.8;0.8235507614924809;0.8153965570345825;0.8235507614924809
2.0;0.6432413576646996;0.6397945417867262;0.6658865902545011
4.0;0.8649201158923011;0.8831103754991795;0.8649201158923011
3.0;0.7989900290310055;0.7762656472573769;0.7989900290310055
3.2;0.7231554216472836;0.7031293558609842;0.7231554216472836
1.6;0.8380988253095581;0.8294991535923525;0.8380988253095581
2.4;0.7887709255064153;0.7129523023477382;0.7887709255064153
3.2;0.8241994983222904;0.8294743221212065;0.8241994983222904
1.8;0.6779654426646514;0.717389419367429;0.6779654426646514
