Human;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none_Max;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none_Max;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none_Max;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Max;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none_Max;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none_Max;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none_Max;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Max
3.5;0.9647755187387844;0.9850605404841961;0.9784167786719385;0.9970854368267583;0.9937879758917506;0.9927021679441025;0.9925134130686258;0.9927784306960749
2.5;0.9603246177432573;0.96558690925904;0.96558690925904;0.96558690925904;0.9519894773085311;0.974446788235157;0.974446788235157;0.974446788235157
3.45;0.9929394528503305;0.9754040933320202;0.9754040933320202;0.9754040933320202;0.9680139424011863;0.9626622206050414;0.9626622206050414;0.9626622206050414
4.0;0.9809947118793111;0.9841167379355018;0.9815316568371046;0.9841167379355018;0.9900504593761948;0.9942859806904741;0.9942029790592828;0.9942859806904741
3.0;0.9408231911309991;0.9514316312679718;0.9514316312679718;0.9512311488639243;0.9447326838503795;0.9560381624228826;0.9560381624228826;0.9557009734099275
2.0;0.9359209741209263;0.9447832461511948;0.9447832461511948;0.9447832461511948;0.9415228068985627;0.9477513927871516;0.9477513927871516;0.9477513927871516
2.5;0.9690870855359178;0.9694115132510662;0.9663207910289082;0.9694115132510662;0.9721159663247576;0.9755780623283334;0.9739598769842897;0.9755780623283334
3.0;0.9428860039017104;0.9492882613164765;0.9492882613164765;0.9492882613164765;0.9291338117902536;0.935610030007174;0.935610030007174;0.935610030007174
0.0;0.8864377020190866;0.8936472957344662;0.8936472957344662;0.8936472957344662;0.8912093702021076;0.8833486278511119;0.8833486278511119;0.8833486278511119
2.5;0.9329121542589383;0.9366361945519582;0.9366361945519582;0.9366361945519582;0.9473112174013708;0.9514550925157338;0.9514550925157338;0.9514550925157338
3.0;0.9714287919369615;0.9788836986429716;0.9788836986429716;0.9788836986429716;0.9740023664843854;0.9795836581844924;0.9795836581844924;0.9795836581844924
0.5;0.9074527238226846;0.9195565656602813;0.9195565656602813;0.9195565656602813;0.8863485266992577;0.897229907435409;0.897229907435409;0.897229907435409
3.0;0.9601609775139851;0.9606103636467124;0.9676521337713044;0.9606103636467124;0.9615365098365504;0.9680161484734943;0.9671936567715836;0.9680161484734943
4.1;0.9617976503391862;0.976140211956908;0.976140211956908;0.976140211956908;0.9585261379635075;0.9769059180345775;0.9769059180345775;0.9769059180345775
3.5;0.9699157177518198;0.9775147253140585;0.9775147253140585;0.9775147253140585;0.9550696588226635;0.9685633394625587;0.9685633394625587;0.9685633394625587
