Human;WBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLWeightedJiangConrath_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLRada_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLRada_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCaiStrategy1_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none;WBSM_JiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_JiangConrath_tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none
3.5;0.9309493362512627;0.9309493362512627;0.9309493362512627;0.9309493362512627;0.9309493362512627;0.9309493362512627;0.9309493362512627;0.9309493362512627;0.9309493362512627;0.9309493362512627
2.5;0.7814626123529511;0.7358009004155518;0.5879747322073337;0.6076436202502;0.7211174857632355;0.6842985711808047;0.8107423767590137;0.7692845970878881;0.7814626123529511;0.7358009004155518
3.45;0.914256228850836;0.914256228850836;0.6521235987467637;0.6521235987467637;0.8533377436519188;0.8533377436519188;0.9369900369657495;0.9369900369657495;0.914256228850836;0.914256228850836
4.0;0.9040884376290146;0.9040884376290146;0.8602680757063524;0.8602680757063524;0.8976249474485481;0.8976249474485481;0.9054292969971649;0.9054292969971649;0.9040884376290146;0.9040884376290146
3.0;0.672951580898707;0.6313793431399298;0.3464101615137754;0.3380617018914066;0.5759064296468133;0.5447704785036436;0.7094045491764537;0.668322934720868;0.672951580898707;0.6313793431399298
2.0;0.6615492784982775;0.6615492784982775;0.45454545454545453;0.45454545454545453;0.60541744370149;0.60541744370149;0.6820131707777021;0.6820131707777021;0.6615492784982775;0.6615492784982775
2.5;0.8055773507032205;0.8055773507032205;0.7046717400805453;0.7046717400805453;0.7813354327302141;0.7813354327302141;0.812919233154003;0.812919233154003;0.8055773507032205;0.8055773507032205
3.0;0.7611097068603043;0.7212377113231718;0.5400617248673217;0.5728918992315464;0.6926281040802493;0.6725291843896108;0.7907532020154341;0.7408194109798488;0.7611097068603043;0.7212377113231718
0.0;0.5172050779382256;0.4978641654367961;0.24343224778007383;0.24343224778007383;0.3975617236093394;0.3877285465137824;0.5819275199906273;0.5577035945596222;0.5172050779382256;0.4978641654367961
2.5;0.7837505916918813;0.7770723856531475;0.5222329678670935;0.5222329678670935;0.697375788836256;0.6927526777384491;0.8298414597622148;0.8274528923528822;0.7837505916918813;0.7770723856531475
3.0;0.9722208899146527;0.9522573511057455;0.8970852271450606;0.8970852271450606;0.9464062328460143;0.9367134994444013;0.9828247496187742;0.9570084496420098;0.9722208899146527;0.9522573511057455
0.5;0.599166090505315;0.6179664173087962;0.2946278254943948;0.3328201177351375;0.5168801359191129;0.5408520486381598;0.6304301661753128;0.6473286259433764;0.599166090505315;0.6179664173087962
3.0;0.7784962463807682;0.7559747296821495;0.5577109385180498;0.5323604413126839;0.7405692959551087;0.7171426075147069;0.7890539733601178;0.7668551765327873;0.7784962463807682;0.7559747296821495
4.1;0.9082869469213275;0.9082869469213275;0.85106449634699;0.85106449634699;0.8894151420826744;0.8894151420826744;0.9153311642369841;0.9153311642369841;0.9082869469213275;0.9082869469213275
3.5;0.9243351564787664;0.8363536727407029;0.7701540462154054;0.6804138174397718;0.9021545736658567;0.8124483867905209;0.9290375168942336;0.8416358121818767;0.9243351564787664;0.8363536727407029
4.0;0.975176547438829;0.9226309071777526;0.933624235740937;0.9071147352221454;0.9668357974514421;0.9186121854399868;0.9769139426839257;0.9237922494378477;0.975176547438829;0.9226309071777526
2.5;0.7735667773588677;0.7162987479201328;0.5938156952201644;0.5765999761251577;0.7381684884206552;0.6754145638407323;0.7876385193556381;0.7395635292356566;0.7735667773588677;0.7162987479201328
4.0;0.9526469369569676;0.9424273185906509;0.9231861823449954;0.9296696802013682;0.9498308811511766;0.9402893010240885;0.9531258239875965;0.9428481993506533;0.9526469369569676;0.9424273185906509
4.0;0.8712291119790693;0.8806073076620007;0.7463904912524668;0.7504787743864564;0.8468181353183056;0.8555473327736324;0.8774405744288913;0.886861320800982;0.8712291119790693;0.8806073076620007
4.1;0.8580349381400201;0.8580349381400201;0.8140915784106942;0.8140915784106942;0.8401915388504079;0.8401915388504079;0.867034676588706;0.867034676588706;0.8580349381400201;0.8580349381400201
4.0;0.8448725955792671;0.7892444390584673;0.7888106377466154;0.7324670207647144;0.81323539430118;0.757022026428219;0.8708847470771993;0.816237804347997;0.8448725955792671;0.7892444390584673
3.0;0.9106006004185382;0.8673053436412832;0.7824758900557375;0.8012336167697753;0.8895393246088387;0.8562079489610186;0.917066593529708;0.8700818884768206;0.9106006004185382;0.8673053436412832
4.0;0.8649776473793126;0.7619142502039135;0.7614311298414659;0.6744532734334623;0.8232447237824059;0.7103317067726963;0.8922357751970945;0.8113694024418335;0.8649776473793126;0.7619142502039135
3.0;0.8760401689309648;0.8741105470695346;0.7500000000000001;0.7500000000000001;0.8389446645298038;0.837612454053477;0.8960286262670643;0.8951735334327493;0.8760401689309648;0.8741105470695346
4.5;0.9535835365235371;0.9535835365235371;0.9284944150777122;0.9284944150777122;0.9489520975429195;0.9489520975429195;0.955415091129834;0.955415091129834;0.9535835365235371;0.9535835365235371
3.5;0.9219373631655744;0.9219373631655744;0.8362420100070909;0.8362420100070909;0.8753992285735666;0.8753992285735666;0.960617840652743;0.960617840652743;0.9219373631655744;0.9219373631655744
3.5;0.6206031816330886;0.6006098443955905;0.34668762264076824;0.33407655239053047;0.5589683739205621;0.5400620717516111;0.638934710539563;0.6186439416569535;0.6206031816330886;0.6006098443955905
