Human;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-user_cf-none_ner-none_Max;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-user_cf-biosses_ner-none_Max;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-user_cf-blagec2019_ner-none_Max;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-user_cf-default_ner-none_Max
4.0;0.829052877345601;0.8804245897629134;0.8804245897629134;0.9344272300493098
3.0;0.9132183663746827;0.938335130996629;0.938335130996629;0.9258844174826119
2.2;0.9207661726201912;0.9108300989790937;0.9108300989790937;0.9108300989790937
3.2;0.9522595753791346;0.9518147574322896;0.9494062096478171;0.9509176717711358
3.2;0.9473195235355873;0.9435550953870836;0.9435550953870836;0.9472708914783752
3.2;0.9431430247465104;0.9453608730007128;0.9453608730007128;0.9395891077685068
1.4;0.8167742386722955;0.83164436865008;0.8279250103082191;0.83164436865008
3.0;0.919388552022018;0.9305055335023934;0.9305055335023934;0.9305055335023934
1.4;0.9105952817685107;0.9119032840364285;0.9119032840364285;0.9115596207900349
3.0;0.9464764585553403;0.9467731803027633;0.9467731803027633;0.945958997406969
3.0;0.941843039257387;0.9385813149589108;0.9385813149589108;0.9385813149589108
1.0;0.9014926547582623;0.9030567288249824;0.9030567288249824;0.9030567288249824
3.0;0.816925332735121;0.9098517840978614;0.9098517840978614;0.9098517840978614
2.0;0.8790480366355341;0.8934573750348149;0.8934573750348149;0.8933430733195592
2.4;0.890147037874171;0.9565528120417961;0.9565528120417961;0.9557454007359528
3.4;0.9420839395929845;0.9253465542066494;0.9253465542066494;0.9253465542066494
3.0;0.9219190866078008;0.9201790904797464;0.9226718287337754;0.9186560715591918
2.0;0.8648719978451704;0.8767713716625817;0.8767713716625817;0.8708236130067056
3.2;0.9453169039745978;0.9152415634898008;0.9163239157297439;0.9141379294115459
2.0;0.9405440573726311;0.9425195478270548;0.942519547827054;0.9423845092596688
3.0;0.8647328521773302;0.8862877291843438;0.8862877291843438;0.8814121983609687
1.2;0.8829164622495078;0.8888880091916377;0.8888880091916377;0.8888880091916377
3.4;0.8958807720654761;0.9042621569604608;0.9042621569604608;0.9080390443486034
1.8;0.9023672147102637;0.9069975887884137;0.9069975887884137;0.9090677870417306
3.6;0.8764188122259439;0.8689987895278385;0.8689987895278385;0.8689987895278385
2.0;0.845485894891038;0.8693698348650586;0.8694703570924945;0.8694703570924945
2.4;0.887567871130248;0.8922300144796272;0.8922300144796272;0.8922300144796272
3.4;0.8793067219424762;0.8808382878960247;0.8855749535379257;0.8808382878960247
3.0;0.9401197281448045;0.9470645152452222;0.9404869953258663;0.9462748480081771
4.0;0.8312544280670632;0.8964600197172542;0.8850986596194904;0.8964600197172542
4.0;0.9489543300786635;0.9461988973838255;0.9461988973838255;0.9461988973838255
