Human;bioconceptvec_fasttext__tok-whitespace_lc_sw-user_cf-default_ner-none_Max;bioconceptvec_fasttext__tok-whitespace_lc_sw-user_cf-default_ner-none_Max;bioconceptvec_fasttext__tok-whitespace_lc_sw-user_cf-default_ner-none_Max
4.0;0.9650967432423698;0.9650967432423698;0.9805228105282937
3.0;0.9921981328600614;0.9921981328600614;0.9946278419337258
2.2;0.9902878899151988;0.9902878899151988;0.9900914848375576
3.2;0.9869140902604218;0.9869140902604222;0.991732073587403
3.2;0.9974202728541723;0.9974202728541723;0.9992662023169108
3.2;0.978604110098697;0.978604110098697;0.9640441008249283
1.4;0.970399648846589;0.970399648846589;0.9657408402769597
3.0;0.9895479726729625;0.990559498076947;0.9952358943848757
1.4;0.9851903425524494;0.9851903425524494;0.9927890405655024
3.0;0.8696892306157857;0.8696892306157857;0.9260824687548251
3.0;0.9936835662171944;0.9924190069058898;0.9974371454767051
1.0;0.990336419922506;0.990336419922506;0.9916408178791319
3.0;0.9922690224927266;0.9922690224927266;0.9730764928174637
2.0;0.9345551484637338;0.9531925577409524;0.9747604455918991
2.4;0.9926707597088978;0.9926707597088978;0.9788500232968871
3.4;0.9431790547636402;0.9431790547636402;0.9593266553145978
3.0;0.9952610274073816;0.9952610274073816;0.9980541068205419
2.0;0.9744965874103272;0.9744965874103272;0.9862794369158767
3.2;0.9764125767183817;0.9764125767183817;0.9900212429204068
2.0;0.9772878481840961;0.9772878481840961;0.9675396588330176
3.0;0.9895463668147617;0.9895463668147617;0.9838717457630494
1.2;0.9571159325006918;0.9571159325006918;0.9912261802369692
3.4;0.9866235857496692;0.9866235857496692;0.986423865194177
1.8;0.9899559639985539;0.9899559639985539;0.9860953815862995
3.6;0.9914613168241376;0.9914613168241376;0.9965759506307661
2.0;0.985725922425491;0.985725922425491;0.9810500226094172
2.4;0.9891570001370188;0.9891570001370188;0.986447129822719
3.4;0.9912530032689958;0.9912530032689958;0.9889079094526476
3.0;0.9928684703192382;0.9928684703192382;0.9958849782569524
4.0;0.9872437565718144;0.9874885999475175;0.9946690365341259
4.0;0.9914097939226539;0.9914097939226539;0.9927253808937995
3.4;0.9641166634476218;0.9641166634476218;0.9658345922687679
3.4;0.9563656664769665;0.9563656664769665;0.9534816116247256
3.0;0.9805928140744427;0.9805928140744427;0.9801382986329933
2.0;0.9807637179494637;0.9807637179494637;0.9903583414888798
3.8;0.9997049717278161;0.9998551874360154;0.9979469094990929
3.4;0.9988660173967773;0.9990234327955793;0.9980625562300696
2.0;0.9932630422847426;0.9932630422847426;0.993526303221974
4.0;0.9929155213203009;0.9929155213203009;0.9965089446028192
3.2;0.9949919380581211;0.9949919380581211;0.9836281856514298
2.2;0.9109934956728001;0.9109934956728001;0.9644586314873537
3.0;0.9919609642435984;0.9919609642435984;0.9908690153173197
2.0;0.9953403250904332;0.9953403250904332;0.96806428626482
0.6;0.9934864846929095;0.9934864846929095;0.9846557902746056
3.2;0.9617632376426798;0.9617632376426798;0.9879607927649218
3.6;0.9941260715915281;0.9941260715915281;0.9964504629768303
1.0;0.9683108793053986;0.9683108793053986;0.9924844534171139
1.8;0.7204017150499169;0.7204017150499169;0.854475930975896
2.8;0.9901610689976575;0.9901610689976575;0.9922973663054835
2.8;0.9923904430555662;0.9923454786155931;0.9962296349245293
1.8;0.9884087294168438;0.9884087294168438;0.9934039908280033
1.8;0.9802939379155872;0.9802939379155872;0.9797313268804126
2.6;0.9066944198145451;0.9066944198145451;0.9379051778698927
1.4;0.9571170045846501;0.9571170045846501;0.9844138711159475
3.0;0.9995295395682429;0.9995295395682429;0.9983169310343958
0.6;0.9807226624210394;0.9807226624210394;0.9873758771844133
1.8;0.9711919230897386;0.9711919230897386;0.9730974746614887
3.0;0.909365621605878;0.909365621605878;0.9957146870134332
3.0;0.9916302010380224;0.9916302010380226;0.9937600232131045
3.8;0.9987577233478797;0.9987577233478797;0.99874388254101
2.4;0.9706956197183201;0.9706956197183201;0.9640237498570811
3.6;0.9769504386339924;0.9769504386339924;0.9762565213895241
2.8;0.9789432645722371;0.9789432645722371;0.9822104292888622
3.6;0.9943506414735658;0.9932759849854642;0.9978508166171246
3.0;0.9920681443804825;0.9920681261211967;0.9930027974995775
0.0;0.9772981934986354;0.9772981934986354;0.9875577041071629
0.0;0.9920679604883551;0.9920679604883551;0.9917998958945831
0.2;0.9196916027104444;0.9196916027104444;0.9389849497422044
0.0;0.9739215032172858;0.9794339229938278;0.978192058220535
0.2;0.9916173073838684;0.9916173073838684;0.9862771260766726
0.2;0.966065846223894;0.966065846223894;0.9912448240944464
1.8;0.9790461229551168;0.9790461229551168;0.9602404719890659
1.4;0.9709173833018147;0.9709173833018141;0.9655214143745202
1.8;0.9901983820507623;0.9901983820507623;0.9848783331348079
2.0;0.9900481034029383;0.9900481034029383;0.9929133143248461
0.0;0.9868667926774092;0.9868667926774092;0.9811487715982268
0.8;0.9462136031993262;0.9462136031993262;0.9509481242616903
2.2;0.9874654282569303;0.9874667978634991;0.9707821107550999
1.4;0.9805811559620656;0.9781308025170737;0.9764911503076492
1.8;0.9912364261115898;0.9912364261115898;0.9891691993622559
