Human;bioconceptvec_fasttext__tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none_Average;bioconceptvec_fasttext__tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none_Average;bioconceptvec_fasttext__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Average
4.0;0.9910894112700676;0.9910894112700676;0.9990410221508992
3.0;0.9994418000179995;0.9994418000179995;0.999548977274789
2.2;0.9853876690996392;0.9853876690996392;0.9971426180036662
3.2;0.9977241105758784;0.9981416087991792;0.9993720049117132
3.2;0.9940001936669606;0.9940001936669606;0.9981305427733237
3.2;0.9822435077879028;0.9822435077879028;0.9863021071826277
1.4;0.9854010496847795;0.9854010496847795;0.9921574166875392
3.0;0.9980497997381311;0.9969656231058687;0.9978593157925844
1.4;0.9985890127363781;0.9985890127363781;0.9982264838060141
3.0;0.990287766461314;0.990287766461314;0.9975349138772912
3.0;0.9983731895899747;0.998536394101439;0.9996361294078276
1.0;0.9949845855710087;0.9949845855710087;0.998922746284161
3.0;0.9871955092680847;0.9871955092680847;0.9931187566880124
2.0;0.997426321739047;0.9961356489116724;0.9991064620353693
2.4;0.9977796175975906;0.9977796175975906;0.9972392879095803
3.4;0.9925093410820832;0.9925093410820832;0.9971298611258275
3.0;0.9945495302118381;0.9945495302118381;0.9968323932224064
2.0;0.9821669054141673;0.9821669054141673;0.9974340712546214
3.2;0.9973692028888704;0.9973692028888704;0.9961370277494925
2.0;0.995796765513994;0.995796765513994;0.9976763033629956
3.0;0.9972303423367614;0.9972303423367614;0.9982110538502401
1.2;0.9833595493468754;0.9833595493468754;0.998176427473896
3.4;0.9879422447478606;0.9879422447478606;0.9992050738345046
1.8;0.9926405726488476;0.9926405726488476;0.9991797791343338
3.6;0.9947222506751491;0.9947222506751491;0.9945622603909914
2.0;0.9930276653396057;0.9930276653396057;0.9986559215146634
2.4;0.9980761837565251;0.9980761837565251;0.9995547362139942
3.4;0.9795185377500872;0.9795185377500872;0.9891254694606835
3.0;0.9965735500471512;0.9965735500471512;0.9978844884357865
4.0;0.9811962625564695;0.9822737696095404;0.9986519749600188
4.0;0.9884499267933587;0.9884499267933587;0.9975647155352781
3.4;0.9959710124636088;0.9959710124636088;0.9972584397909487
3.4;0.9936093095550692;0.9936093095550692;0.9907514626918186
3.0;0.9840219981631345;0.9840219981631345;0.9957896569121585
2.0;0.9923231403327467;0.9923231403327467;0.9979086863823826
3.8;0.9978305706925195;0.9988590896903169;0.9975376105240992
3.4;0.9977172979737251;0.9971384395345203;0.9980116014812442
2.0;0.994173968349973;0.994173968349973;0.9983021523997052
4.0;0.9974630960378104;0.9974630960378104;0.9994885558444748
3.2;0.9985704205320421;0.9985704205320421;0.9943517996750256
2.2;0.9539855736344547;0.9539855736344547;0.9947563172812054
3.0;0.9992253523938642;0.9992253523938642;0.9994587932092311
2.0;0.9974594829473806;0.9974594829473806;0.99916420260276
0.6;0.9994578053858628;0.9994578053858628;0.9989393378737856
3.2;0.9801438105012175;0.9801438105012175;0.9935914484700321
3.6;0.9971061342792904;0.9971061342792904;0.9996226419083583
1.0;0.9955082144103715;0.9955082144103715;0.9984874979458324
1.8;0.9211511024689952;0.9211511024689952;0.9901911168064803
2.8;0.9979950342215475;0.9979950342215475;0.9992622100894343
2.8;0.9950880582496892;0.9964686259670521;0.9989225553535854
1.8;0.9958120326441764;0.9958120326441764;0.9983366887181655
1.8;0.9668204900526117;0.9668204900526117;0.9978303448353015
2.6;0.9929759620716119;0.9929759620716119;0.9950098840460635
1.4;0.9939083470511629;0.9939083470511629;0.9983609985664015
3.0;0.997432633771541;0.997432633771541;0.9991907746808992
0.6;0.9952296967703073;0.9952296967703073;0.9980141195384383
1.8;0.9789662574251728;0.9789662574251728;0.9912947019918834
3.0;0.9828742610384222;0.9828742610384222;0.9961255847555025
3.0;0.9991080832286763;0.9989042778998666;0.9995345282515221
3.8;0.998474173305968;0.998474173305968;0.9995596365553462
2.4;0.9957919920543731;0.9957919920543731;0.9986952438068867
3.6;0.9993728452487689;0.9993728452487689;0.9993821276728045
2.8;0.9773240152047088;0.9773240152047088;0.9909501340984799
3.6;0.9978030791028187;0.9967263548910494;0.9973474412482846
3.0;0.9962289436918;0.9956971875727142;0.9956282371337497
0.0;0.9838408438966637;0.9838408438966637;0.9957582414938132
0.0;0.9973824112551063;0.9973824112551063;0.9988667135971023
0.2;0.9953211201044003;0.9953211201044003;0.9988305533749331
0.0;0.9806535539508273;0.9831483942856446;0.9914680960859255
0.2;0.9885722849379789;0.9885722849379789;0.994111235722207
0.2;0.9927004874297682;0.9927004874297682;0.9965077455240094
1.8;0.9896168591210945;0.9896168591210945;0.9945653798264509
1.4;0.9953437885219746;0.995340379189491;0.9978107508232325
