Human;bioconceptvec_fasttext__tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none_Max;bioconceptvec_fasttext__tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none_Max;bioconceptvec_fasttext__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Max
3.5;0.9999999999999993;0.9999999999999993;0.9999999999999997
2.5;0.9986723056629692;0.9986723056629692;0.998729061881416
3.45;0.9872365365021512;0.9872365365021512;0.9921269414756047
4.0;0.9999888215127932;0.9999888215127932;0.9999624446941832
3.0;0.9971263112769042;0.9971263112769042;0.9936450511506421
2.0;0.992656477429817;0.992656477429817;0.9935690795039774
2.5;0.9989656531187747;0.9989656531187747;0.9989936973286394
3.0;0.9933625159184513;0.9933625159184513;0.9933719163349218
0.0;0.9928459417243336;0.9928459417243336;0.9873301280285273
2.5;0.9954014814288609;0.9954014814288609;0.9955090104055355
3.0;0.9937552665415116;0.9937552665415116;0.9968737628055923
0.5;0.9729526455923131;0.9729526455923131;0.9809100490086462
3.0;0.9913837073060725;0.9913837073060725;0.9945989960780592
4.1;0.9999868367037252;0.9999868367037252;0.9999941399491129
3.5;0.9983420700247788;0.9983420700247788;0.9785029643597486
4.0;0.999886030392357;0.999886030392357;0.9998959652998949
2.5;0.9994852351194206;0.9994852351194206;0.9960383723622775
4.0;0.9992485363485984;0.9992485363485984;0.9999007740161763
4.0;0.9990080767518312;0.9990080767518312;0.9983539654173548
4.1;0.9921102600309327;0.9921102600309327;0.9918615289941081
4.0;0.9959010479165497;0.9959010479165497;0.9963246941654909
3.0;0.9976221783497072;0.9976221783497072;0.9974320443305428
4.0;0.9875867373204202;0.9875867373204202;0.98842257032229
3.0;0.9887005013554667;0.9887005013554667;0.9852479060202739
4.5;0.9999509783454412;0.9999509783454412;0.9999516962082621
3.5;0.9936082973503811;0.9936082973503811;0.9928182520840146
3.5;0.997826475697868;0.997826475697868;0.9957444242267962
3.0;0.9985845669205022;0.9985845669205022;0.998041233822759
3.5;0.9997094975392132;0.9997094975392132;0.9984386629341995
4.0;0.9999999999999998;0.9999999999999998;1.0
4.0;0.9992012933923206;0.9992012933923206;0.9999002907187937
4.0;1.0;1.0;1.0000000000000004
3.0;0.998100040252131;0.998100040252131;0.9983089950106164
2.5;0.9995936684023216;0.9995936684023216;0.9995936703193875
2.5;0.9992087923439168;0.9992025977177323;0.9979308330597616
3.0;0.972371828055203;0.972371828055203;0.9912320981418997
0.0;0.9737399117812083;0.9737399117812083;0.9757725747504998
4.25;0.9909552494148306;0.9909552494148306;0.9903705674361314
3.0;0.9950052272177669;0.9950052272177669;0.9950134149291854
3.0;0.9996672585913072;0.9996672585913072;0.9968345285348605
4.0;0.9994597994691581;0.9994597994691581;0.9996232103263522
0.0;0.9930852918004841;0.9930852918004841;0.9938523217880495
3.5;0.9915796136389539;0.9915796136389539;0.9900408906802316
1.0;0.992586920313386;0.9925651470958091;0.9935904857257125
0.0;0.9839520626720659;0.9839520626720659;0.9924018824732905
1.5;0.9929976421577967;0.9929976421577967;0.9977233770393149
3.6;0.998957483739994;0.998957483739994;0.9917826446312513
3.0;0.9997137613727387;0.9997137613727387;0.9999905903381849
3.0;0.9997622423362659;0.9997622423362659;0.9997703955029793
5.0;0.9997024851959353;0.9997024851959353;0.9997707245906445
3.5;0.9920593509357404;0.9920593509357404;0.9883660281936885
0.0;0.9646682226762396;0.9646682226762396;0.989208918301411
4.0;0.9940378803059103;0.9940378803059103;0.9961615284087697
4.5;0.9999950038661893;0.9999950038661893;0.99999500471379
3.0;0.9989224723258856;0.9989224723258856;0.9984109644495782
3.5;0.9976132329730244;0.9976132329730244;0.9983196064274156
4.0;1.0000000000000002;1.0000000000000002;1.0
3.0;0.9966819841852145;0.9966819841852145;0.9966819841852145
3.0;0.9788730315130204;0.9788730315130204;0.9838496802322062
3.5;0.98547501560472;0.98547501560472;0.9894598025987867
2.5;0.9696920406013259;0.9696920406013259;0.9706126121363126
3.5;0.9927956599466178;0.9927956599466178;0.9922578478745817
3.5;0.9974811954243531;0.9974811954243531;0.9955120626126108
3.0;0.9885270740249417;0.9885270740249417;0.9905972284275567
4.5;0.9802870633475831;0.9802870633475831;0.8879554730765719
2.5;0.9939270793348177;0.9939480528430746;0.9896381802705427
3.5;0.9995080729574012;0.9995080729574012;0.9995676414774218
3.0;0.9999162555904842;0.9999162555904842;0.99800706824652
2.5;0.9990517701781396;0.9990517701781396;0.998964229287564
4.0;0.9837900386527418;0.9837900386527418;0.9837894085821295
3.5;0.9736536214288295;0.9736536214288295;0.9878731448995423
3.5;0.9788149631056297;0.9788149631056297;0.9838319094481924
3.0;0.9989348911341885;0.9989348911341885;0.9989580170864091
2.5;0.9996739344320598;0.9996739344320598;0.9996838800555758
4.0;0.9930143199208165;0.9930143199208165;0.9922743263082536
3.5;0.8939105101159713;0.8945424606164204;0.89565913748312
2.5;0.9747522459956844;0.9747522459956851;0.9899477953855519
2.5;0.9989989581444045;0.9989989581444045;0.9990173350923075
5.0;0.9996216383206871;0.9996216383206871;0.9997800550164259
4.25;0.98661021895231;0.98661021895231;0.99469104214026
2.5;0.9977573950973386;0.9977573950973386;0.997850416839106
